,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,love,love_norm,love_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,10.494114331525457,0.10828760650677507,
2,2,2,2,01-03,9.152424112711016,-1.1649286484864083,
3,3,3,3,01-04,8.370684997109812,-1.90677124015928,
4,4,4,4,01-05,7.608149317595043,-2.6303904546068337,-1.778817471267511
5,5,5,5,01-06,7.72501016849696,-2.5194936672156816,-2.141702288589953
6,6,6,6,01-07,7.682738028066425,-2.5596084236436383,-2.50690194055569
7,7,7,7,01-08,8.199709081600059,-2.069021297427878,-2.5094849803145056
8,8,8,8,01-09,6.84338289978922,-3.3561265602808303,-2.139143568368607
9,9,9,9,01-10,8.354353258496102,-1.9222694787121752,-1.7667482839717585
10,10,10,10,01-11,9.949700243045973,-0.4083419829314424,-1.3402884113099771
11,11,11,11,01-12,10.079547076025914,-0.2851219608345897,-1.0684841536240506
12,12,12,12,01-13,10.379108126814,-0.000849187672949666,-0.6202183074721469
13,13,13,13,01-14,9.918240929771976,-0.4381957513123185,-0.19316439919909945
14,14,14,14,01-15,9.677625231452547,-0.6665314833694086,-0.34540705281851686
15,15,15,15,01-16,11.054479255424232,0.6400539709261098,-0.19367491298527215
16,16,16,16,01-17,8.987118379455387,-1.3217979046479469,-0.2993863121260409
17,17,17,17,01-18,11.038901123363958,0.6252708781648786,-0.4424593753121708
18,18,18,18,01-19,9.710728581604133,-0.6351175825175623,-0.5771191742554872
19,19,19,19,01-20,9.013635469231364,-1.2966341304290978,-0.6097696292450859
20,20,20,20,01-21,8.82621416408096,-1.4744902770293074,-0.6441975999042641
21,21,21,21,01-22,10.84804081610528,0.4441512409885174,-1.0787921245529033
22,22,22,22,01-23,8.769441274065478,-1.528365728603015,-1.2855561530166106
23,23,23,23,01-24,8.291098208102655,-1.982296269726958,-1.4973568667568393
24,24,24,24,01-25,8.403425410578036,-1.8757017532998053,-1.7351054050161567
25,25,25,25,01-26,7.674486939598255,-2.5674384128704686,-2.1517740591038725
26,26,26,26,01-27,7.3230057951853,-2.9009815065852127,-2.125639914133001
27,27,27,27,01-28,8.213577477373905,-2.0558606835377766,-1.938802171456975
28,28,28,28,01-29,8.934679158267722,-1.3715608587777857,-1.6557550261428264
29,29,29,29,01-30,9.472413813542213,-0.8612698136708046,-1.4678671805100443
30,30,30,30,01-31,10.19304246035428,-0.17741888141491294,-1.0035346375670458
31,31,31,31,02-01,8.862442011948337,-1.4401113390737752,-0.5817309927162518
32,32,32,32,02-02,10.258832739118844,-0.11498624892722148,-0.4788131959662795
33,33,33,33,02-03,10.880507729028388,0.4749611855669874,-0.551956409739896
34,34,34,34,02-04,9.585395644331326,-0.7540540782779512,-0.54946893793585
35,35,35,35,02-05,9.009952543002242,-1.3001290963125036,-0.48492627770140057
