,mth_day,relationships,relationships_norm
0,01-01,,
1,01-02,1.8961248977276566,-1.0962890074038145
2,01-03,2.220518565820832,-0.18508866927358644
3,01-04,2.1596015145441814,-0.3562006334727064
4,01-05,1.451686838180401,-2.3446860939372103
5,01-06,1.7595010757956662,-1.4800562784262439
6,01-07,1.2993652338377577,-2.7725473965249323
7,01-08,2.2852791610804313,-0.003180444477065028
8,01-09,1.9189824935691604,-1.032083533905978
9,01-10,2.0427449425021362,-0.6844430081878217
10,01-11,1.9235026837951141,-1.0193866188073795
11,01-12,2.110584509244537,-0.49388615633050215
12,01-13,2.2039118628189445,-0.23173579860720211
13,01-14,1.7706686399654095,-1.4486873299896847
14,01-15,2.336550506512277,0.14083737057002316
15,01-16,2.2188175073215275,-0.18986682998448084
16,01-17,1.946682874987643,-0.9542749963250046
17,01-18,2.454866089286715,0.473178009842849
18,01-19,2.0016421485343505,-0.7998980353518718
19,01-20,2.512512211139223,0.6351021498319638
20,01-21,1.657189651783663,-1.7674422952443805
21,01-22,1.8831299477545718,-1.1327909615851741
22,01-23,1.936729274131494,-0.9822340021806033
23,01-24,1.9894363680334604,-0.8341832647305165
24,01-25,1.4310242884355973,-2.402725828266087
25,01-26,2.055513961670305,-0.6485756786803762
26,01-27,2.1098974976886486,-0.4958159263093817
27,01-28,2.127720952561245,-0.4457510215224798
28,01-29,2.562460398658803,0.7754033018993359
29,01-30,2.282620859059992,-0.010647438867290554
30,01-31,2.2806689553042867,-0.01613020729693074
31,02-01,2.148092281118528,-0.38852930822989284
32,02-02,2.10403401631367,-0.5122860573168905
33,02-03,1.994403682424947,-0.820230407451497
34,02-04,2.153320497189658,-0.37384359540499607
35,02-05,2.3840455595018475,0.2742478301452674
36,02-06,2.2470615561523224,-0.11053116663424911
37,02-07,2.1390653396841524,-0.41388538911653455
38,02-08,2.0963854730112197,-0.5337703091038104
39,02-09,2.8661898357910895,1.6285591832760034
40,02-10,2.5221150925343236,0.662076007939844
41,02-11,1.9677120653699078,-0.8952053927178812
42,02-12,1.5342239370243544,-2.1128448474141845
43,02-13,2.2885949674947312,0.006133436227340942
44,02-14,2.105138856847844,-0.509182633399164
45,02-15,1.850586868935217,-1.2242023155684383
46,02-16,2.1549768719459097,-0.36919094837017913
47,02-17,2.7039939744463903,1.1729617464660993
48,02-18,1.716597807070086,-1.6005687199897205
49,02-19,2.413230234149939,0.35622564914487664
50,02-20,2.200860068773776,-0.24030808604489204
51,02-21,1.5108652711795543,-2.178457793379392
52,02-22,2.481910884274352,0.5491450485407787
53,02-23,2.309306126042929,0.06430970946694627
54,02-24,2.5790286758850987,0.8219424957731807
55,02-25,1.78162061841167,-1.41792394757816
56,02-26,2.9034493609999896,1.7332187229288236
57,02-27,2.58499544321629,0.8387027501939431
58,02-28,2.0071005784149065,-0.7845656671769351
59,02-29,2.324193907308807,0.10612850144034722
60,03-01,2.368969311671752,0.2318996480698625
61,03-02,1.8820023911833215,-1.1359581933471983
62,03-03,1.9984649533844654,-0.8088225661908939
63,03-04,1.9384084946889328,-0.9775171828026926
64,03-05,2.4337857668890086,0.41396477978939755
65,03-06,2.054353202624499,-0.6518361739953544
66,03-07,1.8668731985351683,-1.1784550939114684
67,03-08,2.378823430305129,0.25957921494762776
68,03-09,2.1682927834696857,-0.3317874344412581
69,03-10,2.3267994194836312,0.1134472126490395
70,03-11,2.284182796513316,-0.00626005996444988
71,03-12,1.944814835904685,-0.959522194440915
72,03-13,2.2597374231821012,-0.07492549531667357
73,03-14,1.999776035571696,-0.805139823123363
74,03-15,2.1642752486443038,-0.3430724237964957
75,03-16,2.2875575498843923,0.0032193988391278957
76,03-17,2.486095352704452,0.5608989433403135
77,03-18,1.4171953549664458,-2.4415703868764354
78,03-19,1.801314476191574,-1.3626052048492396
