,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,mindfuck,mindfuck_norm,mindfuck_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,7.40815706973948,-0.6445364160991841,
2,2,2,2,01-03,8.048655925632053,-0.02127581231616701,
3,3,3,3,01-04,6.7842515003580335,-1.2516503216101849,
4,4,4,4,01-05,5.5265668052641175,-2.475485954135291,-1.3186515698997863
5,5,5,5,01-06,6.3941445298828725,-1.631258034756658,-1.514850809587986
6,6,6,6,01-07,6.1306068872191615,-1.8877028804812328,-1.9483340179317337
7,7,7,7,01-08,6.198402551794361,-1.821731854228383,-1.9439337221657944
8,8,8,8,01-09,5.3758205436979285,-2.6221750623786533,-1.7946324328230245
9,9,9,9,01-10,6.811383499909098,-1.2252485470145502,-1.497552559335368
10,10,10,10,01-11,6.447150950261244,-1.5796782180786706,-1.1774945491030502
11,11,11,11,01-12,8.22592389719034,0.1512212061692796,-0.8572463573489516
12,12,12,12,01-13,8.104068275236758,0.032645180912674134,-0.6223683931662402
13,13,13,13,01-14,8.173036589387815,0.09975729629620936,-0.27195494756510025
14,14,14,14,01-15,6.824066106664177,-1.2129072772823852,-0.11841763714124968
15,15,15,15,01-16,8.972014956169483,0.8772321265922892,0.06015372622529833
16,16,16,16,01-17,7.3938541854704,-0.6584543555355671,0.19477561034746613
17,17,17,17,01-18,9.326985827662712,1.2226493863685677,0.11382668718880089
18,18,18,18,01-19,8.934139955381355,0.8403764856456809,0.16559514498129127
19,19,19,19,01-20,7.673909652557603,-0.3859362426557821,-0.02789998232291911
20,20,20,20,01-21,7.1432677804374505,-0.9022965305274429,0.08804596517775927
21,21,21,21,01-22,7.778933857442304,-0.28373863723297305,-0.23984659130615885
22,22,22,22,01-23,8.108770991719418,0.037221329468503137,0.30853478107079635
23,23,23,23,01-24,7.305217026532887,-0.7447059525349411,0.03582270038272004
24,24,24,24,01-25,12.315431564075935,4.130664719907412,-0.07665575541664023
25,25,25,25,01-26,5.9923808544087676,-2.02220872678424,-0.35828359125082687
26,26,26,26,01-27,6.4497313513921,-1.5771672653236046,-0.29753848829310253
27,27,27,27,01-28,6.04243096721217,-1.9735056522380927,-0.3115185261920003
28,28,28,28,01-29,8.483322202330292,0.4016919472148491,-1.2708572545234198
29,29,29,29,01-30,7.2190168249617015,-0.828586179928328,-1.0907642227112697
