,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,mth_day,comedy,comedy_norm,comedy_ravg
0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,01-02,15.271785924058252,-1.6099274001739434,
2,2,2,2,2,2,2,2,2,01-03,16.515681077371227,-0.8787580200898879,
3,3,3,3,3,3,3,3,3,01-04,14.434527855523667,-2.1020729490253407,
4,4,4,4,4,4,4,4,4,01-05,12.944077407967214,-2.9781690788988096,-2.139910791784182
5,5,5,5,5,5,5,5,5,01-06,14.304553994388044,-2.1784724005551257,-2.4105063157471895
6,6,6,6,6,6,6,6,6,01-07,12.750313191152511,-3.0920649019619875,-2.66406080842667
7,7,7,7,7,7,7,7,7,01-08,12.509697111801861,-3.2335005439519886,-2.389465685739065
8,8,8,8,8,8,8,8,8,01-09,13.927537647389428,-2.4000849761667715,-2.0134453636157734
9,9,9,9,9,9,9,9,9,01-10,17.237442350071234,-0.4545022128997085,-1.8935100583628603
10,10,10,10,10,10,10,10,10,01-11,16.78228400394835,-0.722047146159062,-1.3753681700599856
11,11,11,11,11,11,11,11,11,01-12,15.528786974970956,-1.4588605690376464,-0.9972426315894282
12,12,12,12,12,12,12,12,12,01-13,18.039217796383234,0.01678642785525954,-0.7446211784442681
13,13,13,13,13,13,13,13,13,01-14,16.369392586959574,-0.9647473131286444,-0.5288531693390497
14,14,14,14,14,14,14,14,14,01-15,16.506157128041256,-0.8843562572958109,-0.6131448937384324
15,15,15,15,15,15,15,15,15,01-16,19.43988234340177,0.8401058417316022,-0.16979151193715958
16,16,16,16,16,16,16,16,16,01-17,15.92188089927186,-1.227797492555358,-0.17572348779018346
17,17,17,17,17,17,17,17,17,01-18,20.05429204547146,1.20125972176999,-0.14169288399606103
18,18,18,18,18,18,18,18,18,01-19,17.97866748166165,-0.018805427262883617,-0.221858043138602
19,19,19,19,19,19,19,19,19,01-20,16.716758088936338,-0.7605636903639096,-0.4074325827632678
20,20,20,20,20,20,20,20,20,01-21,15.6878757094963,-1.3653472121510564,-0.140385421919519
21,21,21,21,21,21,21,21,21,01-22,17.5456405162273,-0.27334139601639285,-0.7230034813921987
22,22,22,22,22,22,22,22,22,01-23,18.64774999166745,0.3744854725071346,-0.49507175050761965
23,23,23,23,23,23,23,23,23,01-24,14.10725049681667,-2.294448635066088,-0.8107673020328474
24,24,24,24,24,24,24,24,24,01-25,20.305267990843014,1.3487849580445903,-0.9877967305806821
25,25,25,25,25,25,25,25,25,01-26,13.494313245147461,-2.654736999515276,-1.4175874047152386
26,26,26,26,26,26,26,26,26,01-27,13.880857629999307,-2.427523783438064,-1.6542749813068849
27,27,27,27,27,27,27,27,27,01-28,13.15857603247967,-2.852085440823732,-1.3936464023983115
28,28,28,28,28,28,28,28,28,01-29,16.231774672751094,-1.0456399870427442,-1.8846020183858903
29,29,29,29,29,29,29,29,29,01-30,16.767602269878765,-0.7306771616146475,-1.565824802214401
30,30,30,30,30,30,30,30,30,01-31,15.293865753387225,-1.5969487378808822,-1.4167637524408636
31,31,31,31,31,31,31,31,31,02-01,16.748214010002233,-0.7420737024863407,-0.882485701567516
32,32,32,32,32,32,32,32,32,02-02,15.402390033391786,-1.5331574847968383,-1.0002043880824276
33,33,33,33,33,33,33,33,33,02-03,18.61218962275165,0.3535828644163537,-0.972665704004705
34,34,34,34,34,34,34,34,34,02-04,15.030167705073366,-1.7519521061322132,-0.7470257812888369
35,35,35,35,35,35,35,35,35,02-05,17.048701861185158,-0.5654450571483121,-0.7557160717404242
36,36,36,36,36,36,36,36,36,02-06,17.597072757717047,-0.2431092015856727,-0.8800947200188393
37,37,37,37,37,37,37,37,37,02-07,16.659508351903952,-0.7942154451958643,-1.024056757329117
38,38,38,38,38,38,38,38,38,02-08,14.132801875162125,-2.279429374467329,-0.7509621475075727
39,39,39,39,39,39,39,39,39,02-09,17.14270510644932,-0.5101893594453134,-0.5602650706854693
40,40,40,40,40,40,40,40,40,02-10,17.817765797711193,-0.11338444720294713,-0.6485488916227415
41,41,41,41,41,41,41,41,41,02-11,18.99523170286996,0.5787374037843084,-0.6542726877317743
42,42,42,42,42,42,42,42,42,02-12,16.695920548904375,-0.7728121272093066,-0.2642693378202892
43,43,43,43,43,43,43,43,43,02-13,16.601083020380152,-0.8285582218500609,-0.3025354187440436
44,44,44,44,44,44,44,44,44,02-14,18.11373945223858,0.06059072500158112,-0.5659001772988225
45,45,45,45,45,45,45,45,45,02-15,16.752106206436284,-0.7397858449878397,-0.8274227641906382
46,46,46,46,46,46,46,46,46,02-16,15.129484622571699,-1.69357299853162,-0.7935797630682527
47,47,47,47,47,47,47,47,47,02-17,16.325754392872092,-0.990398117566586,-0.8324970802401245
48,48,48,48,48,48,48,48,48,02-18,17.04137110700784,-0.5697541204749935,-0.9311060731258336
49,49,49,49,49,49,49,49,49,02-19,16.20383666246125,-1.0620621248812925,-0.7793990411335434
50,50,50,50,50,50,50,50,50,02-20,17.107193623066912,-0.5310632323126733,-0.4181165601097086
51,51,51,51,51,51,51,51,51,02-21,18.300647326664915,0.17045634696590084,-0.2928679113252053
52,52,52,52,52,52,52,52,52,02-22,18.81725552242068,0.4741218876113889,-0.18608636721317473
53,53,53,53,53,53,53,53,53,02-23,17.604223033045162,-0.2389062248595663,0.046356437504272964
54,54,54,54,54,54,54,54,54,02-24,18.13133779983319,0.0709351441971896,0.3337567377887182
55,55,55,55,55,55,55,55,55,02-25,18.57648370775136,0.3325947034233937,0.342747172622247
