,mth_day,Nudity (Full Frontal),Nudity (Full Frontal)_norm
0,01-01,,
1,01-02,3.288015400417997,-0.7777737330032065
2,01-03,3.3752156407771605,-0.6163225588634917
3,01-04,3.3640371408067726,-0.6370195424716366
4,01-05,2.3573854565067576,-2.5008343176436405
5,01-06,2.4510978365052165,-2.3273259222555036
6,01-07,2.5646830993380805,-2.117022900454178
7,01-08,2.963729679362291,-1.3781884819252361
8,01-09,2.9007483016010864,-1.4947984516523996
9,01-10,3.6309098345097035,-0.14290496702208774
10,01-11,3.2491347318302055,-0.8497612592873176
11,01-12,2.7830874446226272,-1.712647432701235
12,01-13,4.221079220574176,0.9497931715262297
13,01-14,4.251623199335908,1.0063453233743056
14,01-15,3.477381124981082,-0.4271632479104883
15,01-16,3.902711248410572,0.36033512986737487
16,01-17,3.450446553867627,-0.4770325844318753
17,01-18,3.847207921407674,0.2575707650402917
18,01-19,3.2057089157362197,-0.9301641224843863
19,01-20,3.1794033350539754,-0.9788688837336944
20,01-21,3.182487303645394,-0.9731589183936485
21,01-22,3.378382107424847,-0.6104598484393283
22,01-23,3.1223623890985004,-1.08448014880154
23,01-24,3.4470679776766255,-0.48328801550306255
24,01-25,2.6375749708902765,-1.9820636595292571
25,01-26,3.2033094297632445,-0.9346067688128022
26,01-27,3.4166053585362235,-0.5396895300783836
27,01-28,3.7434062038115696,0.06538196929175955
28,01-29,4.133369760857699,0.7873991781603934
29,01-30,4.036541563076757,0.6081218486808456
30,01-31,3.767151035067272,0.10934550505946422
31,02-01,3.852438901014768,0.2672559195305504
32,02-02,4.289067841852496,1.0756740485549323
33,02-03,3.1614194541182097,-1.0121660246671265
34,02-04,3.795347189252914,0.16155066161346152
35,02-05,3.4209644455631403,-0.5316186839915591
36,02-06,4.285565341705724,1.0691891723803741
37,02-07,4.336954482321434,1.1643361244560098
38,02-08,3.5778626606513666,-0.24112176629862866
39,02-09,3.401927331408654,-0.5668658853732765
40,02-10,3.9698970237451383,0.4847295382838525
41,02-11,3.4759578466454335,-0.42979844659195565
42,02-12,2.98246320880568,-1.343503367389331
43,02-13,3.534246924829727,-0.3218762657170622
44,02-14,3.850521607096915,0.2637060514002184
45,02-15,3.318209855655769,-0.7218687236756144
46,02-16,3.336532472349743,-0.6879444137612187
47,02-17,3.742441355900253,0.0635955541682842
48,02-18,3.4959523839694415,-0.3927785769901603
49,02-19,3.497519681110865,-0.38987672760687403
50,02-20,3.7232090152516597,0.027986891091427428
51,02-21,4.26614762356648,1.033237283030272
52,02-22,3.827733563072892,0.2215140064141935
53,02-23,3.5658882649745487,-0.26329235016024316
54,02-24,3.3559564880764605,-0.6519808644330283
55,02-25,3.577333378261578,-0.2421017322130675
56,02-26,4.469691673753397,1.410098926489921
57,02-27,4.083007321558274,0.6941531627372508
58,02-28,3.517686116525833,-0.35253858882940303
59,02-29,4.461751821415797,1.3953982963411788
60,03-01,3.663711154202654,-0.08217335027485843
61,03-02,2.6881733120523044,-1.8883808719992707
62,03-03,4.008076787009048,0.5554193389305639
63,03-04,3.386718976323917,-0.5950241424497602
64,03-05,3.5978996038082633,-0.2040233823317116
65,03-06,3.6503829440834967,-0.10685052047594525
66,03-07,3.537323077942562,-0.31618077072926026
67,03-08,2.9725716119961665,-1.3618176508412434
68,03-09,3.878558179195708,0.3156157418501395
69,03-10,3.489663269386323,-0.4044228675283681
70,03-11,3.7049048644449543,-0.0059032292477013285
71,03-12,3.2104661048732877,-0.921356190664235
72,03-13,3.3439051117873633,-0.6742939778357002
73,03-14,3.632603556832154,-0.1397690415189011
74,03-15,3.4143156392965013,-0.5439289433894112
75,03-16,4.319746794608966,1.1324761046445437
76,03-17,3.7921606891507467,0.15565085926461233
77,03-18,2.971306938093587,-1.3641591935438129
78,03-19,4.541271811921291,1.5426294941201175
79,03-20,3.618313747209554,-0.16622661241892636
80,03-21,4.26699268644097,1.034801916255436
81,03-22,4.8028418770750525,2.026926257121398
82,03-23,4.7255272675868145,1.8837783205031495
83,03-24,4.2802669715929955,1.0593792444237142
84,03-25,4.184696487194089,0.8824305702486064
85,03-26,3.6292738919944427,-0.14593391325923163
86,03-27,4.788534956726635,2.0004370057264316
87,03-28,3.770286787907764,0.11515134889457455
88,03-29,4.001367811630473,0.542997676470874
89,03-30,4.001306595962318,0.5428843357110474
