,mth_day,Morgan Freeman,Morgan Freeman_norm
0,01-01,,
1,01-02,1.9378695065820932,-0.5497197500618312
2,01-03,2.126216778585857,-0.0353473566221767
3,01-04,1.3401605605442206,-2.1820501676091055
4,01-05,1.7516678546747102,-1.0582325006585271
5,01-06,1.7688524724312573,-1.0113016751055874
6,01-07,1.695520174413925,-1.2115706211132127
7,01-08,1.5926920518524317,-1.4923920365346397
8,01-09,1.2646668307271371,-2.388221937885257
9,01-10,1.5682996920226313,-1.5590070523711577
10,01-11,1.7403232989990367,-1.089214240894664
11,01-12,2.075431120159144,-0.1740419095055076
12,01-13,2.1519517829418673,0.03493439285554559
13,01-14,1.575332427762723,-1.539800800660821
14,01-15,1.8418405295225282,-0.8119728437445636
15,01-16,2.192340312576726,0.14523460816939177
16,01-17,1.8780577376904228,-0.7130644186273157
17,01-18,2.4856325149424885,0.9462093741062727
18,01-19,2.5317216822832527,1.0720779097346298
19,01-20,1.7580279842604167,-1.0408631220485687
20,01-21,2.181192191299606,0.1147893260972783
21,01-22,2.244857221952232,0.28865717056781365
22,01-23,1.4531067936673172,-1.8735964074699123
23,01-24,1.7999120663283104,-0.9264785848525383
24,01-25,1.5360591532921164,-1.6470552778440886
25,01-26,1.3886040272886577,-2.0497520903884676
26,01-27,1.3121511993172201,-2.2585431373228384
27,01-28,1.4232908449809805,-1.95502312910652
28,01-29,1.820172098795022,-0.8711488671443925
29,01-30,2.235665966277023,0.2635560468293261
30,01-31,1.9574639934101588,-0.4962076233357672
31,02-01,2.1702161480427327,0.08481398543812403
32,02-02,2.3820692931804395,0.6633804184046878
33,02-03,2.5144133209804322,1.0248091431890112
34,02-04,1.8172056954688234,-0.8792500515288081
35,02-05,1.7089011123052273,-1.1750275643628127
36,02-06,2.420903311110706,0.7694352953198711
37,02-07,2.1725601237950736,0.09121533335821504
38,02-08,2.5490344442219253,1.1193586943231533
39,02-09,2.008512955172813,-0.35679399464280104
40,02-10,2.4515382472361957,0.8530986542318288
41,02-11,3.0164397935652336,2.395832761032285
42,02-12,2.0383766518335853,-0.2752368743036737
43,02-13,1.8190094373787975,-0.8743240707407123
44,02-14,2.5779117380475207,1.1982219695015421
45,02-15,2.1873058398316236,0.13148557019259924
46,02-16,1.9827674502604167,-0.42710442091665224
47,02-17,1.7554533851926872,-1.0478942973373144
48,02-18,1.6591611776025874,-1.3108662679996659
49,02-19,2.0552836066118023,-0.22906434043828433
50,02-20,2.3120551482656877,0.472173277938581
51,02-21,2.1963531157632277,0.15619348831394667
52,02-22,2.0122749944175027,-0.3465199454892443
53,02-23,2.2650891431872817,0.3439101171002552
54,02-24,1.6343319364027857,-1.3786743975645965
55,02-25,2.4752861828506654,0.9179537612440581
56,02-26,2.1676333806627426,0.0777605026623458
57,02-27,2.5250771386962785,1.0539318025370819
58,02-28,2.5729693438614203,1.1847243961107479
59,02-29,1.8299048619101093,-0.8445688981061973
60,03-01,1.8036734173448952,-0.9162064152352967
61,03-02,1.8505762735969056,-0.7881157124985958
62,03-03,1.6810335921037776,-1.2511331692529182
63,03-04,2.580920546723346,1.2064389619937685
64,03-05,2.039431528074815,-0.2723560297275277
65,03-06,2.135462267716229,-0.010098122471257853
66,03-07,2.249923183683029,0.30249220429472545
67,03-08,1.625342844991357,-1.4032234149990093
68,03-09,2.2647899014520525,0.3430928942866229
69,03-10,1.7174077182420753,-1.1517962044963581
70,03-11,2.286595552497553,0.40264366345603225
71,03-12,2.6031429528336263,1.267127880380144
72,03-13,1.9188610648992717,-0.6016313999622112
73,03-14,2.424986729498726,0.7805870240776908
74,03-15,2.5924330293608113,1.2378793071905239
75,03-16,2.2451403212280816,0.2894303086682528
76,03-17,1.760144864730787,-1.0350819665129143
77,03-18,1.9460825574154597,-0.5272900829386683
