,unnamed: 0,unnamed: 0,mth_day,comic book,comic book_norm,comic book_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3655268957763311,-1.2018616134944209,
2,2,2,01-03,1.9197538609576104,0.3293163124857025,
3,3,3,01-04,1.6674581095228465,-0.3677080289573788,
4,4,4,01-05,1.4742666351831903,-0.9014433749084398,-0.8375217840692816
5,5,5,01-06,1.2508156302494426,-1.5187775498717964,-0.5552481982015696
6,6,6,01-07,1.3066014851695502,-1.364656449669356,-0.7945008053943284
7,7,7,01-08,1.9785593730287367,0.4917799017118512,-0.6874085001999496
8,8,8,01-09,1.4001529283177043,-1.1061993306708509,-0.5617798581668131
9,9,9,01-10,1.900037650914113,0.2748458022088943,-0.44391158892312205
10,10,10,01-11,1.7471027824361691,-0.14767152270962053,-0.42752439499698136
11,11,11,01-12,1.5067980554621825,-0.8115679344096507,-0.6182194647987322
12,12,12,01-13,1.3421906532345549,-1.2663332861125118,-0.5023251928424202
13,13,13,01-14,1.5644141008771506,-0.6523905170986539,-0.6258264757462199
14,14,14,01-15,1.6518482912342982,-0.4108336989329782,-0.5716429931784411
15,15,15,01-16,1.6318216321547514,-0.4661618952139037,-0.5780926532221569
16,16,16,01-17,1.8647766853717935,0.1774293726970515,-0.4239331014160139
17,17,17,01-18,1.4927908961954703,-0.8502658946719451,-0.4625093260141755
18,18,18,01-19,1.6769892906817383,-0.34137597527565405,-0.5914492630389049
19,19,19,01-20,1.4806355267829416,-0.8838478646876231,-0.5934859045077245
20,20,20,01-21,1.3718207825743722,-1.1844733210813547,-0.7708989628786996
21,21,21,01-22,1.6273985212885065,-0.4783817440268213,-0.7304364431635135
22,22,22,01-23,1.4794768482093643,-0.8870489775287984,-0.6793230219461285
23,23,23,01-24,1.5806660639006755,-0.6074907763808287,-0.6722446699451984
24,24,24,01-25,1.7879957354874667,-0.034695447971344044,-0.6285639808363653
25,25,25,01-26,1.4960080585366862,-0.8413777526820422,-0.775587339944943
26,26,26,01-27,1.4666850645799492,-0.9223891864283568,-0.5184101356392307
27,27,27,01-28,1.3080980321150666,-1.3605218986782868,-0.2937679272040588
28,28,28,01-29,2.0380058305218136,0.6560142483054752,-0.49159675444237644
29,29,29,01-30,2.0685366137048082,0.7403624742302025,-0.48485625717717595
30,30,30,01-31,1.3583576038817695,-1.2216684114012497,-0.6818118873039357
31,31,31,02-01,1.510646848502445,-0.8009347690908392,-0.2979365475146336
32,32,32,02-02,1.0389433137028363,-2.1041229671889154,-0.3191939188397025
33,33,33,02-03,2.141785852332973,0.9427301400575258,-0.4836329222369123
34,34,34,02-04,1.9918397715786,0.5284700203550619,-0.3557488862174601
35,35,35,02-05,1.7114134018405869,-0.2462715461530565,-0.4057529639475232
36,36,36,02-06,1.6360919415139898,-0.4543641952845365,0.1528745888985152
37,37,37,02-07,1.402049639346826,-1.1009592354712174,0.013291137641523584
38,38,38,02-08,2.2521522348632783,1.2476423498873148,-0.018185407008609645
39,39,39,02-09,1.8386431100020768,0.10522943251557597,-0.09334751643282542
40,40,40,02-10,1.9234800485712176,0.3396107524542625,0.10694124077014484
41,41,41,02-11,1.5481788080184171,-0.6972442026983511,0.25783506852840754
42,42,42,02-12,2.071072468000394,0.7473683479332851,0.31616697036928787
43,43,43,02-13,1.7297558848617614,-0.19559626892164134,0.30385193333146243
44,44,44,02-14,2.3788355381501742,1.5976337609325968,0.20944167112005133
45,45,45,02-15,1.8118977181527256,0.031339210288623374,0.14350730455356636
46,46,46,02-16,1.7184429504538101,-0.22685082081420424,-0.1818298870413749
47,47,47,02-17,1.404984722223711,-1.092850402097261,-0.19916850146699935
48,48,48,02-18,1.364515870107255,-1.2046548016363623,-0.5537028996246951
49,49,49,02-19,1.6921004530905217,-0.29962795547538795,-0.6313656704445781
50,50,50,02-20,1.6088694086389974,-0.5295726280135779,-0.3546099619813678
51,51,51,02-21,1.6432322702694402,-0.4346374146306752,-0.18092736216312286
52,52,52,02-22,2.3194918832875686,1.4336834299650578,-0.21707490201839427
53,53,53,02-23,1.7821828723620514,-0.05075480318779132,-0.1856831772416515
54,54,54,02-24,1.2860118335501745,-1.4215400407679906,-0.22140773193781946
55,55,55,02-25,1.7602759670903725,-0.1112776068149314,-0.12214306768443489
56,56,56,02-26,1.5312839973196597,-0.7439199561905854,-0.6702859430046225
57,57,57,02-27,1.858811998864376,0.16095057088963227,-0.894027420654119
58,58,58,02-28,1.1290532394703179,-1.855173821956068,-0.9680146308385801
59,59,59,02-29,1.2962685000131442,-1.3932036690847704,-1.2274195687606648
60,60,60,03-01,1.1253288472022025,-1.8654633018747573,-1.2961083775769644
61,61,61,03-02,1.1969088662791445,-1.6677072343474395,-1.7319138352992176
62,62,62,03-03,1.382107904562942,-1.1560528090883837,-1.6040851102597349
63,63,63,03-04,0.9123440588113604,-2.4538821754438858,-1.0881718183206095
64,64,64,03-05,1.4066674545378788,-1.0882014717191724,-0.7187908410859212
65,65,65,03-06,2.416711996108124,1.7022760825499816,-0.5580734193281756
66,66,66,03-07,1.9275382881883605,0.3508225615333723,-0.055699813792162156
67,67,67,03-08,1.5459496697071509,-0.7034027038009654,0.3544859454139197
68,68,68,03-09,2.473146355650237,1.8581888241276967,0.3157439464754797
69,69,69,03-10,1.803171981398524,0.007232379792605519,-0.008812116823991523
70,70,70,03-11,1.3225288571911455,-1.3206534653498123,-0.22223133253203953
71,71,71,03-12,1.7118518269210288,-0.2450602972468457,-0.30033281602811585
72,72,72,03-13,1.4640414643655133,-0.9296927327149156,-0.6006097442908365
73,73,73,03-14,1.3763314400824844,-1.1720116047774234,-0.7100654023781042
74,74,74,03-15,1.821014812315156,0.056527254551372585,-0.42828149005217514
75,75,75,03-16,1.565459788030291,-0.6495015687310013,-0.38592075907784396
76,76,76,03-17,1.934497877572653,0.37005000860576187,-0.10067334670530796
77,77,77,03-18,1.8038494673222356,0.009104088599141205,0.17565654145610163
78,78,78,03-19,2.0835324000796525,0.7817917415203003,-0.026013953793022727
79,79,79,03-20,1.9764555904089642,0.4859677241910341,0.02396285809820035
80,80,80,03-21,1.383033472646945,-1.1534957169433735,0.13549223145227937
81,81,81,03-22,1.6739977821351033,-0.3496406973836629,0.19848860267913346
82,82,82,03-23,2.176713697460603,1.039226248730236,0.5163955897340209
83,83,83,03-24,1.9406629115996936,0.3870823159602657,0.4142690653929774
84,84,84,03-25,2.7739523244626603,2.6892336638496253,0.6570831507359715
85,85,85,03-26,1.7546605683295375,-0.1267914218552268,1.0170532552729596
86,86,86,03-27,1.9103691062380843,0.3033887951145909,0.7077758593138288
87,87,87,03-28,2.4557689997386394,1.8101799298382664,0.8738426176172235
88,88,88,03-29,1.5050352348082232,-0.81643812702455,0.5234695137706827
89,89,89,03-30,2.3013212279598982,1.383482865780634,0.4616716510202761
90,90,90,03-31,2.0130235568863664,0.5869950407703812,0.46480438630922216
91,91,91,04-01,1.6204500052889688,-0.4975785983576667,0.06996279903279005
92,92,92,04-02,1.917172677563596,0.3221852068482676,0.09023473053492742
93,93,93,04-03,1.5982650443958932,-0.5588695938203265,-0.2221888376707294
94,94,94,04-04,1.5490611479989476,-0.6948065380117258,-0.15285631508616118
95,95,95,04-05,1.6228100120400757,-0.4910585434533069,-0.3330229415834569
96,96,96,04-06,2.1635976460046282,1.0029901762777904,-0.7608994987917973
97,97,97,04-07,1.229170059557143,-1.578578357341441,-0.8268783894349242
98,98,98,04-08,0.9879244625124428,-2.2450741364017746,-0.6056883607633523
99,99,99,04-09,1.4549742626779134,-0.9547429376790888,-0.29059937018659704
100,100,100,04-10,2.029434367488256,0.6323336340177061,-0.33560686815826096
101,101,101,04-11,2.3071099044811376,1.3994754000072247,-0.21564325381606053
102,102,102,04-12,2.0658518442085207,0.7329451884478067,-0.21797231393735164
103,103,103,04-13,1.4897030862457148,-0.8587966712882382,-0.08420113629075461
104,104,104,04-14,0.9828662864474176,-2.259048497129521,-0.13182192109401594
105,105,105,04-15,1.7454941006059912,-0.1521158717995066,-0.3396681787926598
106,106,106,04-16,1.9260131154185405,0.3466089251981382,-0.35690348313105597
107,107,107,04-17,1.8557162473206141,0.1523978538153615,0.12759844662909745
108,108,108,04-18,2.0284207778822587,0.6295333624174296,0.5864276936378227
109,109,109,04-19,2.5419284204774297,2.048214907272682,0.6276762711187998
110,110,110,04-20,1.979336533796158,0.4939269849228305,0.516367379216549
111,111,111,04-21,1.8350764026785336,0.09537559308635568,0.49884601805341133
112,112,112,04-22,1.684276129886228,-0.32124442621536625,0.2724046944795962
113,113,113,04-23,1.8176639322035129,0.04726968683653545,-0.04736984442315443
114,114,114,04-24,1.5366429690729508,-0.7291145790254611,-0.29735359692881713
115,115,115,04-25,1.8474526084980905,0.1295676738561782,-0.3710391522158165
116,116,116,04-26,1.4364300531904284,-1.0059755301111457,-0.41460565979366537
117,117,117,04-27,1.6750485405020208,-0.3467377386356404,-0.5394902785232405
118,118,118,04-28,1.5896598235691326,-0.5826434716824594,-0.681013684713658
119,119,119,04-29,1.5464436302571845,-0.7020380255409153,-0.7895781348621087
120,120,120,04-30,1.229287096509056,-1.5782550161679665,-0.8399244845005631
121,121,121,05-01,1.6116759111799062,-0.5218190270345259,-0.6899826005799207
122,122,122,05-02,1.3270895091767143,-1.308053627941872,-0.6059490580564343
123,123,123,05-03,2.000687385742192,0.5529135648882137,-0.2522810311095408
124,124,124,05-04,1.772161103620221,-0.07844221654154117,0.08825622519825749
125,125,125,05-05,2.31452820330623,1.4199701361404455,0.007378317074418476
126,126,126,05-06,1.9688546943392795,0.4649685216788233,0.26798853706673537
127,127,127,05-07,1.4360279339887791,-1.00708647577756,0.18868939880030633
128,128,128,05-08,1.8930742018927291,0.25560769201202915,0.4209793080180799
129,129,129,05-09,1.8284681289314164,0.07711873528963972,0.05801337637062113
130,130,130,05-10,2.276640678110924,1.3152972387651007,0.0953732678851507
131,131,131,05-11,1.5262507470501967,-0.7578254537443072,0.40869927285406044
132,132,132,05-12,2.0499916763017603,0.6891278707660006,0.32695386940794113
133,133,133,05-13,2.116499032349745,0.8728695540358983,0.24724288563209448
134,134,134,05-14,1.7155422269311846,-0.2348647286646869,0.16726524963839115
135,135,135,05-15,1.6553544396072069,-0.4011471673654404,0.55116326151785
136,136,136,05-16,2.102947882282027,0.8354314228028809,0.540220109755584
137,137,137,05-17,2.359987805766812,1.5455626175324462,0.45466379005179364
138,138,138,05-18,2.0262256997115347,0.6234689601924046,0.8827555848027369
139,139,139,05-19,1.9306906349703536,0.3595316358131558,1.016679136893366
140,140,140,05-20,2.6452578877886244,2.333686039840972,0.82894442523249
141,141,141,05-21,1.9462051993344598,0.4023941451783351,0.5399878231860785
142,142,142,05-22,1.6952318184429225,-0.29097684716237626,0.48394722703958964
143,143,143,05-23,1.7324413740792008,-0.18817699474602267,0.6250493285065527
144,144,144,05-24,1.9045185786687453,0.2872253833134709,0.16864755288862474
145,145,145,05-25,2.2371315318113045,1.2061442446149349,0.40248938730159983
146,146,146,05-26,1.6540595428588982,-0.40472461386659614,0.5088120243236841
147,147,147,05-27,2.4540551938522452,1.805445151656186,0.36120116140392283
148,148,148,05-28,1.9261398198462243,0.34695897497012873,0.3987496090795186
149,149,149,05-29,1.4118649634777678,-1.07384217226459,0.4867237329560255
150,150,150,05-30,1.9860650606918293,0.5125160693670456,0.5393804969048442
151,151,151,05-31,2.4281908366638665,1.7339889878739758,0.24940689891301449
152,152,152,06-01,1.768417768579557,-0.0887840301736833,0.1347469428092366
153,153,153,06-02,1.8243000838646117,0.06560356370520731,0.5300521568845276
154,154,154,06-03,1.6771251034466077,-0.3410007616525385,0.5356934273890551
155,155,155,06-04,2.270375808232965,1.2979891121871558,0.10170768775036772
156,156,156,06-05,1.998316586181225,0.5463636923942107,0.16387119232341488
157,157,157,06-06,1.4856749004132614,-0.8699254499581482,0.3869958245293051
158,158,158,06-07,1.903422420488312,0.2841969972645997,0.6573788094913352
159,159,159,06-08,2.3088748115945816,1.4043513569405486,0.6737467682876807
160,160,160,06-09,2.2643339652628667,1.2812971481196418,0.6152464718359562
161,161,161,06-10,2.3059232020765803,1.396196864965229,0.8889451121441717
162,162,162,06-11,1.871267569024488,0.195361913683864,0.9538823167210045
163,163,163,06-12,2.080084593310966,0.7722663918911445,0.8302795791390772
164,164,164,06-13,2.044450902714907,0.6738202247255962,0.8208530943179181
165,165,165,06-14,2.04043845690662,0.6627349314489851,0.7908835044136743
166,166,166,06-15,2.2438618359846934,1.2247382391926869,0.8116216643810282
167,167,167,06-16,2.2408362337555428,1.216379325539766,1.1638316678930085
168,168,168,06-17,1.9163060218409755,0.319790873487988,1.0358076338772828
169,169,169,06-18,2.8450026790833176,2.885526412963026,1.177213321596142
170,170,170,06-19,1.7664125220451417,-0.0943239793687578,1.0344082085929307
171,171,171,06-20,2.3475386723709817,1.5111690577621402,0.7242701145291107
172,172,172,06-21,1.9337223947771265,0.3679075611734197,1.0784623839117116
173,173,173,06-22,1.5672885353060482,-0.6444492388431551,0.9685657141114344
174,174,174,06-23,2.685529127346236,2.4449444897835924,1.0289345933271274
175,175,175,06-24,2.6063327110012646,2.226146394161364,0.8982632333265613
176,176,176,06-25,1.897519665707856,0.2678892959253997,1.0591132763608548
177,177,177,06-26,2.063750916315657,0.7271408977587429,1.2185286016256374
178,178,178,06-27,2.283051220725726,1.3330078193791808,0.7853927875354509
179,179,179,06-28,1.913501488454514,0.3120427127455398,0.6465522604810064
180,180,180,06-29,1.7448590314100048,-0.15387039475752676,0.5591775354260446
181,181,181,06-30,2.304803426985634,1.3931032318346968,0.4349547022802933
182,182,182,07-01,1.7077621154750338,-0.2563590544043716,0.37229886469071327
183,183,183,07-02,1.79396785850471,-0.018196101115765,0.3827606235187098
184,184,184,07-03,2.1469773361863997,0.9570727938417006,0.49389911587650476
185,185,185,07-04,1.9362219917245207,0.37481326571351936,0.26843025623763755
