,unnamed: 0,unnamed: 0,mth_day,oscar (best picture),oscar (best picture)_norm,oscar (best picture)_ravg,Oscar (Best Picture)_ravg
63,63,63,03-04,3.746849933106201,0.07470260482637595,-0.5334535631661002,-0.5334535631661002
64,64,64,03-05,3.26790440919956,-0.7415912915437803,-0.2889217453864063,-0.2889217453864063
65,65,65,03-06,2.989735303376773,-1.215690603277085,-0.4695358389316246,-0.4695358389316246
66,66,66,03-07,3.869550677115735,0.2838284101958055,-0.5497142620993684,-0.5497142620993684
67,67,67,03-08,2.8769880846091938,-1.4078520536273866,-0.7609957373153509,-0.7609957373153509
68,68,68,03-09,3.531880087787156,-0.2916826391701385,-0.5191755479864356,-0.5191755479864356
69,69,69,03-10,3.0030566697553738,-1.1929862464695191,-0.3402352796210386,-0.3402352796210386
70,70,70,03-11,4.119205866562078,0.7093298444297114,-0.4959889584376463,-0.4959889584376463
71,71,71,03-12,3.619674894703061,-0.14204899308470342,-0.23771825204103797,-0.237718252041038
72,72,72,03-13,3.3212369315425607,-0.6506936627038404,-0.09562414991439112,-0.09562414991439112
73,73,73,03-14,3.7862017832653696,0.14177218475226327,0.04735905159391055,0.04735905159391055
74,74,74,03-15,4.032106791598477,0.5608819735897427,-0.009621754349707246,-0.009621754349707246
75,75,75,03-16,3.506413350436879,-0.33508703741970897,-0.23095993035380155,-0.23095993035380155
76,76,76,03-17,3.918611188027963,0.36744500876800457,-0.00018906841728066887,-0.00018906841728066892
77,77,77,03-18,2.8404781190940684,-1.470078049109269,0.02177256021647704,0.021772560216477038
78,78,78,03-19,4.133640443542763,0.7339315089152848,0.16014554838058268,0.16014554838058268
79,79,79,03-20,3.863515288452245,0.2735419565548095,0.2625048322115821,0.2625048322115821
80,80,80,03-21,4.519233721780002,1.3911199025743766,0.2502771872277469,0.25027718722774694
81,81,81,03-22,3.866757983950463,0.27906866556628745,0.7347663606574599,0.7347663606574599
82,82,82,03-23,3.8755651048049775,0.29407913886499376,0.6068113297647645,0.6068113297647645
83,83,83,03-24,4.546069122730581,1.4368569914690084,0.7603924256019753,0.7603924256019753
84,84,84,03-25,3.6831887894517257,-0.033798676440888575,0.4371481231263237,0.43714812312632373
85,85,85,03-26,4.4041806939023935,1.1950285315780738,0.5456560481657708,0.5456560481657708
