,unnamed: 0,unnamed: 0,mth_day,philosophy,philosophy_norm,philosophy_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.6995023711760355,-0.5714073664249653,
2,2,2,01-03,4.939607028450523,-0.20711735499684594,
3,3,3,01-04,3.7090075418879342,-2.0741994270902198,
4,4,4,01-05,3.8812937511122354,-1.8128044760731807,-1.6440293613923753
5,5,5,01-06,3.5603240042844666,-2.299784087661046,-1.7245142341204114
6,6,6,01-07,3.165468965911957,-2.8988634561079945,-2.0610085968704968
7,7,7,01-08,4.381215421066355,-1.0543166027931816,-1.8896312900133523
8,8,8,01-09,3.6089002655693943,-2.2260835314973573,-1.7265969794620968
9,9,9,01-10,4.386739374823667,-1.0459355859473531,-1.1782680069665237
10,10,10,01-11,4.526032218226908,-0.8345986127656471,-0.6673507815153382
11,11,11,01-12,5.728755790244111,0.9901897473123922,-0.3134657343302645
12,12,12,01-13,5.185951572585826,0.16663989659911874,0.013200311838216017
13,13,13,01-14,5.780695702765564,1.0689936803172613,0.2566162038079058
14,14,14,01-15,4.900739787894129,-0.2660872544864741,0.39509721705298234
15,15,15,01-16,5.349356314345416,0.4145597658707855,0.31339577185935413
16,16,16,01-17,5.0736717666276565,-0.003712533295187565,0.4973197208155233
17,17,17,01-18,5.405657760405584,0.4999810761506229,0.20641879931602733
18,18,18,01-19,5.913300585899173,1.2701835903361336,0.09166942406693628
19,19,19,01-20,4.630293596756928,-0.6764118486797143,-0.11466493679871952
20,20,20,01-21,4.446949809267479,-0.9545835059810204,-0.3821584742335726
21,21,21,01-22,4.533382676110628,-0.8234463993231491,-0.6664144913652522
22,22,22,01-23,4.0158369298642125,-1.608673757904306,-1.0747537629910573
23,23,23,01-24,4.2815337147742,-1.2055550266394552,-1.16136270387934
24,24,24,01-25,4.2984746320213585,-1.179852039418697,-1.4016866744121483
25,25,25,01-26,4.2877882946648205,-1.1960654940094098,-1.4593120620215971
26,26,26,01-27,3.4965602388247503,-2.3965273291778706,-1.241827960280225
27,27,27,01-28,4.305496264050609,-1.1691987249798408,-1.0516766283104002
28,28,28,01-29,4.875903537343502,-0.30376914745607303,-1.0899538866871012
29,29,29,01-30,5.033509650879346,-0.06464703482050699,-1.0598667801941961
30,30,30,01-31,4.147102685786842,-1.4095155896789036,-0.8075293795754739
31,31,31,02-01,4.4067713164260764,-1.015542855051979,-0.5992880446019379
32,32,32,02-02,4.494458339663272,-0.8825029254655367,-0.6834495790216216
33,33,33,02-03,5.129011256979294,0.08024928486137581,-0.970177589880322
34,34,34,02-04,4.543076793645853,-0.8087383539741758,-0.7376717062037228
35,35,35,02-05,3.89960981363154,-1.78501509997271,-0.5559777939009399
36,36,36,02-06,5.066574706921093,-0.014480287619308531,-0.38664872558858265
37,37,37,02-07,5.125301385992843,0.07462061876471762,-0.718894190122657
38,38,38,02-08,5.1640901709785725,0.1334714844086073,-0.6926236222939108
39,39,39,02-09,3.815107264714084,-1.9132235023430704,-0.20951298665418186
40,40,40,02-10,4.646966861784688,-0.651114947001699,-0.2969390314824319
41,41,41,02-11,5.8101279715332055,1.113648713865664,-0.33439096500575444
42,42,42,02-12,4.720838070639597,-0.5390365565888089,-0.22456685329757778
43,43,43,02-13,4.977193284522288,-0.15009098237521756,-0.039533632732687285
44,44,44,02-14,5.5984026123017685,0.7924161546576675,0.027183171922637417
45,45,45,02-15,4.546843023824697,-0.8030241789537272,-0.24687906915671168
46,46,46,02-16,4.910806358016003,-0.2508141190697508,-0.2766933948752174
47,47,47,02-17,4.726316419166999,-0.5307247326104306,-0.2334948451139617
48,48,48,02-18,4.60293379271913,-0.7179225108998429,-0.281576856976803
49,49,49,02-19,5.148027059698052,0.1091003161923166,-0.23043880901578354
50,50,50,02-20,5.408256608559252,0.5039240834806197,-0.028831725022770944
51,51,51,02-21,4.749074483829299,-0.4961958911876103,-0.07480023216173991
52,52,52,02-22,5.7080854206477225,0.9588283848883248,-0.06295675288397386
53,53,53,02-23,4.544528519870727,-0.8065357754442444,0.08789476413313242
54,54,54,02-24,4.649770232539879,-0.6468616352332467,0.09512527939123393
55,55,55,02-25,5.744587228626143,1.0142094182949544,0.12913330282401528
56,56,56,02-26,5.4368505364766015,0.5473071750292287,0.0373547660700951
57,57,57,02-27,4.883563235451663,-0.2921477505909221,0.006606358377532762
58,58,58,02-28,5.345136340170905,0.4081571643648036,0.014259591123832405
59,59,59,02-29,4.422930304287221,-0.9910262215996184,-0.2812704777458221
60,60,60,03-01,4.680035846769405,-0.6009422387554488,-0.5377462019082522
61,61,61,03-02,4.5758786117401815,-0.7589709949229725,-0.4417535131001471
62,62,62,03-03,4.422586945644146,-0.9915471699453524,-0.6034038492182487
63,63,63,03-04,5.263177678737182,0.28380838225770805,-0.42110422175108414
64,64,64,03-05,4.705870963668514,-0.5617448523438063,-0.2394026930460179
65,65,65,03-06,5.143855746124227,0.10277154320336897,-0.42268803863046805
66,66,66,03-07,5.3985960362999785,0.4892669334749486,-0.25516649727272467
67,67,67,03-08,3.851055031003477,-1.8586830684296731,-0.4946728198771098
68,68,68,03-09,5.0850706977971765,0.01358207820110768,-0.55822708871494
69,69,69,03-10,4.316021593750543,-1.1532295533686028,-0.6754338323307826
70,70,70,03-11,4.454538089437638,-0.943070465370787,-0.986565432350548
71,71,71,03-12,4.680347813598432,-0.600468918491687,-0.7392262860194286
72,72,72,03-13,4.168189318907733,-1.3775226666436444,-0.7612002724221433
73,73,73,03-14,4.82918694399637,-0.3746481904429572,-0.6217330275497593
74,74,74,03-15,4.998171969168944,-0.11826184021518073,-0.32012912016831935
75,75,75,03-16,4.86756131178712,-0.3164260841342994,-0.5994783754599787
76,76,76,03-17,5.6472664192193065,0.8665529789178534,-0.19638534149578202
77,77,77,03-18,3.5756281381056705,-2.276564450241643,-0.13420118994127136
78,78,78,03-19,5.762268405352378,1.0410355371415356,0.12017368621270814
79,79,79,03-20,5.075101527353209,-0.0015432811158933221,0.31772420034694654
80,80,80,03-21,6.0041275080335055,1.4079874167086963,0.23461252949456357
81,81,81,03-22,5.6487981890429735,0.8688770006711312,0.906662291797636
82,82,82,03-23,5.318591485191488,0.3678829538035556,0.7926465748857537
83,83,83,03-24,6.23332842283095,1.7557341235767907,0.8724711817784657
84,84,84,03-25,5.311379765407863,0.35694123567024205,0.687489176964084
85,85,85,03-26,5.390777378111373,0.4774043602403789,0.7976728401955512
86,86,86,03-27,5.272594287666816,0.2980953878224055,0.6829017447038773
87,87,87,03-28,6.084532519397942,1.5299789800599346,0.4135454293046055
88,88,88,03-29,4.8647156112961625,-0.3207436191464869,0.4679372863841867
89,89,89,03-30,5.168127010251083,0.1395962311811604,0.6950523602885655
90,90,90,03-31,5.526478798479092,0.6832923781477287,0.7930435594573301
91,91,91,04-01,6.288930804298979,1.8400948036666518,0.45715401330097666
92,92,92,04-02,5.66011207658607,0.8860425828349924,0.4407132608284052
93,93,93,04-03,4.756217575283119,-0.4853582968781854,0.3301317469512995
94,94,94,04-04,4.799698710795057,-0.419388133981916,0.30369228639061835
95,95,95,04-05,4.730819332454449,-0.5238928520814735,-0.13945068647719314
96,96,96,04-06,5.421920824052763,0.5246556147836421,-0.17387002955834033
97,97,97,04-07,4.5364694967780235,-0.8187630335402173,-0.3167138251019253
98,98,98,04-08,5.523996712757447,0.6795265243481092,0.060447891817399825
99,99,99,04-09,4.191324888190371,-1.3424210701396952,0.5011977644692784
100,100,100,04-10,6.291229336457152,1.843582167534035,0.6201601962967972
101,101,101,04-11,6.473816842081237,2.120606383829798,0.4794112343289376
102,102,102,04-12,5.892371833299646,1.2384302057487544,0.392821769019369
103,103,103,04-13,3.9798610768674823,-1.6632568053473746,0.5034024240963323
104,104,104,04-14,5.181568429145214,0.15998973249069726,0.3194134753234556
105,105,105,04-15,4.6286291697602495,-0.6789371396779152,-0.13226618627804043
106,106,106,04-16,5.563623273679526,0.7396484748967747,-0.34920561733904965
107,107,107,04-17,4.687596189120779,-0.5894715857791781,-0.10082144979865992
108,108,108,04-18,5.034459190457322,-0.06320638061730102,-0.03117224582333437
109,109,109,04-19,4.9621256498525526,-0.1729518001050363,0.01189789940232642
110,110,110,04-20,5.457004445373778,0.5778849563426506,-0.09122957715875164
111,111,111,04-21,4.798955154010471,-0.4205162683239505,-0.03500138092606556
112,112,112,04-22,5.155793468219711,0.12088361553030624,0.003080271455579852
113,113,113,04-23,4.9099572426015285,-0.25210240838306164,-0.18529436590741566
114,114,114,04-24,5.185057589645306,0.16528353367257148,-0.13596595075554022
115,115,115,04-25,4.217175862743066,-1.3031996242830093,0.11969500651736519
116,116,116,04-26,5.6520794983652625,0.8738554472539033,0.04033703758769234
117,117,117,04-27,5.809996652795973,1.1134494753134818,0.0725020932450262
118,118,118,04-28,4.8419629924870256,-0.3552641980477308,0.1341390772803378
119,119,119,04-29,5.037157760143188,-0.059112074439058485,0.456336256236586
120,120,120,04-30,5.4288083343206415,0.5351054378844412,0.2758544022783365
121,121,121,05-01,5.491342721035234,0.6299834494544799,0.02367028075449029
122,122,122,05-02,4.9383426569016216,-0.20903567649559385,0.21694554465020285
123,123,123,05-03,4.812704712270191,-0.3996552538295953,0.13552143127557886
124,124,124,05-04,5.60629288693663,0.8043873853265445,-0.08317609315584924
125,125,125,05-05,4.7151564717897045,-0.5476567546868024,-0.15517021261776365
126,126,126,05-06,4.563943103272462,-0.7770797087041275,-0.14689553080849596
127,127,127,05-07,5.206633459124672,0.19801873268299355,-0.2346968046199606
128,128,128,05-08,4.971065864964574,-0.15938758563998778,-0.0468249744332415
129,129,129,05-09,4.465484188587098,-0.9264628966983832,-0.03502707468303793
130,130,130,05-10,6.349254263588277,1.9316183664468591,0.18411748539735298
131,131,131,05-11,4.761812661976907,-0.476869356185581,0.15757105225474619
132,132,132,05-12,5.430576189676263,0.537787651778218,0.20221937628436912
133,133,133,05-13,5.101652448968864,0.03874013382735268,0.41439891607914925
134,134,134,05-14,5.147632943984718,0.10850235853774966,-0.011446620958509235
135,135,135,05-15,5.304573278348818,0.3466143420702977,0.4134188366627936
136,136,136,05-16,4.665197712246795,-0.6234548557790917,0.4496927520940453
137,137,137,05-17,6.4419933733285415,2.072323389542236,0.5109492849984977
138,138,138,05-18,5.574025679248824,0.7554311443657279,0.6348588590810668
139,139,139,05-19,5.343898654641992,0.4062793312540664,0.5750515131685474
