,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,anime,anime_norm,anime_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,1.5404942974154927,0.4216355822900696,
2,2,2,2,01-03,1.1195057125607617,-1.0596397496729841,
3,3,3,3,01-04,1.2718956526695238,-0.5234459733017583,
4,4,4,4,01-05,1.2958073339625014,-0.4393111893211611,-0.8075685618604463
5,5,5,5,01-06,1.0109415866889366,-1.4416295882942798,-0.9354874857558529
6,6,6,6,01-07,0.9082318301898497,-1.8030204528625635,-1.0027253401224463
7,7,7,7,01-08,1.3223616967375371,-0.34587796108237,-1.0595640478395552
8,8,8,8,01-09,1.0048489628762272,-1.4630668758725445,-0.9855567997610463
9,9,9,9,01-10,1.1749719547837856,-0.8644782196044104,-0.8673326889930285
10,10,10,10,01-11,1.4220075317188825,0.004732299149891467,-0.5396914223332298
11,11,11,11,01-12,1.212542194006057,-0.7322849236861729,-0.21917519762305182
12,12,12,12,01-13,1.4669391692568878,0.16282714709622886,-0.12726246579614228
13,13,13,13,01-14,1.8689191217568213,1.5772193871786977,-0.07493633675495964
14,14,14,14,01-15,1.1615823266216303,-0.911590484911087,-0.23386591825763617
15,15,15,15,01-16,1.264200618249531,-0.5505214453573145,-0.18686056488304637
16,16,16,16,01-17,1.1509942845609855,-0.9488451898661678,0.07639742295260002
17,17,17,17,01-18,1.292697652363175,-0.45025280343863416,-0.31572813935718186
18,18,18,18,01-19,1.915857498047624,1.7423750741101072,-0.21525939156695276
19,19,19,19,01-20,1.2002505143748756,-0.7755339866799937,-0.26886593450321944
20,20,20,20,01-21,1.3329057600509142,-0.30877799816971224,-0.3562909193718607
21,21,21,21,01-22,1.1727885404430956,-0.8721607029749144,-0.5429372228371865
22,22,22,22,01-23,1.0019136111711708,-1.4733950990780154,-0.8011442542721459
23,23,23,23,01-24,0.97442071301753,-1.5701306242305888,-0.8636158236807634
24,24,24,24,01-25,1.4755522674759889,0.1931328855003508,-1.014922443470858
25,25,25,25,01-26,1.093721429478278,-1.150363403131699,-1.081324137420191
26,26,26,26,01-27,1.0748915001624353,-1.2166177169102792,-1.043947359330805
27,27,27,27,01-28,1.0595576458302474,-1.2705708666709132,-0.783809963579353
28,28,28,28,01-29,1.0656500276553105,-1.2491344305417007,-1.060875832809926
29,29,29,29,01-30,1.4180176800718516,-0.009306249721875269,-1.2286758716865709
30,30,30,30,01-31,1.0030881724545202,-1.4692623298830874,-1.1843910188493652
31,31,31,31,02-01,0.8075819142338173,-2.157163636391569,-0.8258884059728807
32,32,32,32,02-02,1.1504078493143306,-0.9509085998870443,-0.752305956003
33,33,33,33,02-03,1.6708910194640931,0.8804448105879937,-0.9884800564191473
34,34,34,34,02-04,1.191125842236972,-0.8076397307224155,-0.8518359021406345
35,35,35,35,02-05,1.0152839080251583,-1.42635085221876,-0.26472660971083034
36,36,36,36,02-06,1.2360993941919958,-0.6493974042120106,0.1234320256284465
37,37,37,37,02-07,1.8087447831821428,1.365492118187256,-0.2277160678602733
38,38,38,38,02-08,1.8123118899658424,1.3780432121486168,-0.17691321440335014
39,39,39,39,02-09,1.0720988742266129,-1.226443750344325,0.1430785501333485
40,40,40,40,02-10,1.277756953639072,-0.5028226099808766,0.28541843773834624
41,41,41,41,02-11,1.5609470020251592,0.4935997350014317,0.060892331892837936
42,42,42,42,02-12,1.4788232142334576,0.20464192141797605,-0.09719102325717048
43,43,43,43,02-13,1.4258736496802649,0.018335483114205933,0.1156676883650168
44,44,44,44,02-14,1.5427416627259418,0.4295430812485663,0.1266512715221624
45,45,45,45,02-15,1.4350742880994778,0.05070851938879862,0.0334215365313873
46,46,46,46,02-16,1.296486610564499,-0.43692111103800296,-0.0785305860327984
47,47,47,47,02-17,1.4019678304157843,-0.06577867494321904,-0.07381961186817088
48,48,48,48,02-18,1.28791785869505,-0.4670708139671382,-0.1542232461664623
49,49,49,49,02-19,1.433906996232626,0.04660132810197108,-0.14307460660656549
50,50,50,50,02-20,1.4056340845869468,-0.05287872454118228,0.35678071019498864
51,51,51,51,02-21,1.4540854059791897,0.11760035674817962,0.3193112198341181
52,52,52,52,02-22,2.1488604181004294,2.5622107897713216,0.19129409164976238
53,53,53,53,02-23,1.3380733171600503,-0.2905956171084421,0.29626760941921837
54,54,54,54,02-24,1.0696177960318467,-1.2351735830732726,0.3418658344054069
55,55,55,55,02-25,1.612912148371709,0.6764424347187069,0.3072200110625671
56,56,56,56,02-26,1.4833900498471662,0.22071062537594927,-0.16949123646840655
57,57,57,57,02-27,1.3950059256469285,-0.09027458330885936,-0.3070335788516673
58,58,58,58,02-28,1.335952827653617,-0.2980566954145202,-0.17926299401617196
59,59,59,59,02-29,1.1035304681916664,-1.1158496714080068,-0.33012913418073125
60,60,60,60,03-01,1.2874974428548516,-0.4685500740603002,-0.30760875076508865
61,61,61,61,03-02,1.3556490124243774,-0.2287544062686488,-0.407814092128433
62,62,62,62,03-03,1.5217927322113134,0.3558329258698047,-0.27473446976937255
63,63,63,63,03-04,1.224131663670796,-0.6915066314889255,0.2823557256061666
64,64,64,64,03-05,1.562885663221854,0.5004210387398426,0.7366145608743073
65,65,65,65,03-06,2.053503540423089,2.226691500845228,0.8754607451276254
66,66,66,66,03-07,2.0621182581378115,2.2570029375485436,0.784131459877807
67,67,67,67,03-08,1.5924152260782003,0.6043226992512606,0.8283896887082683
68,68,68,68,03-09,1.3660542855222917,-0.19214278562910644,0.46767035609235474
69,69,69,69,03-10,1.2996026124733546,-0.4259572585061573,0.17503248306381666
70,70,70,70,03-11,0.9477722480819432,-1.6638949569556392,-0.22468697254401934
71,71,71,71,03-12,1.5544854252240083,0.4708642626739995,-0.5095206216848698
72,72,72,72,03-13,1.380500232140291,-0.14131379609847242,-0.4999777068643929
73,73,73,73,03-14,1.106705193851161,-1.1046791955938418,-0.48907078807392484
74,74,74,74,03-15,1.382327255654067,-0.1348852967062451,-0.10932819692680347
75,75,75,75,03-16,1.3182015381733034,-0.3605157457633488,-0.33381309834959055
76,76,76,76,03-17,1.595324904660239,0.6145605899270888,0.3261622824878859
77,77,77,77,03-18,1.1716845551953832,-0.8760451458627229,0.6600283210884537
78,78,78,78,03-19,2.5059173465245115,3.8185384889263863,0.7229659909687497
79,79,79,79,03-20,1.6760272695866951,0.8985170360095648,0.8842199004435729
80,80,80,80,03-21,1.4896511542105078,0.2427407225755312,0.7987742925277216
81,81,81,81,03-22,1.5931783248135007,0.6070077110855898,0.9826445611813446
82,82,82,82,03-23,1.449619546112715,0.1018869424319806,0.3405233301198782
83,83,83,83,03-24,1.4852276860113034,0.22717646605901434,0.14652446574247288
84,84,84,84,03-25,1.4109458613321002,-0.0341888974424125,0.1612770147333319
85,85,85,85,03-26,1.3452124415178277,-0.2654761502548669,0.2676224370740256
86,86,86,86,03-27,1.5148078064087098,0.33125601652068504,0.044348894088096245
87,87,87,87,03-28,1.7745229049503584,1.245080245129752,-0.07012519724002737
88,88,88,88,03-29,1.0688843342223728,-1.2377543154835955,-0.06851499825824107
89,89,89,89,03-30,1.2900217657983823,-0.4596680819097274,0.17154768427283754
90,90,90,90,03-31,1.4136916387418073,-0.024527703551694684,0.2629822474833681
91,91,91,91,04-01,1.7545771834308188,1.1748999449316049,0.030992102322687825
92,92,92,92,04-02,1.6707257773984752,0.8798633957838687,0.14290492164275298
93,93,93,93,04-03,1.3789237851756109,-0.14686062583432988,0.14756958064977838
94,94,94,94,04-04,1.25972266825533,-0.5662773995632046,0.31204320736943836
95,95,95,95,04-05,1.2979761338425528,-0.43168012786757504,0.07585164780893694
96,96,96,96,04-06,1.694158819411884,0.9623140567662652,-0.15426800236647145
97,97,97,97,04-07,1.3518136393343962,-0.2422494124314036,-0.386659179940454
98,98,98,98,04-08,1.2783163024649091,-0.5008545052685817,-0.39176906286552327
99,99,99,99,04-09,0.9826408084655026,-1.5412076912782255,-0.25690097944805484
100,100,100,100,04-10,1.2510090861076515,-0.5969366971136199,-0.35072599419100964
101,101,101,101,04-11,1.5279587266320185,0.3775283726372357,-0.5144169596106368
102,102,102,102,04-12,1.5341645523301608,0.3993639683085364,-0.628054289470579
103,103,103,103,04-13,1.0726810848449284,-1.2243952049491669,-0.24854663762798837
104,104,104,104,04-14,1.0845372622603813,-1.1826784844282343,0.0021938920196670577
105,105,105,105,04-15,1.6297928368963892,0.7358382197773181,0.04778552720032279
106,106,106,106,04-16,1.6785821312978422,0.9075064807723128,0.0024644694899160955
107,107,107,107,04-17,1.6057034546853015,0.6510781837211701,0.2647185018514248
108,108,108,108,04-18,1.4568812240875777,0.1274376220460962,0.4104116671010276
109,109,109,109,04-19,1.519887427544243,0.3491289892198854,0.4502910880642226
110,110,110,110,04-20,1.3329792290086668,-0.3085194929306176,0.35874176966354926
111,111,111,111,04-21,1.6977968627537792,0.9751147455564882,0.3006125189811985
112,112,112,112,04-22,1.5224684750466249,0.35821057036827264,0.23891835831994682
113,113,113,113,04-23,1.5065790699525956,0.3023026796270657,0.10483665512006024
114,114,114,114,04-24,1.35167780850314,-0.2427273419214141,-0.019720219268174365
115,115,115,115,04-25,1.29124580258627,-0.455361229979434,-0.3428858655763188
116,116,116,116,04-26,1.1205797331777083,-1.0558607392600252,-0.5278096464921923
117,117,117,117,04-27,1.1467215352548792,-0.9638791322923784,-0.6991323054808466
118,118,118,118,04-28,1.2071288518696623,-0.7513321151269684,-0.7899538895434298
119,119,119,119,04-29,1.214432638273618,-0.7256332743048597,-0.6979592739527499
120,120,120,120,04-30,1.1968051147220264,-0.7876568462969133,-0.4630291342958412
121,121,121,121,05-01,1.448118797887354,0.09660646356464564,-0.24290556149200607
122,122,122,122,05-02,1.5211922522675214,0.3537200986814273,0.14270603375096863
123,123,123,123,05-03,1.5220852886701637,0.3568623045306321,0.11435329217210455
124,124,124,124,05-04,1.8646895751814208,1.5623374563308798,0.05260068604427367
125,125,125,125,05-05,1.1660843793248126,-0.8957497237780442,0.03304674893883438
126,126,126,126,05-06,1.091502035528527,-1.1581724830638986,0.0962877323543259
127,127,127,127,05-07,1.4147746215574293,-0.02071715906799009,0.2404386960974907
128,128,128,128,05-08,1.6290333735165723,0.7331659991743764,0.4760396007132626
129,129,129,129,05-09,1.7678974300953103,1.2217680869896208,0.6069512190325126
130,130,130,130,05-10,2.2664459102170293,2.9759428840255118,1.0283170446520382
131,131,131,131,05-11,1.3893202453979745,-0.11028001386254434,1.1229924856424887
132,132,132,132,05-12,1.8100323403515628,1.3700224706532549,1.0486324352215775
133,133,133,133,05-13,1.5762190703902337,0.5473354868747132,0.930766451445189
