,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,suicide,suicide_norm,suicide_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,3.707592670440576,-1.7859599779773483,
2,2,2,2,01-03,4.202201118630748,-0.9341172586807036,
3,3,3,3,01-04,3.345738825870772,-2.409165190250169,
4,4,4,4,01-05,3.2280561450493543,-2.611844977083272,-2.2801309473912945
5,5,5,5,01-06,3.1970084104707683,-2.6653171463278507,-2.237967199566833
6,6,6,6,01-07,2.843365435094004,-3.274381134028425,-2.4073328590025773
7,7,7,7,01-08,3.8544827857794113,-1.5329774910305805,-2.291540455732245
8,8,8,8,01-09,3.612164830762588,-1.9503112152951672,-1.7714957897906995
9,9,9,9,01-10,3.7491365395311407,-1.7144107706281762,-1.1486653260803905
10,10,10,10,01-11,5.0397883771917344,0.5084230185660004,-0.6029177786887261
11,11,11,11,01-12,5.3668259283971755,1.0716656359340044,-0.5515618948586468
12,12,12,12,01-13,4.744641396519341,0.000104150321561944,-0.14243191155665666
13,13,13,13,01-14,4.033396475580765,-1.2248421880501046,0.19483732764438644
14,14,14,14,01-15,5.037492358239635,0.5044686845167743,-0.1497001478775235
15,15,15,15,01-16,4.92411552035459,0.3092046645780823,-0.25178559294829167
16,16,16,16,01-17,3.839488305939444,-1.5588018345654593,-0.20766606529131884
17,17,17,17,01-18,5.011180532184037,0.4591529655093953,0.17553712504761795
18,18,18,18,01-19,4.898345059988931,0.26482131626339905,0.04547181109619747
19,19,19,19,01-20,5.368400210577021,1.0743769539835162,-0.06681687210376652
20,20,20,20,01-21,4.584370661196801,-0.2759231991917486,-0.12582809328997543
21,21,21,21,01-22,4.532924070885773,-0.3645274346217016,-0.3550859279888696
22,22,22,22,01-23,3.6339049426574235,-1.9128691616827125,-0.7528349680417353
23,23,23,23,01-24,4.212491812161969,-0.9163940426839696,-1.2359309806014367
24,24,24,24,01-25,3.5126664762796103,-2.1216729240537955,-1.6194738358038308
25,25,25,25,01-26,3.685389741487332,-1.8241991213746915,-1.7436367657849168
26,26,26,26,01-27,3.2481836013410588,-2.5771803304061125,-1.6393689103606797
27,27,27,27,01-28,4.100365106211659,-1.109505014508217,-1.4802257874570384
28,28,28,28,01-29,3.99715342268257,-1.2872620291372905,-1.17699516128269
29,29,29,29,01-30,4.766914814975214,0.038464694737878086,-0.9254368934247212
30,30,30,30,01-31,4.56906169613662,-0.30228916700770475,-0.5372906036207118
31,31,31,31,02-01,4.561768737347308,-0.31484951422687896,-0.35133904920049597
32,32,32,32,02-02,4.6004081121938345,-0.2483025915820563,-0.17387504983410831
33,33,33,33,02-03,4.748183354957915,0.006204312013077983,-0.48039262485952916
34,34,34,34,02-04,4.6154027169328415,-0.2224780329389647,-0.1138051480686713
35,35,35,35,02-05,3.699068518760929,-1.8006407554146469,0.11820231541934094
36,36,36,36,02-06,5.846179588307054,1.8972356937374424,0.06809161896575097
37,37,37,37,02-07,5.370036617449122,1.0771952667011944,0.05047978197171044
