,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,spy,spy_norm,spy_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,1.944088616774492,-0.3648744662777758,
2,2,2,2,01-03,1.5589602718119246,-1.4407285174701312,
3,3,3,3,01-04,2.1798382538019605,0.2936909324538622,
4,4,4,4,01-05,1.6773313343647376,-1.1100595629330008,-0.859920248548793
5,5,5,5,01-06,1.5804825771971065,-1.3806060680516206,-0.8978251268245999
6,6,6,6,01-07,1.660547968555949,-1.1569438090140922,-0.8816003050984778
7,7,7,7,01-08,1.8626747315721817,-0.5923037359326174,-1.0538358805966086
8,8,8,8,01-09,1.5938087090982027,-1.3433795871133978,-0.9237974813861539
9,9,9,9,01-10,1.8099025619016251,-0.7397225205349234,-0.6657655451624928
10,10,10,10,01-11,1.9566339409627205,-0.3298291676702721,-0.6283878566732258
11,11,11,11,01-12,2.1346957389275603,0.16758554929034675,-0.5424525474203654
12,12,12,12,01-13,1.7408295306717978,-0.9326776780784908,-0.5138503225197592
13,13,13,13,01-14,2.0472506416022864,-0.07669188041545456,-0.1553315231425981
14,14,14,14,01-15,1.6552419166564734,-1.1717662377097602,-0.29044645847650363
15,15,15,15,01-16,2.5799461473994825,1.4113902757280432,-0.447074970451687
16,16,16,16,01-17,1.6664277106629886,-1.1405187796737053,-0.33881880161758365
17,17,17,17,01-18,1.7982816341104733,-0.7721855225607532,-0.20376556277961488
18,18,18,18,01-19,1.973347235590188,-0.2831406650738708,-0.07230391494162751
19,19,19,19,01-20,2.3373243572583613,0.7336275526123579,-0.32146922693151286
20,20,20,20,01-21,1.9376014437788585,-0.382996350681836,-0.36547866218920816
21,21,21,21,01-22,2.0447771393594363,-0.08360159621126895,-0.4173112190692561
22,22,22,22,01-23,1.571902170076426,-1.4045753912198773,-0.7029636673715259
23,23,23,23,01-24,1.6869532239552083,-1.0831808638410407,-1.0516111469830662
24,24,24,24,01-25,1.3598094353993573,-1.9970553548874896,-1.0852683993978751
25,25,25,25,01-26,1.5884828578969068,-1.3582573250568848,-1.2696685699492252
26,26,26,26,01-27,1.8653108097241555,-0.5849398651706883,-1.2687797421879965
27,27,27,27,01-28,1.6487137565062588,-1.1900026195193694,-1.1204918808172302
28,28,28,28,01-29,1.5738112362602237,-1.3992424246525048,-0.8973230290252533
29,29,29,29,01-30,2.0054528860485994,-0.19345369561644327,-0.9561104504589513
30,30,30,30,01-31,1.8391420202007147,-0.6580422441356278,-1.0155287166346074
31,31,31,31,02-01,1.4622164616531894,-1.7109818536590728,-0.7808866307134427
32,32,32,32,02-02,1.7376894553922322,-0.9414494622246252,-0.5562594248569329
33,33,33,33,02-03,2.1526890946623767,0.2178498960076195,-0.5919294388305568
34,34,34,34,02-04,2.0562761426991885,-0.05147918951344662,-0.7657288302957986
35,35,35,35,02-05,1.9288391477935176,-0.4074737794581865,-0.40164438617090603
36,36,36,36,02-06,1.4658474906146988,-1.7008385929270793,-0.3978503968357965
37,37,37,37,02-07,2.2442142014230018,0.4735248110902834,-0.5008543297664092
38,38,38,38,02-08,1.7458383646154692,-0.9186855262139678,-0.6928720254150841
39,39,39,39,02-09,1.9314523897195264,-0.4001737015760567,-0.6382626852021236
40,40,40,40,02-10,1.643851480189953,-1.2035853634054956,-0.4127625938523174
41,41,41,41,02-11,2.046131664147792,-0.0798177381804237,-0.618499913587956
42,42,42,42,02-12,1.9501872216825389,-0.3478380448282423,-0.3075926823470175
43,43,43,43,02-13,1.8023218832651309,-0.7608991073235479,-0.11400688290605095
44,44,44,44,02-14,2.413619578649165,0.9467578612316626,-0.14592585305000416
45,45,45,45,02-15,2.347245099507585,0.7613410950697425,-0.48204024582898714
46,46,46,46,02-16,1.5752944107761628,-1.3950991842692146,-0.6073029325202112
47,47,47,47,02-17,1.3242093197613756,-2.0965040948543217,-0.6291077102698506
48,48,48,48,02-18,1.6811421156619433,-1.0994141649755866,-0.8270877698534592
49,49,49,49,02-19,1.7554885532738285,-0.8917277738213844,-1.1698426373099582
50,50,50,50,02-20,1.9883886696879285,-0.2411224962699892,-0.9075016306451351
51,51,51,51,02-21,1.6110600304356977,-1.295188109669252,-0.5130912837671212
52,52,52,52,02-22,2.1387627972213026,0.17894685571972396,0.11938465601981237
53,53,53,53,02-23,2.1713424636718957,0.2699579864137617,0.4982579178128425
54,54,54,54,02-24,3.0396037674937584,2.6954414737460146,0.5932442437172222
55,55,55,55,02-25,2.569250413090429,1.3815117969367965,0.8900079871696952
56,56,56,56,02-26,2.1924047801394466,0.3287954591562889,0.883854003079494
57,57,57,57,02-27,2.24846319437273,0.4853943510455863,0.6881586748084701
58,58,58,58,02-28,2.1255449799627715,0.14202295117851685,0.1226111075655898
59,59,59,59,02-29,1.7510188083746192,-0.9042139832123816,-0.28431799476612546
60,60,60,60,03-01,1.8248940306379315,-0.6978439297112679,-0.4755453262547162
61,61,61,61,03-02,1.6952288958162631,-1.0600628170534951,-0.6606185289805125
62,62,62,62,03-03,1.7816776990478036,-0.8185685297752552,-0.800606288551795
63,63,63,63,03-04,1.8509542412742364,-0.6250448653091925,-0.6600959965050094
64,64,64,64,03-05,1.824872667957508,-0.6979036062491774,-0.6121105096239957
65,65,65,65,03-06,2.0528134402740545,-0.06115223093166786,-0.34821077705273096
66,66,66,66,03-07,1.927959522416632,-0.4099310084251858,-0.3098972560172161
67,67,67,67,03-08,2.2620451872747243,0.5233355783740931,-0.22170813425744132
68,68,68,68,03-09,1.8639692864415187,-0.5886874035621659,-0.19515083025062907
69,69,69,69,03-10,2.040370996099312,-0.0959101347505438,-0.413749664920475
70,70,70,70,03-11,1.8819136979790567,-0.5385597822083039,-0.3503218833471861
71,71,71,71,03-12,1.5832965537753412,-1.3727452389507433,-0.748221395346845
72,72,72,72,03-13,2.064192703013358,-0.029364318985452283,-0.885486038121779
73,73,73,73,03-14,1.4074178499625378,-1.86406149362386,-0.945498336506652
74,74,74,74,03-15,1.5691458131170504,-1.4122752602117707,-0.8093708689352366
75,75,75,75,03-16,1.9114737513731288,-0.4559839250597824,-0.963088158371033
76,76,76,76,03-17,2.174294692770801,0.2782050232201889,-0.6831425053384113
77,77,77,77,03-18,1.253135310025251,-2.2950489755655217,-0.1572027259728724
78,78,78,78,03-19,2.6654731791844264,1.6503095992102776,-0.01925334458422519
79,79,79,79,03-20,2.537056112062529,1.2915771825693732,0.04819730208434297
80,80,80,80,03-21,1.8654400003291824,-0.5845789718798875,-0.0937828274620011
81,81,81,81,03-22,2.056347431344853,-0.05128004504837348,0.3104695607957366
82,82,82,82,03-23,1.8693430745704365,-0.5736757540578754,-0.03859569872984044
83,83,83,83,03-24,2.12140765457414,0.13046535398090475,-0.24392849801523794
84,84,84,84,03-25,1.91573435242058,-0.4440819579431847,-0.08845755121839334
85,85,85,85,03-26,2.096032642005377,0.05958038685698828,0.12458357737287713
86,86,86,86,03-27,2.1993678320640093,0.3482467089011801,0.3566061046992717
87,87,87,87,03-28,2.5139272146196228,1.2269667264992494,0.2537577690787996
88,88,88,88,03-29,2.3676920012350418,0.8184594099004919,0.34723940206968323
89,89,89,89,03-30,1.9005051488721736,-0.4866246597419277,0.4729311570572332
90,90,90,90,03-31,2.116518612469289,0.11680784000211725,0.571946922060457
91,91,91,91,04-01,2.3659993211482204,0.8137309167822879,0.3501223122579531
92,92,92,92,04-02,2.4120385618454194,0.9423412989205234,0.0530081686207417
93,93,93,93,04-03,2.0374818561593906,-0.10398093231577472,0.11498727617726666
94,94,94,94,04-04,1.7295362312559177,-0.9642254519227764,0.03242634311470909
95,95,95,95,04-05,2.0336267990944137,-0.11475001440277798,-0.32195581715730665
96,96,96,96,04-06,1.9391903467605247,-0.37855775837322814,-0.6590550362053936
97,97,97,97,04-07,1.6048406042094745,-1.3125620448498063,-0.8099333705650512
98,98,98,98,04-08,1.6880009611525817,-1.0802540153679985,-0.7995956334715976
99,99,99,99,04-09,1.7134182540105083,-1.0092509384737212,-0.817982056714421
100,100,100,100,04-10,1.7517401105258656,-0.9021990293620544,-0.5775379047956278
101,101,101,101,04-11,1.9941355721267304,-0.22506855385971813,-0.6264073823088299
102,102,102,102,04-12,2.4556276358990483,1.0641071531395312,-0.5528897507914124
103,103,103,103,04-13,1.4998764356608552,-1.6057789099290185,-0.38053066408045866
104,104,104,104,04-14,1.8459055973092675,-0.6391482262634939,-0.24333433968119053
105,105,105,105,04-15,2.083619229118688,0.024903581792001167,-0.15864817333562262
106,106,106,106,04-16,2.0464168464210983,-0.07902108296644586,-0.3948858519667038
107,107,107,107,04-17,2.1760285141094085,0.28304844421368924,-0.24672138283290776
108,108,108,108,04-18,1.9482252084704208,-0.3533189186469561,-0.09409016199256391
109,109,109,109,04-19,1.8181110700883487,-0.7167920951262424,-0.05948198024638648
110,110,110,110,04-20,2.173734131709689,0.2766390987785692,0.09461989515945257
111,111,111,111,04-21,2.1579523140383228,0.2325526722690657,-0.07133674614006046
112,112,112,112,04-22,2.3774041220552022,0.8455901694685884,-0.23978015811201167
113,113,113,113,04-23,1.819579013203264,-0.7126914035833889,-0.09091104416546586
114,114,114,114,04-24,1.5864345042347956,-1.3639793904786632,-0.201166974375775
115,115,115,115,04-25,2.137859173876599,0.17642258855303242,-0.19166848564736536
116,116,116,116,04-26,1.9369212449962327,-0.3848964824832856,-0.4442160681778578
117,117,117,117,04-27,2.1783536160898254,0.2895436046395234,-0.4422956732441386
118,118,118,118,04-28,1.8349705138359251,-0.6696953257143664,-0.3052318780190047
119,119,119,119,04-29,1.8237037280101365,-0.7011690339810736,-0.3419025163694931
