,unnamed: 0,unnamed: 0,mth_day,emotional,emotional_norm,emotional_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.244044630973983,-0.9706298127901564,
2,2,2,01-03,5.321576894465093,-0.858980273723817,
3,3,3,01-04,4.079982048140023,-2.6469261695021875,
4,4,4,01-05,4.4856414610785285,-2.062760501777301,-1.7742754721778986
5,5,5,01-06,4.730743394333338,-1.7098039822593818,-1.8292656421277573
6,6,6,01-07,4.253848138693686,-2.3965520930145474,-2.184885237552739
7,7,7,01-08,5.014925242844309,-1.3005708324893075,-1.8634527996518822
8,8,8,01-09,3.8398694513895495,-2.9926978462737064,-1.6668129944247385
9,9,9,01-10,5.419246930645876,-0.7183315420970471,-1.612566220892145
10,10,10,01-11,5.304951383136653,-0.8829216704144401,-1.08333325265237
11,11,11,01-12,4.956765382829282,-1.3843233410638205,-0.9474330872097987
12,12,12,01-13,6.458924681859765,0.7788457164241032,-0.49837446942141406
13,13,13,01-14,5.581160313245355,-0.4851698398338785,-0.14017491900536816
14,14,14,01-15,5.710895415409091,-0.2983461395433982,-0.03353398780836031
15,15,15,01-16,6.911703889671157,1.4308657603992283,0.347635103775955
16,16,16,01-17,5.749276340264743,-0.24307608323239305,0.24351961754688936
17,17,17,01-18,6.544926123510303,0.9026912084420716,0.18695629738223732
18,18,18,01-19,6.025122121849883,0.15415279904970933,0.21174600353617967
19,19,19,01-20,5.345486313355464,-0.8245497608217907,-0.1277924084233944
20,20,20,01-21,5.814183008647749,-0.14960790261974422,-0.3627812932657653
21,21,21,01-22,5.4969995294985186,-0.6063647113582161,-0.7608283680127911
22,22,22,01-23,4.770182993918442,-1.6530093922866185,-1.0120173199471398
23,23,23,01-24,4.886442392763433,-1.485591240040083,-1.2848147585065506
24,24,24,01-25,4.9785303578198725,-1.3529809125563834,-1.5500891852840548
25,25,25,01-26,4.208861671841047,-2.461334392178255,-1.7546531922893953
26,26,26,01-27,4.708903384941685,-1.7412544632847706,-1.6037513588409749
27,27,27,01-28,4.644673010756075,-1.8337487533902588,-1.468157138049146
28,28,28,01-29,5.39892329020911,-0.7475983915960966,-1.332650694396074
29,29,29,01-30,5.451402728948463,-0.6720259152891093,-0.9496422370248636
30,30,30,01-31,5.5431249660149335,-0.5399422506379515,-0.7374854675932937
31,31,31,02-01,5.804686225236673,-0.16328364795099168,-0.4342148816612162
32,32,32,02-02,5.592865541160752,-0.4683138466953516,-0.47375101092866717
33,33,33,02-03,5.908265597391907,-0.014125237797793474,-0.4655251796767521
34,34,34,02-04,5.234193962130402,-0.984815167200803,-0.43481686925716145
35,35,35,02-05,5.485676080440471,-0.6226709277776189,-0.5551427089277493
36,36,36,02-06,5.671072730138018,-0.3556923881204078,-0.4837641615502187
37,37,37,02-07,5.303342388935518,-0.8852386859745187,-0.7434733617508572
38,38,38,02-08,5.890267951730442,-0.04004256243016778,-0.5091353530345564
39,39,39,02-09,4.826173778147207,-1.572380439001625,-0.26180068803638945
40,40,40,02-10,6.21057539942297,0.4212128850970028,-0.2618454988552737
41,41,41,02-11,6.516208758541134,0.8613370622113825,-0.1105366431294782
42,42,42,02-12,5.670886023542754,-0.35596125303371323,0.37879515034003575
43,43,43,02-13,5.9337785646030365,0.022614448380254303,0.5424757423836842
44,44,44,02-14,7.929094185843946,2.895948198386916,0.3180434715124572
45,45,45,02-15,5.508157433261192,-0.5902968867397343,0.01788446765732558
46,46,46,02-16,5.275466731356354,-0.9253807401303592,0.08915041679665436
47,47,47,02-17,5.265580739613222,-0.9396169609194072,0.07417419517092338
48,48,48,02-18,5.9678192877274645,0.07163444180225942,-0.5618667052218229
49,49,49,02-19,5.871379362372697,-0.06724288137413162,-0.5405565636578977
50,50,50,02-20,5.278996867426608,-0.9202972039695616,-0.44311444601553335
51,51,51,02-21,5.596947240612859,-0.4624360373561834,-0.21213172491034737
52,52,52,02-22,5.681464355888804,-0.3407280342761729,-0.45724613514488466
53,53,53,02-23,6.227982197481128,0.4462793657117085,-0.3084564418800552
54,54,54,02-24,4.946537415969075,-1.3990520196049645,-0.060799713533402376
55,55,55,02-25,6.491319317312362,0.8254952782148448,0.11774429141801741
56,56,56,02-26,6.310871439131371,0.5656431661103555,0.09571936675720243
57,57,57,02-27,6.340860074597403,0.6088279923523354,-0.04035775151324011
58,58,58,02-28,5.589696367783121,-0.4728775822410628,0.04633706224514541
59,59,59,02-29,5.661009843967725,-0.37018334391094665,-0.26223929771884497
60,60,60,03-01,5.307755842834268,-0.8788831370546514,-0.5637552863535874
61,61,61,03-02,5.205619948667042,-1.0259628815690975,-0.5455108083379304
62,62,62,03-03,5.054589472912714,-1.2434527656980991,-0.6379342469974746
63,63,63,03-04,6.416876636166575,0.7182948604462771,-0.6873520985777226
64,64,64,03-05,5.204609328884638,-1.0274182141983284,-0.34878406631465175
65,65,65,03-06,5.4551078086207925,-0.666690453392435,-0.5863240874820721
66,66,66,03-07,6.718417065796765,1.1525250565237741,-0.3435372896435049
67,67,67,03-08,4.215897160833952,-2.451203008573619,-0.645106428261256
68,68,68,03-09,6.066173227199307,0.2132680213333044,-0.3883678912305821
