,unnamed: 0,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,unnamed: 0.1.1.1,unnamed: 0.1.1.1.1,unnamed: 0.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1,unnamed: 0.1.1.1.1.1.1.1,mth_day,funny,funny_norm,funny_ravg
0,0,0,0,0,0,0,0,0,0,01-01,,,
1,1,1,1,1,1,1,1,1,1,01-02,15.019591674329964,-1.3797707277955034,
2,2,2,2,2,2,2,2,2,2,01-03,16.16858984607234,-0.7233948864295198,
3,3,3,3,3,3,3,3,3,3,01-04,14.813536018244262,-1.497481928698786,
4,4,4,4,4,4,4,4,4,4,01-05,13.349927252262885,-2.3335819842322563,-1.802980743870334
5,5,5,5,5,5,5,5,5,5,01-06,13.634114762537553,-2.1712372383921696,-1.999480799202025
6,6,6,6,6,6,6,6,6,6,01-07,12.686768259041624,-2.7124176976737706,-2.217097668386015
7,7,7,7,7,7,7,7,7,7,01-08,12.955729568861349,-2.558771059785648,-2.069528816330249
8,8,8,8,8,8,8,8,8,8,01-09,13.882935477876735,-2.029096101533459,-1.7368791295848627
9,9,9,9,9,9,9,9,9,9,01-10,16.363468211348742,-0.6120688163641935,-1.5490426041861565
10,10,10,10,10,10,10,10,10,10,01-11,16.843784196531566,-0.33768386375993725,-1.1304856373931218
11,11,11,11,11,11,11,11,11,11,01-12,15.606982842085412,-1.0442180859999342,-0.7083603988382636
12,12,12,12,12,12,12,12,12,12,01-13,17.082918994398252,-0.2010758969155618,-0.4505944112447963
13,13,13,13,13,13,13,13,13,13,01-14,17.38935826247508,-0.0260196284564998,-0.2647338376200307
14,14,14,14,14,14,14,14,14,14,01-15,16.590280536761572,-0.4825001759726546,-0.4150382902342409
15,15,15,15,15,15,15,15,15,15,01-16,18.315582647944268,0.5030946253844002,-0.1929775743448452
16,16,16,16,16,16,16,16,16,16,01-17,15.265119684147367,-1.2395105794451982,-0.1714454105749688
17,17,17,17,17,17,17,17,17,17,01-18,17.939311430307665,0.28814620933644003,-0.3026324138531763
18,18,18,18,18,18,18,18,18,18,01-19,17.309073723863232,-0.0718829142963033,-0.516189789278515
19,19,19,19,19,19,19,19,19,19,01-20,16.011486463208403,-0.8131416481257447,-0.6564661131047862
20,20,20,20,20,20,20,20,20,20,01-21,14.347263486513405,-1.7638444285246866,-0.5031054921092225
21,21,21,21,21,21,21,21,21,21,01-22,16.842244696202762,-0.33856331757322683,-0.8447698667729696
22,22,22,22,22,22,22,22,22,22,01-23,16.875883475585507,-0.31934685347181624,-0.5837081137154129
23,23,23,23,23,23,23,23,23,23,01-24,14.350772208438986,-1.7618400386460429,-0.8971240007299741
24,24,24,24,24,24,24,24,24,24,01-25,20.05103457681675,1.494487604049037,-0.9082333268087956
25,25,25,25,25,25,25,25,25,25,01-26,12.719644273294954,-2.6936369702131127,-1.2481456693010935
26,26,26,26,26,26,26,26,26,26,01-27,14.23058098954071,-1.830500384997616,-1.3951640390961686
27,27,27,27,27,27,27,27,27,27,01-28,13.272107264603873,-2.378037372527013,-1.2725049676739555
28,28,28,28,28,28,28,28,28,28,01-29,15.331733059364774,-1.2014570722422666,-1.795932273844303
29,29,29,29,29,29,29,29,29,29,01-30,15.639074183585787,-1.0258856101127647,-1.441503140826649
30,30,30,30,30,30,30,30,30,30,01-31,14.553418912795744,-1.6460762329730465,-1.4107492460069775
31,31,31,31,31,31,31,31,31,31,02-01,16.442253182867404,-0.567062172107188,-0.985460569553085
32,32,32,32,32,32,32,32,32,32,02-02,14.553592593821163,-1.6459770160795877,-1.0166568392738458
33,33,33,33,33,33,33,33,33,33,02-03,17.73896190103884,0.17369468619634218,-0.9360047934746202
34,34,34,34,34,34,34,34,34,34,02-04,15.004075141915465,-1.3886346905668308,-0.8237997953905136
35,35,35,35,35,35,35,35,35,35,02-05,16.486171660340013,-0.5419733353174111,-0.8822345958731274
36,36,36,36,36,36,36,36,36,36,02-06,15.731920583948293,-0.972846244468408,-0.8811130487289001
37,37,37,37,37,37,37,37,37,37,02-07,15.82850592384953,-0.9176709750028708,-0.9606301318544141
38,38,38,38,38,38,38,38,38,38,02-08,14.565372329183376,-1.6392477332142232,-0.7173960448751701
39,39,39,39,39,39,39,39,39,39,02-09,16.903785064456653,-0.3034078125567431,-0.6927723728011865
40,40,40,40,40,40,40,40,40,40,02-10,17.558790019869793,0.070769831308634,-0.7190308536475115
41,41,41,41,41,41,41,41,41,41,02-11,16.74479684802862,-0.3942313028735098,-0.8035257740908452
42,42,42,42,42,42,42,42,42,42,02-12,15.456124816489474,-1.1303971295463582,-0.5779713388206325
43,43,43,43,43,43,43,43,43,43,02-13,14.941046303987234,-1.4246404976628733,-0.7295949522956294
44,44,44,44,44,44,44,44,44,44,02-14,16.93439584364897,-0.2859211215929461,-1.0406858101534147
45,45,45,45,45,45,45,45,45,45,02-15,15.311265257696078,-1.2131494934067242,-1.1200363637394661
46,46,46,46,46,46,46,46,46,46,02-16,14.291367871786258,-1.7957753158380785,-1.0660548536439587
47,47,47,47,47,47,47,47,47,47,02-17,15.911369089864545,-0.8703346243898176,-0.9679773339912927
48,48,48,48,48,48,48,48,48,48,02-18,16.023098667433327,-0.8065080689733145,-0.9189377878063781
49,49,49,49,49,49,49,49,49,49,02-19,15.971165485723901,-0.8361753797468777,-0.7701600836243193
50,50,50,50,50,50,50,50,50,50,02-20,17.449463693729626,0.008316155516540875,-0.40349069402868426
51,51,51,51,51,51,51,51,51,51,02-21,16.873894160174814,-0.32048326831437074,-0.31115936638193625
52,52,52,52,52,52,52,52,52,52,02-22,18.14253756812218,0.4042410217357324,-0.17997923506892302
53,53,53,53,53,53,53,53,53,53,02-23,16.881135372912492,-0.3163466585093295,-0.020945870111475768
54,54,54,54,54,54,54,54,54,54,02-24,17.400898289679347,-0.01942728109523508,0.11617529547360583
55,55,55,55,55,55,55,55,55,55,02-25,17.641510742811985,0.1180248099978058,0.15235152780312403
56,56,56,56,56,56,56,56,56,56,02-26,18.889662664824247,0.8310431490270305,-0.007606740262591116
57,57,57,57,57,57,57,57,57,57,02-27,17.253857183073162,-0.10342587433726147,-0.20849294077903294
58,58,58,58,58,58,58,58,58,58,02-28,16.462477950022024,-0.5555085866585585,-0.2705451129082536
59,59,59,59,59,59,59,59,59,59,02-29,14.771205092956036,-1.5216638616079805,-0.5498802277926536
60,60,60,60,60,60,60,60,60,60,03-01,16.749157370811215,-0.3917403138705591,-0.9037587979214253
61,61,61,61,61,61,61,61,61,61,03-02,14.707622722457527,-1.5579858793085937,-1.0961083438542996
62,62,62,62,62,62,62,62,62,62,03-03,15.172836378982478,-1.2922282717456002,-1.0409311969310326
63,63,63,63,63,63,63,63,63,63,03-04,15.233588343021948,-1.2575231499345063,-1.039333417696328
64,64,64,64,64,64,64,64,64,64,03-05,17.042009708578426,-0.2244457051189577,-1.1498393029930984
65,65,65,65,65,65,65,65,65,65,03-06,14.787986747342062,-1.5120771861997522,-1.1530434439695008
66,66,66,66,66,66,66,66,66,66,03-07,15.588501671705751,-1.0547756256511815,-1.0282638950367287
67,67,67,67,67,67,67,67,67,67,03-08,14.673969270652574,-1.577210725167008,-0.9332624566393166
68,68,68,68,68,68,68,68,68,68,03-09,16.48340996709221,-0.5435509781489675,-0.9364942661500377
69,69,69,69,69,69,69,69,69,69,03-10,16.2313990985582,-0.6875145195500343,-0.7670625016238078
70,70,70,70,70,70,70,70,70,70,03-11,17.00806565105635,-0.2438365621832844,-0.7023121277441603
71,71,71,71,71,71,71,71,71,71,03-12,16.567547560585112,-0.4954865990423728,-0.5018561351138512
72,72,72,72,72,72,72,72,72,72,03-13,16.268582105981213,-0.6662733823732966,-0.6493881054595735
73,73,73,73,73,73,73,73,73,73,03-14,16.779381028961982,-0.3744747693851535,-0.6958973063928299
74,74,74,74,74,74,74,74,74,74,03-15,14.93386514672213,-1.4287428002233014,-0.5254999834671338
75,75,75,75,75,75,75,75,75,75,03-16,15.742907748264455,-0.9665697251495728,-0.8770874357879498
76,76,76,76,76,76,76,76,76,76,03-17,18.797767832391685,0.7785473753708925,-0.7408098825586014
77,77,77,77,77,77,77,77,77,77,03-18,12.874785141875709,-2.6050113129672683,-0.6519729281068559
78,78,78,78,78,78,78,78,78,78,03-19,17.69992052194895,0.15139193700279402,-0.5648091019488827
79,79,79,79,79,79,79,79,79,79,03-20,17.712445518682912,0.1585469573253188,-0.37935177052998403
80,80,80,80,80,80,80,80,80,80,03-21,15.849356582444296,-0.905759843275462,-0.33819101951724706
81,81,81,81,81,81,81,81,81,81,03-22,17.690786886775154,0.14617426336381908,0.1884387015003237
82,82,82,82,82,82,82,82,82,82,03-23,19.230083813699792,1.025511881447314,0.08175352198936245
83,83,83,83,83,83,83,83,83,83,03-24,18.406036127973444,0.5547670131381562,0.053192567850244975
84,84,84,84,84,84,84,84,84,84,03-25,16.579394123948088,-0.4887191400629736,0.2906171705310187
85,85,85,85,85,85,85,85,85,85,03-26,17.412466616161733,-0.01281876750938609,0.3484849823237019
86,86,86,86,86,86,86,86,86,86,03-27,18.343053795667238,0.5187877728091803,0.27383933028083174
87,87,87,87,87,87,87,87,87,87,03-28,18.298579000032877,0.493381134119918,0.17610168327736417
88,88,88,88,88,88,88,88,88,88,03-29,18.446072163783327,0.5776379691900931,0.29279970118160276
89,89,89,89,89,89,89,89,89,89,03-30,17.379486666765256,-0.031658868882649065,0.24507634181327495
90,90,90,90,90,90,90,90,90,90,03-31,17.805086485862716,0.211468967362458,0.10330876451743869
91,91,91,91,91,91,91,91,91,91,04-01,16.911222823737887,-0.2991589237193528,-0.08162223032767178
92,92,92,92,92,92,92,92,92,92,04-02,16.8540530415907,-0.33181769096583724,-0.2191038867490552
93,93,93,93,93,93,93,93,93,93,04-03,16.35622803355007,-0.6162048349507447,-0.28186153532875696
94,94,94,94,94,94,94,94,94,94,04-04,17.002086917030127,-0.2472519693382075,-0.19727161120909198
95,95,95,95,95,95,95,95,95,95,04-05,16.720336049665793,-0.4082047603608597,-0.15315490033545232
96,96,96,96,96,96,96,96,96,96,04-06,18.693543939985823,0.7190085120804478,-0.09526836096301217
97,97,97,97,97,97,97,97,97,97,04-07,17.374585582777964,-0.03445865847751488,-0.1254410684599915
98,98,98,98,98,98,98,98,98,98,04-08,17.462041852717658,0.015501545268803697,-0.016632285407596245
99,99,99,99,99,99,99,99,99,99,04-09,16.039320704861087,-0.7972410799326207,0.01274243446240981
100,100,100,100,100,100,100,100,100,100,04-10,18.14491776104657,0.4056007289761641,-0.28015628713587054
101,101,101,101,101,101,101,101,101,101,04-11,17.028862024867813,-0.2319564411408233,-0.2621530846387603
102,102,102,102,102,102,102,102,102,102,04-12,15.617195838065465,-1.0383838175092346,-0.3358108359918808
103,103,103,103,103,103,103,103,103,103,04-13,17.56367523645844,0.07356055650514662,-0.28413898737737936
104,104,104,104,104,104,104,104,104,104,04-14,16.688406234472527,-0.4264449628499191,-0.3574755072240392
105,105,105,105,105,105,105,105,105,105,04-15,16.582035922396095,-0.4872099882456122,-0.4725423079634538
106,106,106,106,106,106,106,106,106,106,04-16,17.374656073318395,-0.034418390103794806,-0.28777729432285387
107,107,107,107,107,107,107,107,107,107,04-17,15.820302519667079,-0.9223572455773108,-0.3463525349943711
108,108,108,108,108,108,108,108,108,108,04-18,17.55780348535362,0.07020626433436496,-0.23786057618547082
109,109,109,109,109,109,109,109,109,109,04-19,16.948452918395553,-0.2778908875239569,-0.23616033651873813
110,110,110,110,110,110,110,110,110,110,04-20,17.827909437948925,0.2245067900034824,-0.21664649662015764
111,111,111,111,111,111,111,111,111,111,04-21,16.599893730183787,-0.4770085502452161,-0.14392935449393476
112,112,112,112,112,112,112,112,112,112,04-22,17.579612120943317,0.0826646492876882,-0.2104096543213825
113,113,113,113,113,113,113,113,113,113,04-23,16.58405881377578,-0.4860543928199736,-0.03232460158922171
114,114,114,114,114,114,114,114,114,114,04-24,16.859553444953082,-0.3286755346303213,-0.2098748270652345
115,115,115,115,115,115,115,115,115,115,04-25,18.81890018755217,0.7906194288690079,-0.1325273083427849
116,116,116,116,116,116,116,116,116,116,04-26,15.963079519408677,-0.8407945628525941,-0.05576655378360946
117,117,117,117,117,117,117,117,117,117,04-27,17.412283388669255,-0.012923437910518459,0.06837391245279181
118,118,118,118,118,118,118,118,118,118,04-28,18.385838929655613,0.5432291766427407,0.24957547775970754
119,119,119,119,119,119,119,119,119,119,04-29,17.88792004469521,0.25878840459843405,0.11733553810145941
120,120,120,120,120,120,120,120,120,120,04-30,18.762733794990503,0.7585338572111731,0.2808919990825054
121,121,121,121,121,121,121,121,121,121,05-01,17.429969279469642,-0.0028202090804806896,0.4909356323778626
122,122,122,122,122,122,122,122,122,122,05-02,17.680931360994887,0.14054420303368176,0.36116712354612956
123,123,123,123,123,123,123,123,123,123,05-03,19.618395211495393,1.2473383618616245,0.47685273574368675
124,124,124,124,124,124,124,124,124,124,05-04,17.022865736549402,-0.2353818763476574,0.5048235633204863
125,125,125,125,125,125,125,125,125,125,05-05,19.102978995999077,0.9529020777837772,0.6124978387090725
126,126,126,126,126,126,126,126,126,126,05-06,19.05651453208449,0.9263588226719702,0.6361499554634337
127,127,127,127,127,127,127,127,127,127,05-07,18.560884262334053,0.6432254432510364,0.6259705383450039
128,128,128,128,128,128,128,128,128,128,05-08,17.929352194266645,0.28245690355984865,0.775034946569443
129,129,129,129,129,129,129,129,129,129,05-09,19.511479652560705,1.1862618591510463,0.729210725417464
130,130,130,130,130,130,130,130,130,130,05-10,18.588505923719907,0.6590045729989764,0.7250785316515652
131,131,131,131,131,131,131,131,131,131,05-11,18.62168206512269,0.677956750871903,0.6013632137514219
132,132,132,132,132,132,132,132,132,132,05-12,19.013113637812488,0.9015656600765772,0.5295784508623577
133,133,133,133,133,133,133,133,133,133,05-13,17.261488412042247,-0.0990664641498227,0.4193051733327948
134,134,134,134,134,134,134,134,134,134,05-14,17.175388783789707,-0.1482516737745368,0.40415150317378723
135,135,135,135,135,135,135,135,135,135,05-15,18.3532670589056,0.5246221939736692,0.5462006497915565
136,136,136,136,136,136,136,136,136,136,05-16,18.42934522757072,0.5680825520449311,0.6247467043809319
137,137,137,137,137,137,137,137,137,137,05-17,20.113640173346628,1.5302516305785183,0.6360949353869735
138,138,138,138,138,138,138,138,138,138,05-18,19.838091652843804,1.3728419876128306,0.8577083663100146
139,139,139,139,139,139,139,139,139,139,05-19,17.380680154242715,-0.03097707811357345,1.0878966761410402
140,140,140,140,140,140,140,140,140,140,05-20,19.503019487877282,1.1814289117637096,1.1382004035310975
141,141,141,141,141,141,141,141,141,141,05-21,20.77096067726207,1.9057520529598224,1.3115632757534625
142,142,142,142,142,142,142,142,142,142,05-22,18.957690914542233,0.8699049163852755,1.2743374704365829
143,143,143,143,143,143,143,143,143,143,05-23,21.934489851332607,2.570428863912707,1.3990094800188773
144,144,144,144,144,144,144,144,144,144,05-24,19.44710484721989,1.1494871557115542,1.3549493087649938
145,145,145,145,145,145,145,145,145,145,05-25,18.690124244501046,0.7170549793801916,1.0706641439132494
146,146,146,146,146,146,146,146,146,146,05-26,19.04025057080064,0.91706788424041,1.0373224807174573
147,147,147,147,147,147,147,147,147,147,05-27,17.785081727284048,0.20004106384935685,0.6655601091080502
