,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,nonlinear,nonlinear_norm,nonlinear_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,1.748655931553208,-0.7097820336871413,
2,2,2,2,01-03,2.1029854666312304,0.11943567516282635,
3,3,3,3,01-04,1.6327871590471186,-0.9809432792310696,
4,4,4,4,01-05,1.68957747728465,-0.8480400552212026,-0.6323681558821992
5,5,5,5,01-06,1.7899131663152132,-0.6132300212355064,-0.9147113840367628
6,6,6,6,01-07,1.7264927816361677,-0.7616492210811013,-1.2149487658917262
7,7,7,7,01-08,1.0247745404778843,-2.403841402614523,-1.2184510086446705
8,8,8,8,01-09,1.33322642176047,-1.6819886159669544,-1.2837150090201936
9,9,9,9,01-10,1.623807987233949,-1.0019567357487351,-1.401277054953476
10,10,10,10,01-11,1.522251362584596,-1.2396240574743411,-1.2064324532591884
11,11,11,11,01-12,1.4885035029629956,-1.3186022968351996,-0.5846217055360291
12,12,12,12,01-13,2.2260421501117817,0.4074183890846261,-0.4036019661968857
13,13,13,13,01-14,2.6189945683123006,1.3270230837244323,-0.11694341674832483
14,14,14,14,01-15,1.7973311271624284,-0.5958701799320937,-0.1854746311045958
15,15,15,15,01-16,2.3587531491730296,0.71799456094263,0.20658351819967832
16,16,16,16,01-17,1.34654865101419,-1.6508113436119667,0.35222813069356507
17,17,17,17,01-18,2.493675825868618,1.033746598990445,0.06671820006804752
18,18,18,18,01-19,2.5994508746057363,1.2812860640479466,0.07176610509791209
19,19,19,19,01-20,1.8869942752722355,-0.38603650002867307,-0.06746820550164118
20,20,20,20,01-21,1.810273121694821,-0.5655827497529062,0.07872064097279426
21,21,21,21,01-22,2.0017793796904373,-0.1174113026546896,-0.266453843923755
22,22,22,22,01-23,1.721352701521398,-0.7736782647653542,-0.7155583033964991
23,23,23,23,01-24,1.6087054728561558,-1.0373003103888505,-0.8053182186730984
24,24,24,24,01-25,1.4480212370466867,-1.4133406927885168,-0.9510887717640784
25,25,25,25,01-26,1.6568646817349035,-0.9245959916882692,-1.1763547396839769
26,26,26,26,01-27,1.4365415063165603,-1.4402060682987858,-0.9043234422716405
27,27,27,27,01-28,1.4242346541250064,-1.4690071101740805,-0.7614825000350637
28,28,28,28,01-29,2.4187960058072995,0.8585095197086631,-0.7922888923428535
29,29,29,29,01-30,1.974926050004614,-0.18025465696939005,-0.9041038883884212
30,30,30,30,01-31,1.3690387366923054,-1.598179046635256,-0.9502681907469491
31,31,31,31,02-01,1.3701895048249129,-1.5954859679616755,-0.7717859974086538
32,32,32,32,02-02,1.3181838618717667,-1.717191882449954,-1.0652294124898904
33,33,33,33,02-03,1.8818335108086592,-0.3981139501443088,-0.9962014601552412
34,34,34,34,02-04,1.6664555693134069,-0.9021509707787568,-0.6642842796675903
35,35,35,35,02-05,2.151902315685521,0.2339130570385053,-0.4599468427192524
36,36,36,36,02-06,2.2200195514390626,0.3933240362906504,-0.12104530352327596
37,37,37,37,02-07,1.8940769345809936,-0.369461346271648,-0.25214989231761514
38,38,38,38,02-08,2.1870714184610587,0.3162173527259049,-0.2952257066914941
39,39,39,39,02-09,1.545703004923634,-1.1847414829103438,-0.371062008475685
40,40,40,40,02-10,1.5560162978122816,-1.1606058570220308,-0.6289921043961425
41,41,41,41,02-11,1.9574705668231187,-0.22110475366663945,-0.748833691975746
42,42,42,42,02-12,1.558729398119426,-1.1542565392320951,-0.8412531741666269
43,43,43,43,02-13,1.586822903050589,-1.0885108717492689,-0.7646274854438748
44,44,44,44,02-14,1.9501231347424484,-0.23829954041937976,-0.6828466327552186
45,45,45,45,02-15,1.7421586114819243,-0.7249873505738309,-0.7897600205309098
46,46,46,46,02-16,1.7656888930947257,-0.6699207408900935,-0.7090398392278884
47,47,47,47,02-17,1.6833623037225929,-0.8625850803207867,-0.6943191059045831
