,unnamed: 0,unnamed: 0,mth_day,weird,weird_norm,weird_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.685152623684019,-1.2892138427483328,
2,2,2,01-03,1.6107887965667391,-1.4662928863864368,
3,3,3,01-04,1.942088709305199,-0.6773841658523156,
4,4,4,01-05,1.6438140901646991,-1.3876513259275962,-1.3357340280669234
5,5,5,01-06,1.6502063433714118,-1.3724297574793756,-1.1510836884367515
6,6,6,01-07,1.461649083394357,-1.821432190007483,-1.133248207787557
7,7,7,01-08,2.1504128482016442,-0.1813118049673008,-0.9644284312078817
8,8,8,01-09,1.6557285445674412,-1.3592800024912703,-0.8625452691380197
9,9,9,01-10,2.367460941556651,0.3355344936257361,-0.723273733636125
10,10,10,01-11,1.900527307991048,-0.7763523535084234,-0.47271452788590435
11,11,11,01-12,2.0011263904523213,-0.5368005444680084,-0.6066780912796501
12,12,12,01-13,2.0929787227320853,-0.3180769555061587,-0.49665841465370786
13,13,13,01-14,1.8128672054122017,-0.9850931853297756,-0.4056006708005127
14,14,14,01-15,1.9329431955172536,-0.6991619427356165,-0.25115012880106663
15,15,15,01-16,2.5968975428326524,0.8818809567449071,-0.037279892607445
16,16,16,01-17,2.28969363171109,0.15035089848825314,-0.019935850598627698
17,17,17,01-18,2.5400114762224137,0.7464208726937215,0.016189629428403334
18,18,18,01-19,2.13668020140376,-0.2140127034532549,0.05253877118770182
19,19,19,01-20,1.903891944288106,-0.7683403051675894,-0.10913197827765912
20,20,20,01-21,2.024531490939976,-0.4810670921798256,-0.4265777344986475
21,21,21,01-22,2.189538588904708,-0.08814354004725848,-0.6641073308578496
22,22,22,01-23,1.4898311234300006,-1.7543236388376775,-0.7642897501921975
23,23,23,01-24,1.9415123153055969,-0.6787567054614909,-1.0282501263022863
24,24,24,01-25,1.884252315240255,-0.8151072194593425,-1.194715549601781
25,25,25,01-26,1.2387956108683682,-2.352102561828122,-1.3741332526768268
26,26,26,01-27,1.6050914813853492,-1.4798596319767936,-0.8216628090750321
27,27,27,01-28,1.7374629470059562,-1.1646497584975348,-0.6044802365686839
28,28,28,01-29,2.8818812173769826,1.5604990227730915,-0.5963173977233164
29,29,29,01-30,2.488743436829664,0.6243387295765981,-0.4023950678241938
30,30,30,01-31,1.9048200772140669,-0.7661301863871373,-0.32707547490514083
31,31,31,02-01,1.7274183067624191,-1.1885685824333871,-0.20785108421858092
32,32,32,02-02,1.7948729395851075,-1.0279420744624759,-0.4601088045984986
33,33,33,02-03,2.0378705546491647,-0.4493034143781754,-0.5148646834249045
34,34,34,02-04,2.246271860495588,0.04695270049358539,-0.36021300367979064
35,35,35,02-05,2.3507760086220704,0.2958034566181621,0.11467161877253829
36,36,36,02-06,2.294493204186656,0.16177989208354646,0.07735127161703988
37,37,37,02-07,2.9239767669562053,1.6607391522805866,-0.057147856258107095
38,38,38,02-08,1.7008375149472768,-1.2518641573954663,-0.34607874208120565
39,39,39,02-09,1.6989754594224318,-1.2562981816290573,-0.5681600205453448
40,40,40,02-10,1.5182577713941476,-1.686632614445006,-0.646204479130727
41,41,41,02-11,1.7912017035526464,-1.0366842141666728,-1.0719358110240564
42,42,42,02-12,2.097845949724426,-0.3064868594287472,-0.8634289073291314
43,43,43,02-13,1.8512689915056133,-0.8936488390793892,-0.8108091769259298
44,44,44,02-14,2.226208705820105,-0.0008227352259162598,-0.5893721099711288
45,45,45,02-15,1.8315604718869856,-0.9405797992098482,-0.5216347992451379
46,46,46,02-16,2.076208868014176,-0.3580102127161995,-0.37789369740189627
47,47,47,02-17,1.9618782182003616,-0.6302603498107279,-0.47209996158692413
48,48,48,02-18,2.4600278847803945,0.5559597516307028,-0.34837940180653537
49,49,49,02-19,1.6138991187315974,-1.4588864241895565,-0.25619167122931535
50,50,50,02-20,2.5379452319275515,0.7415006234564163,-0.09924587785800887
51,51,51,02-21,2.0638442809069573,-0.3874534157465279,0.23246209873631862
52,52,52,02-22,2.4716624328832184,0.5836645475116395,0.47430775254567675
53,53,53,02-23,2.7976769931913297,1.3599875097552372,0.9090659824017914
54,54,54,02-24,3.0694021400095886,2.0070336744868515,0.738169616030672
55,55,55,02-25,2.7093518107703463,1.1496629549471309,0.6631331215201759
56,56,56,02-26,2.10734065277366,-0.2838775747702997,0.3859898342895754
