,Unnamed: 0,Unnamed: 0.1,mth_day,halloween,halloween_norm,halloween_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6577680802142944,-0.3558323400537106,
2,2,2,01-03,0.7845069700745765,0.13603831385572385,
3,3,3,01-04,0.6609484395166954,-0.3434894403213285,
4,4,4,01-05,0.5297031784899694,-0.8528492148538088,-0.463217381791628
5,5,5,01-06,0.44739078390561865,-1.1723016843656473,-0.36778865605609606
6,6,6,01-07,0.7002734689481264,-0.19086992501099695,-0.5728973799971545
7,7,7,01-08,0.8053011440111383,0.2167400143594812,-0.5613251108463739
8,8,8,01-09,0.4674083373384771,-1.0946140297906275,-0.5016506582312219
9,9,9,01-10,0.6788391984023153,-0.27405582541664497,-0.5412557733828687
10,10,10,01-11,0.6219600409478413,-0.4948024991628968,-0.6589876758032084
11,11,11,01-12,0.3861611705443072,-1.4099323752755282,-0.7524816938523173
12,12,12,01-13,0.5182596346772946,-0.8972613395330352,-0.6357043261618466
13,13,13,01-14,0.6607591434432045,-0.3442240939351724,-0.5986477167872163
14,14,14,01-15,0.6479464583781758,-0.3939498236478037,-0.7420864958097048
15,15,15,01-16,0.7361288150541538,-0.05171616916886277,-0.7107257030659143
16,16,16,01-17,0.4002033070780655,-1.3554351732978278,-0.6235294876412997
17,17,17,01-18,0.4346450395358272,-1.2217676188127855,-0.8023177345203628
18,18,18,01-19,0.653065215637631,-0.3740840469853483,-0.9001671954959921
19,19,19,01-20,0.38435203824895176,-1.4169535752095512,-0.9800533757911291
20,20,20,01-21,0.4966709314617646,-0.9810465895015792,-0.7412683287317741
21,21,21,01-22,0.6126245678463318,-0.5310332509396838,-0.29204271501473583
22,22,22,01-23,0.7693656249232375,0.07727510905830258,-0.41225537352829783
23,23,23,01-24,1.1291490331379868,1.4735860634894442,-0.26105901509498836
24,24,24,01-25,0.4672161258486644,-1.0953599980667204,-0.15226172258896262
25,25,25,01-26,0.6181020105205223,-0.5097754246096945,-0.23786769357181226
26,26,26,01-27,0.6648718350418787,-0.3282628344654248,-0.39797801092878554
27,27,27,01-28,0.4802775090225026,-1.0446690768367817,-0.4737019880543036
28,28,28,01-29,0.5218346484474194,-0.8833867950835372,-0.3956870661045618
29,29,29,01-30,1.0120795631005168,1.019242200736336,-0.22088226819517565
30,30,30,01-31,0.5878274026775605,-0.6272704663682697,-0.3060748973548985
31,31,31,02-01,0.8883506930129617,0.5390533628466223,-0.21877210854610385
32,32,32,02-02,0.5331638037759597,-0.8394186094237621,0.07354524258978944
33,33,33,02-03,0.6152478527182323,-0.5208523439840136,-0.2054234900563233
34,34,34,02-04,0.9737580507736272,0.8705173117318225,-0.05276292763146608
35,35,35,02-05,0.5807931604625409,-0.6545701951403403,-0.08149191403437027
36,36,36,02-06,0.8238410382143755,0.2886929081808736,0.019171430544848895
37,37,37,02-07,0.8439356036242099,0.3666794444291972,0.08122853863782274
38,38,38,02-08,0.6887896022275461,-0.2354385419484471,-0.10946097874956713
39,39,39,02-09,0.7111883068819139,-0.1485096954261705,-0.19875604334484454
40,40,40,02-10,0.6789515497199502,-0.2736197925925168,-0.4395865601890255
41,41,41,02-11,0.44274275310209615,-1.1903405827120046,-0.8188769084319024
42,42,42,02-12,0.4515164186415712,-1.1562901928842122,-0.6100232609887724
43,43,43,02-13,0.2575517164504121,-1.9090626450280643,-0.6830111491286374
44,44,44,02-14,1.01167789665814,1.0176833427103331,-0.7962341372028989
45,45,45,02-15,0.5983488376933802,-0.58643702426536,-0.8197218882780835
46,46,46,02-16,0.5039085090204167,-0.952957721038087,-0.7065262529916067
47,47,47,02-17,0.4064306274699989,-1.3312670891631118,-0.4163097911493532
48,48,48,02-18,0.6265171718584396,-0.4771163811653513,-0.7407552368364106
49,49,49,02-19,0.706227138340963,-0.16776387397454365,-0.5416950672670057
50,50,50,02-20,0.5100843747054364,-0.9289893314120116,-0.37464900759919817
51,51,51,02-21,0.9060963892836944,0.6079239931510699,-0.16261785749878344
52,52,52,02-22,0.7621621615556278,0.04931863696875804,-0.13125561286515253
53,53,53,02-23,0.7342313494598898,-0.059080188560623324,-0.23327040910886043
54,54,54,02-24,0.6750032854755146,-0.2889429133635658,-0.15826357182582765
55,55,55,02-25,0.5485119920216502,-0.7798526514367913,-0.33777788409827153
56,56,56,02-26,0.6260451446390629,-0.4789483077138149,-0.14697554911159236
57,57,57,02-27,0.6285667850601746,-0.4691618804835937,-0.057783789162691446
58,58,58,02-28,1.0571430789178644,1.1941326468888331,0.09234250497723268
59,59,59,02-29,0.8721220475622794,0.4760703711327822,0.18240285251111046
60,60,60,03-01,0.9070989355034846,0.6118148514759789,0.23680053215202612
61,61,61,03-02,0.6877455288405777,-0.2394905662335244,0.13497301483746973
62,62,62,03-03,0.7101441020442468,-0.152562229868321,-0.17576891601713615
63,63,63,03-04,0.4711411724634319,-1.080126984370932,-0.37656018754435405
64,64,64,03-05,0.5767352273430723,-0.6703189382388021,-0.3166957656746747
65,65,65,03-06,0.5616982077410121,-0.7286772580305251,-0.5367144877539255
66,66,66,03-07,0.9996494909341128,0.971001382694055,-0.4966784441144316
67,67,67,03-08,0.3475959993270345,-1.559602898709029,-0.248693832808053
68,68,68,03-09,0.7720399319939009,0.08765403196864217,-0.36173952930624537
69,69,69,03-10,0.8545260411023836,0.4077806834673397,-0.2976990514107484
70,70,70,03-11,0.4019662798916805,-1.3485931172279564,-0.5411583479683635
71,71,71,03-12,0.66070495689452,-0.3444343906575433,-0.4509190795384786
72,72,72,03-13,0.623260770932631,-0.4897543966516358,-0.6181441051838089
