,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
61,61,61,03-02,1.9322860334629959,0.7657217745536882,-0.10082564065941184
62,62,62,03-03,1.47956173728334,-0.6008991207070531,0.3548462194906084
63,63,63,03-04,1.9134768969498344,0.7089433794076562,0.5321672773724727
64,64,64,03-05,2.16331904141868,1.4631319617946346,0.5792639977857376
65,65,65,03-06,1.6108066088024209,-0.20471542717139565,0.47645130632955696
66,66,66,03-07,2.1236555722153883,1.3434014188368963,0.4373627418776678
67,67,67,03-08,1.7279317599146395,0.14884562581660424,0.38138085951583894
68,68,68,03-09,1.4018678740114268,-0.8354305074183881,0.11676343488590439
69,69,69,03-10,1.8022052558723616,0.3730520852366825,0.008301712989946766
70,70,70,03-11,1.6373557501888758,-0.12457258598497252,-0.258603298692529
71,71,71,03-12,1.3952241153191245,-0.8554857585471414,-0.21927978507101817
72,72,72,03-13,1.593145389121558,-0.2580286512579582,-0.18760861659981007
73,73,73,03-14,1.8060926167668083,0.3847867075456693,-0.038478549416587154
74,74,74,03-15,1.464818649189993,-0.6454034965911395,0.0729321548254374
75,75,75,03-16,2.098621642913779,1.26783248833602,0.03557313942379977
76,76,76,03-17,1.858799749061264,0.5438916394671748,0.6585151032014651
77,77,77,03-18,1.3209679671262002,-1.0796398509569671,0.6283074712305812
78,78,78,03-19,2.8313276666940452,3.479623131408034,0.711888890495184
79,79,79,03-20,1.7460508203738303,0.2035409157203653,0.5092491777464527
80,80,80,03-21,1.6309481413182891,-0.1439149810035223,0.37545918582851373
81,81,81,03-22,1.6958475232569286,0.05199421184363165,0.382211527840443
82,82,82,03-23,1.59287385781968,-0.25884831204045905,-0.05377397365212211
83,83,83,03-24,1.3343891695775143,-1.0391257988853917,0.1371774641644343
84,84,84,03-25,1.96474690537722,0.8637101224526434,0.32547559836376194
85,85,85,03-26,2.12559289640875,1.3492495426197038,0.6011188456691247
86,86,86,03-27,2.005216413841965,0.9858738241924436,0.6613768354126307
87,87,87,03-28,2.243726143724761,1.7058536956758077,0.740226716713078
88,88,88,03-29,1.712644846645187,0.1026996264205776,0.742874112467412
89,89,89,03-30,1.4911140834408436,-0.5660265110827081,0.5359419830278063
90,90,90,03-31,1.9700089662036555,0.8795944969786474,0.31859702211846763
91,91,91,04-01,1.7142870120231808,0.10765676598206897,-0.25444799176699145
92,92,92,04-02,1.5732136040044868,-0.3181959412635882,-0.3057942532683628
93,93,93,04-03,1.1047208724447946,-1.7324163876369467,-0.14114902676728472
94,94,94,04-04,1.6105871354820782,-0.2053779425876507,-0.28393456036071424
95,95,95,04-05,1.8183689697616872,0.4218448479237604,-0.23562680162232272
96,96,96,04-06,1.6862032066478336,0.02288129541807041,-0.0702126242454049
97,97,97,04-07,1.810305283735684,0.39750331841241815,0.20023502647602331
98,98,98,04-08,1.9019968852676377,0.6742891229979187,0.30365586311418724
99,99,99,04-09,1.6422725347275795,-0.10973048330837737,0.3553487896965371
100,100,100,04-10,1.8161501806822211,0.4151470772413329,0.5666772261155993
101,101,101,04-11,1.9211157251447704,0.7320024074178599,0.8124022462488784
102,102,102,04-12,2.1062473519072102,1.2908519139324437,0.6040785092304152
103,103,103,04-13,2.298717339395109,1.8718534392120931,0.7686247934891223
104,104,104,04-14,1.4879249906569298,-0.5756532991128606,0.7553453615343959
105,105,105,04-15,1.9693307598213257,0.8775472222438648,0.763469815555529
106,106,106,04-16,1.7897554950475243,0.3354704855129745,0.6246644097720796
107,107,107,04-17,1.9372641877124803,0.7807491315446576,0.11082329318018032
108,108,108,04-18,1.8303526402552823,0.4580194792317476,0.13292369762890394
109,109,109,04-19,1.2773879041554164,-1.211193260339303,0.07518345752651957
110,110,110,04-20,1.5318525645028949,-0.4430508724205189,0.1773208034260539
111,111,111,04-21,1.8545641424561985,0.5311057816295588,-0.05429697486675489
112,112,112,04-22,1.9927674270165687,0.9482945609101804,-0.22932862143965171
113,113,113,04-23,1.4768922029552842,-0.6089575382121951,-0.046217501092506996
114,114,114,04-24,1.4824533247449825,-0.5921704002056334,-0.040998555049921705
115,115,115,04-25,1.6413462778462249,-0.11252653825643463,-0.11071855460395168
116,116,116,04-26,1.5422259329276982,-0.4117371961650071,-0.3423703985564932
117,117,117,04-27,1.7159861161555452,0.11278578430537894,-0.27584159076974224
118,118,118,04-28,1.532327732105606,-0.4416165028050687,-0.08475242948154238
119,119,119,04-29,1.6091272995444457,-0.20978469149168905,-0.055303118038031264
120,120,120,04-30,1.8622691449996047,0.5543645675235658,0.2904288044215383
121,121,121,05-01,1.699880808567103,0.06416933040463199,0.35052637892023414
122,122,122,05-02,2.2294153728307875,1.6626543385924102,0.7926008172658424
123,123,123,05-03,1.8354382577613653,0.4733712312975539,0.7138107846843175
124,124,124,05-04,2.411011087466629,2.210830127268582,0.6006559548182904
125,125,125,05-05,1.4525213431882578,-0.6825248869808387,0.8429053835599634
126,126,126,05-06,1.6373584581160192,-0.12456441167259688,0.7147916604335213
127,127,127,05-07,2.181384651398686,1.51766590285467,1.0971882777064115
128,128,128,05-08,1.974771841470288,0.8939719998337576,0.866812986697658
129,129,129,05-09,2.5955037888096966,2.767750934934895,0.7020072084284261
130,130,130,05-10,1.953108715971472,0.8285783812160606,0.871505567905904
131,131,131,05-11,1.1249473382889266,-1.6713595565962305,0.5658822626029778
132,132,132,05-12,1.9742596094045344,0.8924257451922707,0.17608721627419557
133,133,133,05-13,1.573916568907666,-0.3160739289628877,-0.09127421393091624
134,134,134,05-14,1.2000009216834435,-1.4447982781389357,-0.311473251503003
135,135,135,05-15,2.0640864115328705,1.1635823537042242,-0.0288264842835327
136,136,136,05-16,1.5154330387592905,-0.4926158442164596,-0.09080192648388426
137,137,137,05-17,1.6867464116119295,0.0245210467205912,-0.22657922935382235
138,138,138,05-18,1.8510749491324232,0.5205730919901613,0.03133195852793724
139,139,139,05-19,1.3040406255843933,-1.1307377461825163,-0.27518580515498264
140,140,140,05-20,1.7126346509738966,0.10266884915162193,-0.09316501508208723
141,141,141,05-21,1.4548404707845288,-0.6755242283932948,-0.028543146354773535
142,142,142,05-22,1.8772242320371924,0.5995088962209127,0.0644569917244488
143,143,143,05-23,1.8151912062386304,0.4122522590844733,0.5288246920768617
144,144,144,05-24,2.0359254319658224,1.0785739204654954,0.6614310035823082
145,145,145,05-25,2.22703488554191,1.6554684559319603,0.8382601617953087
146,146,146,05-26,1.9762078156465883,0.8983067181843013,1.0406212489684965
147,147,147,05-27,1.8063125863081881,0.3854507208847088,0.9134229421940643
148,148,148,05-28,2.2794445452886687,1.81367541926004,0.8431036952275579
149,149,149,05-29,1.5623671899687257,-0.3509375815621207,0.44942477004493514
150,150,150,05-30,1.8961563195461515,0.6566584386664571,0.36763751525148897
151,151,151,05-31,1.4445442258038494,-0.7066050951637765,0.6595907961801147
152,152,152,06-01,1.8136444705759809,0.407583189423624,0.4227284112009671
153,153,153,06-02,2.3866096273564392,2.137170406456463,0.5902955005531014
154,154,154,06-03,1.8086481880707008,0.3925011093851543,0.7856480939361717
155,155,155,06-04,1.8954296779764683,0.6544649545506852,1.1436596317351353
156,156,156,06-05,2.284446293684212,1.8287739989648792,1.1869223114096459
157,157,157,06-06,2.156141079194452,1.4414641316300056,1.0997258494589819
158,158,158,06-07,1.8996349582426508,0.6671592674706882,0.7998841640885191
159,159,159,06-08,2.2132947438966535,1.6139916347524776,1.29719066061492
160,160,160,06-09,1.2126718652495927,-1.4065490028376224,1.1290285616297309
161,161,161,06-10,2.883894296392227,3.6383039337090906,1.1412072531585635
162,162,162,06-11,1.9502011427231407,0.8198014050537449,1.0546132894840623
163,163,163,06-12,2.1803478928173097,1.5145362808030014,0.711082160593646
164,164,164,06-13,1.7275176224376885,0.1475954854236811,1.037518235467856
165,165,165,06-14,1.53047968194909,-0.44719513859002025,0.3878800178351462
166,166,166,06-15,1.8615081713133008,0.5520674464076383,0.43954322300067533
167,167,167,06-16,1.5926495662592468,-0.2595253720871693,0.22256837954989442
168,168,168,06-17,2.0528888227288835,1.12978063604692,0.11270284715379551
169,169,169,06-18,1.749080742004995,0.21268722009831564,0.09993373550219027
170,170,170,06-19,1.5091448637556817,-0.5115977089529125,0.3767392115486626
171,171,171,06-20,1.5050993276517437,-0.5238098084996516,0.5497839518790105
172,172,172,06-21,2.4116968802217977,2.212900302686472,0.5656414933648772
173,173,173,06-22,1.9365996341031944,0.7787430698949185,0.873964354969984
174,174,174,06-23,2.0844078533535058,1.2249258849621198,0.9414748603711759
175,175,175,06-24,2.3619145615389963,2.0626243897289567,1.1435157869820796
176,176,176,06-25,1.6433312185018063,-0.1065346765457613,0.9133625954229189
177,177,177,06-26,1.9066832780359733,0.6884357511657717,0.7809046675206265
