,unnamed: 0,unnamed: 0,mth_day,sequel,sequel_norm,sequel_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.823144999739721,-0.7084199802031975,
2,2,2,01-03,5.063914111288432,-0.3840962039819028,
3,3,3,01-04,5.493823236203424,0.19500528427613031,
4,4,4,01-05,4.226378428274938,-1.5122838427025942,-0.8777960787104112
5,5,5,01-06,5.024920632744494,-0.4366216800615684,-0.9796234066118356
6,6,6,01-07,3.552247459223006,-2.420360049589335,-1.1502526700587061
7,7,7,01-08,4.369582040726629,-1.3193839476117444,-1.0571904871124687
8,8,8,01-09,4.3038910878216186,-1.4078717846631257,-1.0051979515437155
9,9,9,01-10,5.9083441702121675,0.7533783819535542,-0.9750419021852688
10,10,10,01-11,4.457965456680378,-1.2003286292900743,-0.6547756071493995
11,11,11,01-12,5.159242796166113,-0.2556853839108885,-0.23577757676469768
12,12,12,01-13,4.978789149379615,-0.4987622793741195,-0.11595100746959981
13,13,13,01-14,6.235898189824803,1.1946042346964667,-0.36476807657778393
14,14,14,01-15,4.83762691746536,-0.6889123688925387,-0.13921091007283096
15,15,15,01-16,4.800054200873843,-0.7395240326955507,-0.11945189643813392
16,16,16,01-17,5.462650328364656,0.15301436973964344,0.04222204624293608
17,17,17,01-18,5.247254107825092,-0.13713130210270616,-0.2331350929985676
18,18,18,01-19,5.698923059882766,0.4712813767123005,-0.2923900541462857
19,19,19,01-20,5.009392482234593,-0.4575386007525554,-0.24675643629105007
20,20,20,01-21,4.573691330936146,-1.0444421357788476,-0.5116360067685615
21,21,21,01-22,5.003317108498504,-0.4657223255641367,-0.6694148731092328
22,22,22,01-23,4.282814185711474,-1.4362630531254248,-0.9734218753953967
23,23,23,01-24,4.5444697869354815,-1.083804500146735,-0.9725612989982214
24,24,24,01-25,4.344804098309938,-1.3527606370046823,-1.0883643828514988
25,25,25,01-26,5.013225692682162,-0.4523751423695034,-1.0787151192404232
26,26,26,01-27,4.057877055359942,-1.7392606388985128,-0.8482649349792014
27,27,27,01-28,5.046297206728852,-0.4078267438976828,-0.778452038307521
28,28,28,01-29,5.3092937136808045,-0.053561947558093764,-0.7932292037650409
29,29,29,01-30,4.855432910924515,-0.6649271201166528,-0.7895257305382817
30,30,30,01-31,4.278983114602822,-1.4414236297498022,-0.8191309127818537
31,31,31,02-01,5.029721836791733,-0.4301543030089483,-0.5814658351700559
32,32,32,02-02,3.9260085841228745,-1.9168917323599453,-0.6270199443039582
33,33,33,02-03,6.104913573054768,1.0181637217731037,-0.5683502245058297
34,34,34,02-04,5.106384956672273,-0.32688660236150824,-0.4394731239042651
35,35,35,02-05,5.1167616943123,-0.3129088013278813,-0.44110148201865124
36,36,36,02-06,4.853032147436728,-0.6681610261404145,-0.3089230849849161
37,37,37,02-07,5.022468745309171,-0.4399244516952657,-0.458175873259278
38,38,38,02-08,4.514762370672838,-1.1238213501575345,-0.6597278385382861
39,39,39,02-09,5.440106416804844,0.12264699212693235,-0.41411960657771224
40,40,40,02-10,4.208624918666087,-1.5361983940355572,-0.29361998521733174
41,41,41,02-11,6.210758745416827,1.1607405904355619,-0.31455252401980166
42,42,42,02-12,5.3897659098809365,0.05483670202186846,0.4036532319109544
43,43,43,02-13,4.92923027549392,-0.5655196845100849,0.40774020621497126
44,44,44,02-14,7.713820369676192,3.185413185427002,0.39796041761858625
45,45,45,02-15,5.458310765253768,0.14716883795103333,-0.15063707895564024
46,46,46,02-16,4.165063431335367,-1.5948771256138674,-0.33632007047262946
47,47,47,02-17,3.767175976611786,-2.130844389009797,-0.3181243680685563
48,48,48,02-18,4.5626900275364815,-1.0592612470800669,-0.992510826757251
49,49,49,02-19,5.0102782298476125,-0.4563454700856461,-0.897874258401
50,50,50,02-20,4.709943865941217,-0.8609055667051669,-0.541615183388231
51,51,51,02-21,5.87984438357732,0.7149882480885394,0.04902170142899542
52,52,52,02-22,5.751925461089157,0.542677324462747,0.29364629520502955
53,53,53,02-23,6.398012105782462,1.4129769198935616,0.43342394802299267
54,54,54,02-24,5.652305721938709,0.40848631557613774,0.7201738052144804
55,55,55,02-25,5.632880895778251,0.3823204468221325,0.3924237629130585
56,56,56,02-26,5.987195429001567,0.8595935764437594,0.34279934493180325
57,57,57,02-27,4.4199683162527625,-1.2515120057199918,-0.044338451223970364
58,58,58,02-28,5.5308865875102535,0.24493081657521554,0.08272226575889183
59,59,59,02-29,4.673608961862155,-0.9098498570410803,-0.18574539316271452
60,60,60,03-01,6.218264153302653,1.1708506174733109,-0.49250114952659824
61,61,61,03-02,4.437062560078818,-1.2284855067075056,-0.5675804718489902
62,62,62,03-03,4.620832867809815,-0.9809409617395428,-0.6210033014183215
63,63,63,03-04,4.085547289058496,-1.7019879396543438,-0.19527323643060868
64,64,64,03-05,5.292928691946353,-0.07560616084077211,-0.4417316070944774
