,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,violent,violent_norm,violent_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,10.744766492108342,-0.17524140566519433,
2,2,2,2,01-03,10.946089435506863,-0.009364785148695692,
3,3,3,3,01-04,9.390859025430178,-1.2907704719180346,
4,4,4,4,01-05,9.238476283233236,-1.4163236447157816,-1.1736269648292177
5,5,5,5,01-06,8.835949287965631,-1.7479789270920103,-1.4400784807989433
6,6,6,6,01-07,8.04206967350024,-2.402082554435589,-1.9107292246172003
7,7,7,7,01-08,8.804427824694212,-1.7739505014835475,-1.7978045341552267
8,8,8,8,01-09,7.518742311005808,-2.833269248058238,-1.7347632690854367
9,9,9,9,01-10,10.213193034721515,-0.613222329146191,-1.6045320637993752
10,10,10,10,01-11,9.697551938376122,-1.0380760542970413,-1.3709683644936101
11,11,11,11,01-12,9.784311853668592,-0.9665916953756404,-1.0615382897852654
12,12,12,12,01-13,9.742914479797962,-1.0007003586010004,-0.762739019386709
13,13,13,13,01-14,11.057742603678852,0.08262994676652109,-0.6225277020645671
14,14,14,14,01-15,9.694642027843312,-1.0404736256669,-0.7191409531219293
15,15,15,15,01-16,11.234232226857829,0.2280455747866595,-0.5335399012768367
16,16,16,16,01-17,8.994000201659832,-1.6177555606412142,-0.3950818358091652
17,17,17,17,01-18,11.135885689895842,0.14701461569491486,-0.47456130501496663
18,18,18,18,01-19,10.75118623709885,-0.16995196579497113,-0.3077154077616413
19,19,19,19,01-20,10.4789615567619,-0.3942468684682872,-0.3967165446920979
20,20,20,20,01-21,10.909638102314194,-0.03939824214694826,-0.23992457808742026
21,21,21,21,01-22,10.586113011617162,-0.3059612467960801,-0.47543684281286386
22,22,22,22,01-23,10.13578209183128,-0.6770037610131486,-0.6813474463699238
23,23,23,23,01-24,9.420851146992463,-1.2660589726577465,-0.8788525414715925
24,24,24,24,01-25,9.251715293357844,-1.4054155871373313,-1.2291697432026236
25,25,25,25,01-26,9.040700747314618,-1.579277439078299,-1.3471326722624275
26,26,26,26,01-27,8.358577321499316,-2.1413014525331344,-1.1307913391209807
27,27,27,27,01-28,9.727089816559888,-1.0137388211549048,-0.9056928026087506
28,28,28,28,01-29,11.71121112448864,0.6210442378355333,-0.8627645957876925
29,29,29,29,01-30,11.060051407435482,0.08453224641563377,-0.5550447394168616
30,30,30,30,01-31,9.56432473494614,-1.1478463462109827,-0.26051532145163603
31,31,31,31,02-01,11.28156146778913,0.2670416991466859,-0.041982951068109155
32,32,32,32,02-02,10.503383352303953,-0.3741249447417811,-0.2270234043090955
33,33,33,33,02-03,11.31847430087636,0.29745540114625635,-0.16548995613239426
34,34,34,34,02-04,10.363719648778225,-0.489198481610385,0.004426555923074653
35,35,35,35,02-05,11.508146920805135,0.4537329354758412,-0.04243650982901418
36,36,36,36,02-06,10.801681472713117,-0.12834727387816916,0.27957412794224995
