,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,politics,politics_norm,politics_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,3.751760964120834,-0.2921649030883327,
2,2,2,2,01-03,2.89727496597866,-1.828527701779144,
3,3,3,3,01-04,3.16678230256365,-1.3439544649985824,
4,4,4,4,01-05,2.876241662620905,-1.8663455067317023,-1.527934337877572
5,5,5,5,01-06,2.9082035076242763,-1.8088782226012832,-1.8453606458957508
6,6,6,6,01-07,2.7864807954337607,-2.027735228066386,-1.8818206433260043
7,7,7,7,01-08,2.692494223707845,-2.196722751197405,-1.7727546724107732
8,8,8,8,01-09,2.7756062143413542,-2.047287686360665,-1.4576003657619994
9,9,9,9,01-10,3.530740653157383,-0.6895586395071962,-1.1719041050245511
10,10,10,10,01-11,3.9279266260230057,0.024580333160941728,-0.9024854661336738
11,11,11,11,01-12,3.8615855658064375,-0.09470065817659408,-0.5716876800321162
12,12,12,12,01-13,3.6855436525933523,-0.411223394721122,-0.24327984338612096
13,13,13,13,01-14,3.7963822246972363,-0.2119360345880597,-0.16271180114605246
14,14,14,14,01-15,3.871518839926762,-0.07684066648469348,-0.25873852199448305
15,15,15,15,01-16,3.79960005557404,-0.2061503860667852,-0.40961556215838574
16,16,16,16,01-17,3.6074808752573198,-0.5515799919296418,-0.38153025373240895
17,17,17,17,01-18,3.3581016815140745,-0.99996289916001,-0.37392256770662113
18,18,18,18,01-19,3.779265667304791,-0.2427115441652612,-0.3511445177532681
19,19,19,19,01-20,3.8217694360753183,-0.16628991843333304,-0.301476758061394
20,20,20,20,01-21,3.947530279802976,0.0598276332354248,-0.370935443566123
21,21,21,21,01-22,3.965343740276488,0.09185617208445908,-0.3668033448080448
22,22,22,22,01-23,3.3756939265090407,-0.968332104958016,-0.4489945848672286
23,23,23,23,01-24,3.3718906922922343,-0.9751703066115404,-0.7872794446516408
24,24,24,24,01-25,3.504989576291543,-0.7358589845203645,-1.011545384972334
25,25,25,25,01-26,2.692896712852964,-2.1959990771398057,-1.2426560113760672
26,26,26,26,01-27,3.1991441328817523,-1.2857680086887342,-1.2151962369600895
27,27,27,27,01-28,3.1941165492036343,-1.2948075863379402,-1.0749047979203328
28,28,28,28,01-29,3.467328504372773,-0.8035734584621483,-0.8759432089298506
29,29,29,29,01-30,3.840049920389296,-0.1334216723730001,-0.6198434355175356
30,30,30,30,01-31,4.168933895063216,0.4579105494225301,-0.4830166246429462
31,31,31,31,02-01,3.5475138802095896,-0.6594004366659164,-0.4058568808414254
32,32,32,32,02-02,3.6557417314271454,-0.4648071434411973,-0.4262794106572462
33,33,33,33,02-03,3.4516022970549365,-0.8318491235288152,-0.40838578135381054
34,34,34,34,02-04,3.3991775476229864,-0.9261086373570728,-0.7570668506725915
35,35,35,35,02-05,3.899761815426437,-0.02605989655238597,-0.49068218149995485
36,36,36,36,02-06,3.0053685244201875,-1.634175866490156,-0.5878365619227587
37,37,37,37,02-07,4.43645223560996,0.9389075783699036,-0.5287681202119926
38,38,38,38,02-08,3.331532926839301,-1.0477334259780198,-0.49605316231817814
39,39,39,39,02-09,3.648716506343016,-0.477438473264219,-0.5514534141963504
40,40,40,40,02-10,3.5083489235788328,-0.7298188899941859,-0.21317341943302712
41,41,41,41,02-11,3.714888530690096,-0.3584614078214193,-0.5077025433583549
42,42,42,42,02-12,4.134225012834962,0.3955041020897835,-0.2476764337533891
43,43,43,43,02-13,3.4535944913828875,-0.8282671651820631,-0.2699238387984973
44,44,44,44,02-14,4.1992524654723375,0.5124232316517746,-0.3660718321142356
45,45,45,45,02-15,3.574475853852959,-0.6109229035348678,-0.5186140433231768
46,46,46,46,02-16,3.1874984808014832,-1.3067068498886159,-0.7312241376302491
47,47,47,47,02-17,3.2058478911428816,-1.2737146750750667,-0.6401258109995484
48,48,48,48,02-18,3.4247349803873286,-0.8801564637526499,-0.7655841787926039
49,49,49,49,02-19,3.757593955414879,-0.2816772053978588,-0.6751227952926385
50,50,50,50,02-20,3.7805919040986007,-0.24032697510655826,-0.24433140509047388
51,51,51,51,02-21,3.876349808256794,-0.0681546025350759,-0.051077092911256394
52,52,52,52,02-22,4.625069911305894,1.2780414913243725,0.19435060700407694
53,53,53,53,02-23,3.850746754790662,-0.1141888019997618,0.2204097790969716
54,54,54,54,02-24,4.243738929113229,0.5924097357393501,0.4684664221056376
55,55,55,55,02-25,3.8445546564766224,-0.12532217284049066,0.3225785784323216
56,56,56,56,02-26,4.608368761404739,1.2480128829454378,-0.22707606379762682
57,57,57,57,02-27,3.389515110784703,-0.9434816645749716,-0.3125852086515718
58,58,58,58,02-28,2.7908461355171497,-2.0198863620553182,-0.5157926217937355
59,59,59,59,02-29,3.5653986571158054,-0.6272436711234318,-0.6746895138195322
60,60,60,60,03-01,3.565626092496901,-0.6268347431136324,-0.9631553668294415
61,61,61,61,03-02,3.314308143738676,-1.0787035249952714,-0.9708633796551748
62,62,62,62,03-03,3.645744441618491,-0.4827822351140171,-0.7990996760245516
63,63,63,63,03-04,3.3637931040866684,-0.9897297415293712,-0.7700546205173516
64,64,64,64,03-05,3.3640298127051564,-0.98930414027158,-0.6313563201080377
65,65,65,65,03-06,3.662323393645407,-0.4529733380802311,-0.5748760640258274
66,66,66,66,03-07,4.028468940944679,0.20535505934225126,-0.5871400377714424
67,67,67,67,03-08,3.5027854540518075,-0.7398219885020089,-0.5215070051277839
68,68,68,68,03-09,3.604818975877688,-0.5563660775877072,-0.5208124838660443
69,69,69,69,03-10,3.5828136666415715,-0.5959315456674208,-0.5423776770561354
70,70,70,70,03-11,3.366347463304641,-0.9851370127011416,-0.6888515718028172
71,71,71,71,03-12,3.5903593146770816,-0.5823644972207781,-0.6509677695979802
72,72,72,72,03-13,3.53967856306892,-0.6734883091378395,-0.47226131021652945
73,73,73,73,03-14,3.6292055101791965,-0.5125191752729864,-0.46244309365206826
74,74,74,74,03-15,4.2011709603795335,0.5158726787009973,-0.2705607111067648
75,75,75,75,03-16,3.6155775239344266,-0.5370222462806538,-0.4636234225342633
76,76,76,76,03-17,4.006668132282719,0.16615728257067933,-0.019959387843379934
77,77,77,77,03-18,2.9460998318827696,-1.7407407657857694,0.04099904406078769
78,78,78,78,03-19,5.02020662263534,1.9884958990074608,0.01899691500386876
79,79,79,79,03-20,3.8326267069506894,-0.14676858384798067,0.09154307567615187
80,80,80,80,03-21,4.127748805568933,0.38385990435948375,0.1021505974589922
81,81,81,81,03-22,3.857667524680066,-0.10174528224695513,0.37372055113789165
82,82,82,82,03-23,4.042065938762343,0.2298024132677213,-0.02587675105498703
83,83,83,83,03-24,3.8523417291708792,-0.1113210437123728,0.03161906184930726
84,84,84,84,03-25,3.6867313526919503,-0.4090879141498115,-0.02396377719108474
85,85,85,85,03-26,4.024492978850998,0.19820629357778505,-0.036109773092745566
86,86,86,86,03-27,3.942266218757496,0.05036287011713177,-0.07889017291133134
87,87,87,87,03-28,3.817135756635544,-0.17462125765692002,-0.19583932367229415
88,88,88,88,03-29,3.8993057026863767,-0.02687998564379332,-0.07654163517708633
89,89,89,89,03-30,3.462076831172765,-0.8130159482781497,0.13812498558138894
90,90,90,90,03-31,4.084833433203455,0.3066982168214354,0.31821371996289544
91,91,91,91,04-01,4.740845738223668,1.4862060181286365,0.3247594470769512
92,92,92,92,04-02,4.543230920909638,1.1308952764061708,0.2501516482536434
93,93,93,93,04-03,3.838979160438552,-0.13534689497258534,0.29337880305636144
