,unnamed: 0,unnamed: 0,mth_day,film noir,film noir_norm,film noir_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.024544635599772,-1.0338047143584106,
2,2,2,01-03,5.1364531868313295,-0.8978108033438001,
3,3,3,01-04,4.7355697261086585,-1.3849738403483771,
4,4,4,01-05,4.068342309576145,-2.195804334638996,-1.5637526443022365
5,5,5,01-06,4.127415022266049,-2.1240177808454472,-1.509930715545203
6,6,6,01-07,4.438397620604621,-1.7461043922783888,-1.7048255094840836
7,7,7,01-08,5.290283036389229,-0.7108731418162103,-1.5655430043268168
8,8,8,01-09,4.174186838159442,-2.067179566977084,-1.3343534923038511
9,9,9,01-10,5.423258016610596,-0.5492788094047757,-0.8812464521678797
10,10,10,01-11,5.2098088571912635,-0.8086672625012034,-0.583228650585443
11,11,11,01-12,6.364568967003541,0.5946244599703809,-0.529299463051539
12,12,12,01-13,5.909819693879122,0.0420024172162317,-0.5159279534214406
13,13,13,01-14,5.556551012697335,-0.3872980166127861,-0.3372156127184014
14,14,14,01-15,4.240206835348391,-1.9869505091964936,-0.31090688682456497
15,15,15,01-16,6.305625719079088,0.5229952348134593,-0.2905584585985311
16,16,16,01-17,5.3397045875616245,-0.6508149071381847,-0.270223626925184
17,17,17,01-18,6.465036544071905,0.7167150293265839,-0.3299062698453416
18,18,18,01-19,6.010220139831032,0.16401140725631425,-0.1437533956233815
19,19,19,01-20,5.261876138519432,-0.7453938741337319,-0.30303635269224377
20,20,20,01-21,5.159311152873249,-0.8700332638647332,-0.3996520121780727
21,21,21,01-22,5.51918793689604,-0.4327025075997144,-0.6407500395012591
22,22,22,01-23,4.862678003120839,-1.230508864053158,-0.8158256680748828
23,23,23,01-24,5.274648059415751,-0.7298731346125338,-0.9351388906520426
24,24,24,01-25,5.145808205350068,-0.8864423641854282,-1.1604916611319978
25,25,25,01-26,4.6727834453939066,-1.4612732095966905,-1.4524312201271614
26,26,26,01-27,4.046662717118497,-2.2221498867444636,-1.4462500031422172
27,27,27,01-28,4.0777763538075,-2.1843398615706957,-1.2600487131048308
28,28,28,01-29,4.893196915290017,-1.1934215621434936,-1.2509217870705902
29,29,29,01-30,6.193991423397349,0.3873346056117833,-0.9688955602632939
30,30,30,01-31,5.19087115245127,-0.831680807979984,-0.6898385282417393
31,31,31,02-01,6.065249308718469,0.2308841512470862,-0.48783410359695084
32,32,32,02-02,5.424468587904384,-0.5478076946151353,-0.3348941557500716
33,33,33,02-03,5.075145530223082,-0.9723133137019642,-0.509326501002391
34,34,34,02-04,5.648316958295567,-0.27578187506221863,-0.15545938532480263
35,35,35,02-05,5.332755612199327,-0.6592594659021328,-0.10010607311646054
36,36,36,02-06,6.9380415639139335,1.2915218860855462,0.12524480656305395
37,37,37,02-07,6.338548705532117,0.5630040244971387,0.29726914245338804
38,38,38,02-08,6.53710768809096,0.8042975834619517,0.40757335443265874
39,39,39,02-09,5.924492125041872,0.05983270164004015,0.35483584874452534
40,40,40,02-10,6.192928895634997,0.38604339681340577,0.09301640016598596
41,41,41,02-11,5.07237140176989,-0.9756845000309332,-0.15484113575047995
42,42,42,02-12,5.645343900199188,-0.2793948053856901,-0.3874006998745989
