,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,bruce willis,bruce willis_norm,bruce willis_ravg,bruce willis_ravg
0,0,0,0,01-01,,,,
1,1,1,1,01-02,1.6517319828259152,-1.3826861558531938,,
2,2,2,2,01-03,2.539668450406022,0.718698089105458,,
3,3,3,3,01-04,1.9349451628030467,-0.7124358214001922,,
4,4,4,4,01-05,1.7268294081251288,-1.2049611134401903,-0.840906829315074,-0.840906829315074
5,5,5,5,01-06,1.854097713977876,-0.9037688293453676,-0.9913532854046078,-0.9913532854046078
6,6,6,6,01-07,1.5766869760491404,-1.5602871449569582,-1.4487140028173897,-1.4487140028173897
7,7,7,7,01-08,1.2703065626042611,-2.285364892390396,-1.389498718926711,-1.389498718926711
8,8,8,8,01-09,1.380126322486243,-2.025466215371232,-1.350606465324076,-1.350606465324076
9,9,9,9,01-10,2.085073089565942,-0.35714411805611995,-1.3880178552072249,-1.3880178552072249
10,10,10,10,01-11,1.825432556111041,-0.9716075918243784,-1.0680062239385095,-1.0680062239385095
11,11,11,11,01-12,1.7592489852131112,-1.128237168644261,-0.5344988020460743,-0.5344988020460743
12,12,12,12,01-13,2.3880093169346317,0.35978264265533394,-0.24338009521976786,-0.24338009521976786
13,13,13,13,01-14,2.6229026813562406,0.9156796389642156,-0.12018778137486426,-0.12018778137486426
14,14,14,14,01-15,2.118196716244978,-0.278753974413394,-0.12192875828626339,-0.12192875828626339
15,15,15,15,01-16,2.397401351046601,0.3820097650133017,0.27747100989138307,0.27747100989138307
16,16,16,16,01-17,1.8210186744731016,-0.9820534532927732,0.5154843035878014,0.5154843035878014
17,17,17,17,01-18,2.771843288683635,1.268161440421618,0.23720224651436408,0.23720224651436408
18,18,18,18,01-19,2.9914420791691163,1.7878624048338438,0.10574874658800093,0.10574874658800093
19,19,19,19,01-20,1.9173769194452133,-0.7540127034764081,-0.10972912049593908,-0.10972912049593908
20,20,20,20,01-21,1.7849239509551065,-1.067474973971573,-0.20208018054389743,-0.20208018054389743
