,unnamed: 0,unnamed: 0,mth_day,remake,remake_norm,remake_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.0269269811459067,-0.35161209277593203,
2,2,2,01-03,2.353083771339168,0.5815713655782593,
3,3,3,01-04,2.2769035031718787,0.36360820109967584,
4,4,4,01-05,1.1123564864250934,-2.9683353462349853,-0.7769819924954526
5,5,5,01-06,1.4997541989930112,-1.8599324306972733,-1.157745993785122
6,6,6,01-07,2.000511182407412,-0.4271916519424605,-1.5325732981477198
7,7,7,01-08,1.2284424171301231,-2.6361961005139483,-1.4806212202520148
8,8,8,01-09,1.5670488108611416,-1.6673924605973274,-0.8912272047465161
9,9,9,01-10,2.385850074086569,0.6753206684739065,-0.431614055518115
10,10,10,01-11,2.3483504929761243,0.5680287467980071,-0.40048020714255
11,11,11,01-12,2.463590075899788,0.8977464646731332,0.1444918856632582
12,12,12,01-13,2.0658006983860617,-0.2403885616890704,0.3308494197112344
13,13,13,01-14,2.3712810322589983,0.6336364563209012,0.16985193721172065
14,14,14,01-15,1.9578515490962387,-0.5492472563094705,-0.04757516638356065
15,15,15,01-16,2.0482288594080718,-0.29066422652317586,-0.19345647544601277
16,16,16,01-17,1.892393035255703,-0.7365338747736807,-0.13331360400198863
17,17,17,01-18,2.1576683683059863,0.02245861029842057,-0.5599692165735196
18,18,18,01-19,2.19192384637532,0.12046866697507462,-0.6441803813320003
19,19,19,01-20,1.4765590531980295,-1.926297219108285,-0.7246911916703426
20,20,20,01-21,1.781255770740915,-1.0545142448603535,-0.7367713382910136
21,21,21,01-22,1.879392942478356,-0.7737290885532296,-0.9104305621618228
22,22,22,01-23,1.8670602554367537,-0.8090147544977075,-1.0970684002226718
23,23,23,01-24,1.7934947353203603,-1.0194967329264344,-1.0219476635377651
24,24,24,01-25,1.8005332940959529,-0.9993583613900188,-1.0258500792345766
25,25,25,01-26,1.634091667828686,-1.475572798998845,-1.0960799828964571
26,26,26,01-27,1.7730721749027505,-1.077928739041223,-1.03668450006481
27,27,27,01-28,1.7321166931050185,-1.1951085105245132,-0.9895092418236532
28,28,28,01-29,1.9916160854330207,-0.4526418575078249,-0.949999030438739
29,29,29,01-30,1.8924240337346958,-0.7364451834794941,-0.7239124055260483
30,30,30,01-31,1.8833885372518155,-0.7622970930805334,-0.81194229051574
31,31,31,02-01,2.1082086523959136,-0.11905304952270028,-0.645286055758753
32,32,32,02-02,1.5884683150360732,-1.6061080489793729,-0.5859070827988874
33,33,33,02-03,2.081604644958978,-0.19517110198259147,-0.25000907381360143
34,34,34,02-04,2.116137293254591,-0.09636801974863124,-0.27539267110566906
35,35,35,02-05,2.596821966180897,1.278942870432221,-0.21269019271688303
36,36,36,02-06,1.830157636882404,-0.9145986768329388,0.2709926571997227
37,37,37,02-07,2.239699447086061,0.2571618208100158,0.3023245559267637
38,38,38,02-08,2.6027797736546567,1.2959890505202616,0.6041377793330363
39,39,39,02-09,2.1473094842035243,-0.0071797096203455,0.4230948502667801
40,40,40,02-10,2.749057420392393,1.714511320689004,0.5392370720334211
41,41,41,02-11,2.2171642679899515,0.19268529603468398,0.6020794393417728
42,42,42,02-12,2.073714724729608,-0.21774534623309305,0.5915858458493335
43,43,43,02-13,2.3714835970896617,0.6342160246601265,0.5744113857409002
44,44,44,02-14,2.5807740893032234,1.233027489565626,-0.0022209381001487096
45,45,45,02-15,2.111293628593645,-0.110226470270945,-0.2789048980218187
46,46,46,02-16,1.539825433807215,-1.74528262235729,-0.45756349187309237
47,47,47,02-17,1.6369416882294698,-1.4674184634953362,-0.6623321684479624
48,48,48,02-18,1.6990571180865877,-1.289696909340735,-0.8261193480738588
49,49,49,02-19,1.942071607287121,-0.5943960347890934,-0.873813682080176
50,50,50,02-20,2.237302715244766,0.2503044118102481,-0.5619273941260459
51,51,51,02-21,2.011275797690336,-0.396392474308848,-0.38630132369966247
52,52,52,02-22,2.1938693713014485,0.1260351053674902,0.13125251210834735
53,53,53,02-23,2.0052399144253106,-0.4136620409370361,0.2630230459368542
54,54,54,02-24,2.784398031461078,1.815626105507324,0.18270791481157142
55,55,55,02-25,2.2184021871155903,0.19622716818194771,0.277042071247512
56,56,56,02-26,2.0688771491638644,-0.2315863749414486,0.28524563200517
57,57,57,02-27,2.2091000865370254,0.16961246430679566,0.08592164616830684
58,58,58,02-28,2.211072721966871,0.17525646991343793,-0.3435874603411681
59,59,59,02-29,1.5872457621688951,-1.609605955958215,-0.825062185017443
60,60,60,03-01,1.8836921073442647,-0.7614285335495257,-0.9461955679987121
61,61,61,03-02,1.2087212973371435,-2.6926211798757014,-1.1008365448136588
62,62,62,03-03,1.814853301925289,-0.9583866728290636,-1.1379083729312403
63,63,63,03-04,1.8848088391164992,-0.7582333965828849,-1.0374091637738927
64,64,64,03-05,2.133330912311877,-0.047174498792050816,-0.851295979723863
65,65,65,03-06,1.7979985301199994,-1.0066107010141307,-0.6108874172346467
66,66,66,03-07,2.2739824292245685,0.3552505707506524,-0.6323080978367498
67,67,67,03-08,1.7128722295541476,-1.2501698049404033,-0.7011094407124293
68,68,68,03-09,1.7699328715443732,-1.0869107564416816,-0.6539230951705056
69,69,69,03-10,1.7405283659527722,-1.1710414538369625,-0.478945620564156
70,70,70,03-11,2.2322834614497293,0.2359435744594913,-0.888653355897134
71,71,71,03-12,2.1649366126341163,0.04325414662396701,-0.8922574700694913
72,72,72,03-13,1.4148011481339526,-2.102995841247215,-0.681287973078085
73,73,73,03-14,1.7053141896033366,-1.2717944899745484,-0.4839739479931631
74,74,74,03-15,2.2123483474172043,0.1789062255067568,-0.4959024251374044
75,75,75,03-16,2.1543075119867847,0.012842696672568205,-0.7581523159820717
76,76,76,03-17,2.2072687414666663,0.1643727115940437,-0.6272966400939229
77,77,77,03-18,1.6149831268922057,-1.5302451984440368,-0.5474533298004814
78,78,78,03-19,1.6892132169131395,-1.317861785918322,-0.5538227279784337
79,79,79,03-20,1.8727503195770163,-0.7927346282138998,-0.4635558910719087
80,80,80,03-21,2.198991343840346,0.14068983643904398,-0.46851974928070345
