,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,family,family_norm,family_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,6.903215946984732,-0.3456224397987925,
2,2,2,2,01-03,6.601603513612738,-0.6826857759086539,
3,3,3,3,01-04,5.853120070823415,-1.5191444173148727,
4,4,4,4,01-05,5.8123129816058965,-1.5647478875525391,-1.3581485032099916
5,5,5,5,01-06,5.242701432251981,-2.201310402451052,-1.5764074404853694
6,6,6,6,01-07,5.5701447293381365,-1.8353800962340407,-1.759440148817971
7,7,7,7,01-08,5.731395660567889,-1.6551760634510586,-1.4993855406969983
8,8,8,8,01-09,5.6189109220541695,-1.7808820259042637,-1.3871072429373752
9,9,9,9,01-10,7.2493390260538755,0.04118323141096361,-1.1087276628264346
10,10,10,10,01-11,6.415129015998454,-0.8910781009948001,-0.9810088087686194
11,11,11,11,01-12,6.737306158960707,-0.5310329217854082,-0.7676452870648127
12,12,12,12,01-13,6.255860265256968,-1.0690669718871495,-0.5337247252977263
13,13,13,13,01-14,6.876932728763204,-0.3749949332282184,-0.5164795628228441
14,14,14,14,01-15,6.874817613026679,-0.3773586553017456,-0.6873807966944222
15,15,15,15,01-16,7.341927359356005,0.1446542062602563,-0.5295930528346017
16,16,16,16,01-17,5.497569646726398,-1.916485504224269,-0.3310953155492076
17,17,17,17,01-18,7.584459918211333,0.4156935413735153,-0.3028802826947423
18,18,18,18,01-19,7.321583750684688,0.12191945182521448,-0.5136882400474764
19,19,19,19,01-20,7.028417695626506,-0.20570473610142667,-0.4834693415989604
20,20,20,20,01-21,5.743001229936929,-1.64220639941815,-0.509729569332313
21,21,21,21,01-22,7.5041709708992235,0.3259675969513525,-0.7525831220977007
22,22,22,22,01-23,5.356579921549449,-2.074046870624384,-1.088012698070919
23,23,23,23,01-24,6.280592487573985,-1.0414277752188112,-1.3979616751397852
24,24,24,24,01-25,5.5206807191919225,-1.890658004014096,-1.4888407665030723
25,25,25,25,01-26,5.364318604805816,-2.065398598514622,-1.8242029814328935
26,26,26,26,01-27,5.255076363262324,-2.1874809475978725,-1.6065857715830647
27,27,27,27,01-28,5.7036295971610125,-1.6862056926275744,-1.3921025540782843
28,28,28,28,01-29,6.524954808547622,-0.7683436115254112,-1.2734746090428548
29,29,29,29,01-30,7.432141141230932,0.24547152980987005,-1.0911608539051219
30,30,30,30,01-31,6.157587662219273,-1.1788903338015184,-0.8955513673047898
31,31,31,31,02-01,6.343151176017686,-0.971516067688225,-0.5326129317304084
32,32,32,32,02-02,6.305292988869032,-1.01382402799588,-0.6876539554609101
33,33,33,33,02-03,7.652226189977063,0.4914249208187143,-0.8787710947254577
34,34,34,34,02-04,5.692548039311818,-1.6985897539084225,-0.8756464562076124
35,35,35,35,02-05,6.406043682552368,-0.9012313057774152,-0.8504512723032104
36,36,36,36,02-06,6.174363675374282,-1.160142502694447,-0.9442262280713404
37,37,37,37,02-07,6.478422739179064,-0.8203449642618131,-1.249053076511757
38,38,38,38,02-08,5.8018203847286935,-1.5764737626046592,-0.9623683568882223
39,39,39,39,02-09,6.0156275273696735,-1.3375361698237849,-0.7357096739826935
40,40,40,40,02-10,7.2317426054281295,0.021518563832785432,-0.714789069703737
41,41,41,41,02-11,7.622961743443085,0.4587207916557587,-0.7842260386003729
42,42,42,42,02-12,6.286685254523407,-1.0346188770207072,-0.4354515429141701
43,43,43,43,02-13,6.105619454254646,-1.236966777641628,-0.3878214560179041
44,44,44,44,02-14,7.674371559639975,0.5161732115125572,-0.6680450544963086
45,45,45,45,02-15,6.271350856574844,-1.0517556484461887,-0.9950154968953345
46,46,46,46,02-16,5.727237445048764,-1.6598230270376413,-1.0683338919962726
47,47,47,47,02-17,5.867475337044767,-1.5031018627383974,-0.9524381551901685
48,48,48,48,02-18,5.893042804783058,-1.474529247626336,-0.9582121208172101
49,49,49,49,02-19,6.727857320863836,-0.5415923568050034,-0.7809600279415099
50,50,50,50,02-20,7.643371454263744,0.4815294177503077,-0.5015718770103932
51,51,51,51,02-21,7.223007640184685,0.01175690880801236,-0.19349052984121629
52,52,52,52,02-22,7.227257133280369,0.016505878549059074,-0.014739352332501269
53,53,53,53,02-23,7.521547225170829,0.34538622027666394,0.22430577759583792
54,54,54,54,02-24,6.852748091725464,-0.4020221825740459,0.16673396446481925
55,55,55,55,02-25,8.011277537767727,0.8926784227650316,0.23599757009786856
56,56,56,56,02-26,7.334271541128879,0.1360985389641958,0.1505246038130348
57,57,57,57,02-27,7.594880147237066,0.4273385426063081,-0.03724245258774838
58,58,58,58,02-28,6.7683574562127555,-0.4963319191599434,0.08264584221780591
59,59,59,59,02-29,6.513436177999357,-0.7812161181280353,-0.0973197559902743
60,60,60,60,03-01,7.496421783675215,0.3173075862592798,-0.09003158238766194
61,61,61,61,03-02,7.045052092569604,-0.1871151664834496,-0.14938051951292008
62,62,62,62,03-03,7.373401346235981,0.17982758057986994,-0.08298946339179321
63,63,63,63,03-04,7.276238952659504,0.07124491985475923,0.035493935547680454
64,64,64,64,03-05,7.124807402183204,-0.09798558243318213,0.019871632232751124
65,65,65,65,03-06,7.1495670609501865,-0.07031572449119336,-0.00034165934468583886
66,66,66,66,03-07,7.412546492365179,0.22357376636970386,-0.08302554415314957
67,67,67,67,03-08,6.936528036595602,-0.3083949159480714,-0.1541424619059936
68,68,68,68,03-09,6.929476094936585,-0.3162757282709125,-0.22055061674711232
69,69,69,69,03-10,6.894416114288973,-0.35545658666230484,-0.41873449272206376
70,70,70,70,03-11,6.768265654121128,-0.4964345114798946,-0.5166905567699852
71,71,71,71,03-12,6.085528679717003,-1.2594189803409015,-0.5933966132905263
72,72,72,72,03-13,6.886625746750648,-0.3641626179178251,-0.6839032280197955
73,73,73,73,03-14,6.524697418138965,-0.7686312550713176,-0.7929690239735456
74,74,74,74,03-15,6.4435510349201035,-0.859315416646528,-0.6810804934997154
75,75,75,75,03-16,6.308847826235082,-1.009851362384805,-0.8175636399098168
76,76,76,76,03-17,7.368989049292697,0.1748966713630863,-0.5424899907886862
77,77,77,77,03-18,5.352758137928979,-2.0783178588015097,-0.38173829502782963
78,78,78,78,03-19,8.3634811109466,1.2862792768089586,-0.1529891265493731
79,79,79,79,03-20,7.387764472895173,0.1958789194938221,0.06640217527794955
80,80,80,80,03-21,7.671692798415622,0.5131795942242111,-0.020689309068469736
81,81,81,81,03-22,7.48674771594402,0.3064964485791307,0.29983565723274147
82,82,82,82,03-23,6.901399637352487,-0.3476522347154294,0.2649778496017664
83,83,83,83,03-24,7.073639135992953,-0.15516806099424246,0.38794975941806925
84,84,84,84,03-25,8.17633144994346,1.077132431023108,0.4119652398809346
85,85,85,85,03-26,8.047993925036021,0.9337103783916392,0.4775477302794284
86,86,86,86,03-27,7.800630598378088,0.6572724770014033,0.6739852786938894
87,87,87,87,03-28,7.838856516811725,0.6999913909700933,0.6622320800296047
88,88,88,88,03-29,7.956062081509932,0.8309730557713366,0.4354620937421181
89,89,89,89,03-30,7.0105368557517584,-0.2256872529799507,0.14064092969697783
90,90,90,90,03-31,6.958815807287923,-0.2834874867018113,0.05243585233742767
91,91,91,91,04-01,6.4651152342210185,-0.8352166058792022,-0.12410457619658839
92,92,92,92,04-02,7.327062366510093,0.12804201284410233,-0.2561730710107057
93,93,93,93,04-03,6.891020620094834,-0.35925118023400304,-0.05282709731244536
94,94,94,94,04-04,7.246993562476237,0.03856208688663306,0.18295296939648778
95,95,95,95,04-05,8.102290257080579,0.9943885892096112,0.3577832850776406
96,96,96,96,04-06,8.224706078501178,1.1311929135517875,0.5780967691516737
97,97,97,97,04-07,7.403769628644973,0.21376528820771493,0.4261036997996916
98,98,98,98,04-08,8.50991340222001,1.449922917288301,0.3982114502084135
99,99,99,99,04-09,6.074978151067804,-1.271209596345896,0.3396371012579263
100,100,100,100,04-10,7.097241601283357,-0.12879141066103572,0.18107782826452468
101,101,101,101,04-11,7.78780778401127,0.6429424955066884,0.20012718828628764
102,102,102,102,04-12,7.3734100215669915,0.17983727559137758,0.018206308456908443
103,103,103,103,04-13,7.5060445998118865,0.3280614483382929,0.3013825110049866
104,104,104,104,04-14,7.5331901570321165,0.3583976383120258,0.3382902218147083
105,105,105,105,04-15,7.595335681067369,0.4278476189425728,0.30791617058653015
106,106,106,106,04-16,7.295397080238477,0.09265485419729456,0.22780268571382187
107,107,107,107,04-17,7.624731165687339,0.4606981881376197,0.0529412021197814
108,108,108,108,04-18,6.943285106815201,-0.3008436336448723,0.1178919497034916
109,109,109,109,04-19,6.5672228665698125,-0.7211074532259498,0.049380262621858045
110,110,110,110,04-20,7.881907165309777,0.7481021238142869,0.13064488534973398
111,111,111,111,04-21,7.227500183556414,0.01677749645277151,0.010869669800663664
112,112,112,112,04-22,7.731702391119687,0.5802425905645501,0.10744321156028003
113,113,113,113,04-23,6.981664590075527,-0.2579531051568021,0.41683519273645037
114,114,114,114,04-24,7.461783165945122,0.2785976169128258,0.18053344388884615
115,115,115,115,04-25,8.228331476933395,1.1352444338310723,0.31301241482813974
