,unnamed: 0,unnamed: 0,mth_day,sex,sex_norm,sex_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.664963645518512,-1.6314088027930524,
2,2,2,01-03,3.2860172557772773,-0.3933337175049945,
3,3,3,01-04,3.3902012597553792,-0.1856421149119485,
4,4,4,01-05,2.8055251604782923,-1.351198355985507,-1.059731752850633
5,5,5,01-06,2.878301562021845,-1.2061180472011308,-1.1428859899735426
6,6,6,01-07,2.685389614453145,-1.5906894787071644,-1.4467146925948462
7,7,7,01-08,2.414688489574409,-2.1303342255305084,-1.5358128902916388
8,8,8,01-09,2.371562640356462,-2.216305933232816,-1.5732447560566396
9,9,9,01-10,3.1220361476163148,-0.7202313010927048,-1.704056199431389
10,10,10,01-11,2.69286384139521,-1.5757895505755122,-1.132160063121497
11,11,11,01-12,2.484589160553985,-1.9909867074496248,-0.7355375233466034
12,12,12,01-13,4.406665638995676,1.8406873391521883,-0.5857496371200145
13,13,13,01-14,3.608431243132301,0.249401013118852,-0.3747682456304955
14,14,14,01-15,2.8223897765429955,-1.3175786158732825,-0.3729134896494046
15,15,15,01-16,3.7570416805069016,0.5456570478444089,0.001359802474930616
16,16,16,01-17,2.698446230921791,-1.5646610146889668,-0.20347473936221805
17,17,17,01-18,3.611065811571496,0.2546530452963862,-0.3690579884919957
18,18,18,01-19,3.790160711829343,0.6116800881292964,-0.36890633595285216
19,19,19,01-20,3.110063692283,-0.7440984816598141,-0.4500721024395613
20,20,20,01-21,2.8228462158562126,-1.3166687006384208,-0.28768679943705233
21,21,21,01-22,3.5127513644913964,0.05866244892415376,-0.5170462702075572
22,22,22,01-23,3.1871886983911564,-0.5903491966739131,-1.006842700182436
23,23,23,01-24,2.9207464808860566,-1.1215037793266431,-1.2625641242199215
24,24,24,01-25,2.3159859477504177,-2.3270984917199766,-1.2231600642649505
25,25,25,01-26,2.340400936738372,-2.278427025884726,-1.436653444843137
26,26,26,01-27,2.941443386502905,-1.0802443409085944,-1.2328992759516921
27,27,27,01-28,2.8701853213652706,-1.222297834544965,-0.9889589916560358
28,28,28,01-29,3.800441951117087,0.6321758166747544,-0.806449091480777
29,29,29,01-30,3.654950711548455,0.34213792644729496,-0.6139555309923419
30,30,30,01-31,2.8652988307510765,-1.2320390906684229,-0.43943656289672806
31,31,31,02-01,2.9197623443629754,-1.1234656629541149,-0.21243291241119874
32,32,32,02-02,3.466705399198351,-0.03313053233491138,-0.40969760012599005
33,33,33,02-03,3.553414174047442,0.13972406836821066,-0.4638158257992277
34,34,34,02-04,3.2067205463122983,-0.5514123096139938,-0.14279170957864476
35,35,35,02-05,3.4920672814501454,0.017428572407869353,-0.12200742366219282
36,36,36,02-06,3.831507691884252,0.6941056066550745,-0.18711266155276718
37,37,37,02-07,2.9823182715039835,-0.9987599474554032,-0.258507071184676
38,38,38,02-08,3.270753585681535,-0.4237619596783575,-0.051622375238451014
39,39,39,02-09,3.3385333980052985,-0.2886423894232422,-0.18364946375095817
40,40,40,02-10,3.82939596649392,0.689895866063356,-0.16894398004240196
41,41,41,02-11,3.0946960673113746,-0.7747339586671738,0.2123278630058895
42,42,42,02-12,3.8757678204806143,0.7823385089064119,0.6456737066884969
43,43,43,02-13,4.1298589534654235,1.2888711108343456,0.7558428750433773
44,44,44,02-14,4.575025049865451,2.1763131024172866,0.5712463801768909
45,45,45,02-15,3.6701172925156302,0.3723726207060407,0.7149829445078382
46,46,46,02-16,3.2738029126949035,-0.4176831031355622,0.5023603297136272
47,47,47,02-17,3.5273101143818217,0.08768542731850988,0.13176951079463048
48,48,48,02-18,3.2358225823779683,-0.4933971798588537,-0.1406339702191878
49,49,49,02-19,3.014465701052892,-0.934673802679635,-0.2421430594588915
50,50,50,02-20,3.755153134142384,0.5418922163343769,-0.16877108085214942
51,51,51,02-21,3.3645982472063745,-0.2366819147321814,-0.012640986289516369
52,52,52,02-22,3.4946357171686837,0.022548768504890473,-0.011148495785345972
53,53,53,02-23,3.997225841062997,1.0244659946943082,0.20944414277465753
54,54,54,02-24,3.2403146360194945,-0.4844422368338313,0.25944363877970095
55,55,55,02-25,3.678398880238007,0.38888202868038624,0.26113756831552387
56,56,56,02-26,3.905640133876294,0.8418891923646372,0.25530564698462854
57,57,57,02-27,3.3696965860692485,-0.2265183375172438,0.1814565754745381
58,58,58,02-28,3.4770829733633843,-0.01244275948048168,0.1655321438374274
59,59,59,02-29,3.7749570965227,0.5813715656337657,-0.08513384038966502
60,60,60,03-01,3.192385754110468,-0.5799888266564958,-0.3498323667538708
61,61,61,03-02,2.923951837454257,-1.1151138766821682,-0.415265878460654
62,62,62,03-03,3.108958362073658,-0.7463019658205976,-0.471612610721023
63,63,63,03-04,3.1727567437593533,-0.6191194077579428,-0.5814902213237138
64,64,64,03-05,3.307492250252544,-0.3505231530426957,-0.49299929901311895
65,65,65,03-06,3.4442507238852245,-0.07789409798237858,-0.4916108152366012
66,66,66,03-07,3.4587231068082787,-0.04904329279292703,-0.44941715342944916
67,67,67,03-08,2.9281308547324767,-1.106782974023062,-0.5758887470360394
68,68,68,03-09,3.2359515936155345,-0.4931399949776855,-0.6674901774333453
69,69,69,03-10,2.7921062933727643,-1.3779489693974842,-0.6573497018445897
70,70,70,03-11,3.0317929825952312,-0.9001317354265304,-0.7409077444915044
71,71,71,03-12,3.474771226473348,-0.017051244449845314,-0.5976352967661914
72,72,72,03-13,3.2072325889777784,-0.5503915486744151,-0.5662448623782891
73,73,73,03-14,3.359348017412299,-0.2471482876711836,-0.3990830706375414
74,74,74,03-15,3.3304295917718183,-0.30479738865027195,-0.27837880268519083
75,75,75,03-16,3.2952248949417187,-0.3749782189529973,-0.6509536170325417
76,76,76,03-17,3.3950851073277493,-0.1759061277124271,-0.5593922035742364
77,77,77,03-18,2.3534066034800247,-2.2525001305339507,-0.5807447300901484
78,78,78,03-19,3.482811414839276,-0.0010230679245830363,-0.6379296934956465
79,79,79,03-20,3.2950818165731097,-0.3752634467666551,-0.41228643239357704
80,80,80,03-21,3.1583159854282887,-0.6479071690832611,-0.3782552404840282
81,81,81,03-22,3.974359288016416,0.9788813476594196,0.06694571385935777
