,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,hilarious,hilarious_norm,hilarious_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,6.902644750268268,-0.2982096316447749,
2,2,2,2,01-03,6.7528000293109045,-0.4899444243531028,
3,3,3,3,01-04,5.353896492659623,-2.2799205937177844,
4,4,4,4,01-05,4.8758526572730885,-2.8916047097662347,-1.6977178682497394
5,5,5,5,01-06,5.9402652328563,-1.5296286372581145,-1.9291225942176953
6,6,6,6,01-07,5.027940893236939,-2.696999212758425,-2.179199703867253
7,7,7,7,01-08,5.817559166131277,-1.6866379874525126,-1.9071069666458655
8,8,8,8,01-09,5.580157312234519,-1.9904070822504496,-1.558812523306586
9,9,9,9,01-10,6.629773229715482,-0.6473641703894601,-1.433162399070693
10,10,10,10,01-11,6.5090486860992405,-0.8018380497305566,-1.0469211444287956
11,11,11,11,01-12,6.529454316541085,-0.7757278918427583,-0.9225037227168901
12,12,12,12,01-13,6.839074246965171,-0.3795516849070413,-0.69372874046379
13,13,13,13,01-14,6.4009679541340585,-0.94013345718108,-0.48626485568706174
14,14,14,14,01-15,6.652911700528255,-0.6177571887318486,-0.3815004012734058
15,15,15,15,01-16,7.60259722740453,0.5974191382709089,-0.15700832852998384
16,16,16,16,01-17,7.000302262441398,-0.17325132324862075,-0.12402212460104456
17,17,17,17,01-18,7.58212560865917,0.5712245446177734,0.09981554108159152
18,18,18,18,01-19,6.9937506659923745,-0.18163446133340555,0.169248805101938
19,19,19,19,01-20,7.4505706500303255,0.4028925369147364,-0.007193769275502952
20,20,20,20,01-21,6.978492924217216,-0.2011576046097698,0.14339729398418752
21,21,21,21,01-22,6.77523601823246,-0.4612363079937368,-0.2186542439695296
22,22,22,22,01-23,7.7064425158845316,0.730295056309522,-0.432128535763842
23,23,23,23,01-24,5.8844208495843455,-1.6010846831045291,-0.8574149561195522
24,24,24,24,01-25,5.9927431211337705,-1.4624802120992804,-0.979776401309573
25,25,25,25,01-26,5.456349650753465,-2.1488259852195246,-1.3891295228240483
26,26,26,26,01-27,6.404724866220657,-0.935326275749895,-1.6166598715968996
27,27,27,27,01-28,4.855728241894552,-2.917355037080587,-1.3461356357732726
28,28,28,28,01-29,6.639524369012842,-0.6348870363275847,-1.3423745537732523
29,29,29,29,01-30,7.152942688211536,0.022060731837231784,-1.1126020884194183
30,30,30,30,01-31,6.010379303117126,-1.4399137200991583,-1.1824940573391272
31,31,31,31,02-01,6.533781361554334,-0.7701911930965208,-0.5562004497223433
32,32,32,32,02-02,6.0769927181217085,-1.3546780892681478,-0.7519405148034406
33,33,33,33,02-03,7.792496979954923,0.8404066086201167,-0.8236614580642169
34,34,34,34,02-04,5.7216748222108205,-1.809327426814169,-0.4025223455360758
35,35,35,35,02-05,6.816634251607902,-0.4082649277274265,-0.2540505642145928
36,36,36,36,02-06,7.985153059396462,1.0869209550696886,-0.3082704975352554
37,37,37,37,02-07,7.229984038008702,0.12063949483237685,-0.5441938873487027
38,38,38,38,02-08,5.8227486970758005,-1.6799976891921231,-0.21453076555324602
39,39,39,39,02-09,6.6862228181957875,-0.5751337302605668,-0.1868743377460497
40,40,40,40,02-10,7.267506263576375,0.16865130395857106,-0.5351452986004447
41,41,41,41,02-11,6.946318686516419,-0.2423263608842488,-0.8793186738227633
42,42,42,42,02-12,6.352067142866945,-1.0027048100566809,-0.6374242015615912
