,unnamed: 0,unnamed: 0,mth_day,short,short_norm,short_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0356682675466693,0.5893131088581178,
2,2,2,01-03,0.9709388072362304,0.3246313261224571,
3,3,3,01-04,0.6306633034738016,-1.0667710820726533,
4,4,4,01-05,0.8805003107196043,-0.04517590494591283,-0.24724327311116348
5,5,5,01-06,0.7745645974917321,-0.4783519780670576,-0.6957031197548584
6,6,6,01-07,0.6941661186377753,-0.8071051085619323,-0.9371359481233573
7,7,7,01-08,0.3776275770816299,-2.101445971004052,-0.8437295632398266
8,8,8,01-09,0.6166760426441531,-1.1239656440885362,-1.0823263457504921
9,9,9,01-10,0.7677217323668489,-0.5063327727714688,-1.289725443975499
10,10,10,01-11,0.5303989745997668,-1.4767566000099048,-1.1439668770962534
11,11,11,01-12,0.4702407058006166,-1.7227465674170992,-0.8334229368396624
12,12,12,01-13,0.9080427203185018,0.06744629271353961,-0.5863946619244843
13,13,13,01-14,0.8332994736751711,-0.2381823294645057,-0.4052230753115696
14,14,14,01-15,0.9791492000653622,0.3582040054025323,-0.43629760456795896
15,15,15,01-16,1.0335610864130294,0.5806967469060188,0.07102293304673972
16,16,16,01-17,0.4848022398178525,-1.6632037755482412,-0.08107733047216988
17,17,17,01-18,1.214649730058942,1.3211766582710929,-0.11902253051536162
18,18,18,01-19,0.6848607271591041,-0.8451552883999179,-0.1599089330860233
19,19,19,01-20,0.7776211652978898,-0.4658535297236561,-0.5114096838496088
20,20,20,01-21,0.919155163186502,0.11288558997856225,-0.25634796794459985
21,21,21,01-22,0.5177918409331309,-1.5283077576754944,-0.4501087862847049
22,22,22,01-23,0.8590631438909007,-0.1328334801181872,-0.41243628144146594
23,23,23,01-24,0.930337759567422,0.15861174823046242,-0.31351221554169467
24,24,24,01-25,0.7401389004094472,-0.6191202593404841,-0.5974983847389616
25,25,25,01-26,0.9227758789594986,0.12769086567497165,-0.5417153881802221
26,26,26,01-27,0.5024524053818235,-1.591031425205039,-0.15947866288941848
27,27,27,01-28,0.5996441669472505,-1.1936097783230577,-0.05169315342847732
