,unnamed: 0,unnamed: 0,mth_day,mental illness,mental illness_norm,mental illness_ravg
112,112,112,04-22,5.840600029015473,0.06161113953513137,-0.38834743266625277
113,113,113,04-23,5.336442390683743,-0.6252081994360964,-0.23497355570285583
114,114,114,04-24,5.451326307281665,-0.4687006120130306,-0.3322111412953995
115,115,115,04-25,5.872732533581946,0.10538559392773207,0.05409419969922221
116,116,116,04-26,5.582352754814986,-0.29020188217057835,-0.006690795815789761
117,117,117,04-27,6.92703943832917,1.541679158352174,0.16100468281014968
118,118,118,04-28,5.572885787036591,-0.30309883355494044,0.3015303376171884
119,119,119,04-29,6.075020514499543,0.3809646723195403,0.3619065906155437
120,120,120,04-30,6.070240873886533,0.37445331682920174,0.38369657114266564
121,121,121,05-01,6.138646558384137,0.4676431119178641,0.15021134692654267
122,122,122,05-02,5.678321966791192,-0.15946199900784702,0.28240299759528625
123,123,123,05-03,5.898704743480808,0.14076781305543626,0.1275461892157854
124,124,124,05-04,6.155095051919727,0.490051070457521,0.20886189348662088
125,125,125,05-05,5.392987510806246,-0.5481761779574646,0.03645771779246867
126,126,126,05-06,6.428378140253023,0.8623475424542146,0.055247400724148715
127,127,127,05-07,5.3793300063486065,-0.5667819422470491,-0.21380164543331912
128,128,128,05-08,5.761077023042469,-0.046723901417766715,-0.31953768253790343
129,129,129,05-09,4.713736959294671,-1.4735264638893708,-0.4571876933730928
130,130,130,05-10,5.68940376110909,-0.14436515216998513,-0.553686980633537
131,131,131,05-11,4.786738090255961,-1.3740762429686006,-0.5316074669892571
132,132,132,05-12,6.003368097535293,0.2833518188915488,-0.5185561276333924
133,133,133,05-13,5.476574403727577,-0.4343048603813693,-0.34039904003259797
134,134,134,05-14,5.8185587978268645,0.03158413471742159,0.019753575826983266
135,135,135,05-15,5.4983909558296045,-0.4045839382846041,0.3160194854789063
136,136,136,05-16,7.275617328036923,2.016550542987502,0.5063614454938774
137,137,137,05-17,6.0915766076341615,0.4035192149429375,0.6944065586337022
138,138,138,05-18,6.841687704379683,1.4254035789813757,0.7974448038732017
139,139,139,05-19,6.3047780499650505,0.6939658184575788,0.9920272715209943
140,140,140,05-20,6.272368253357947,0.6498136061544194,0.6682485530467058
141,141,141,05-21,6.355386952742102,0.7629108676021521,1.0803129905109108
142,142,142,05-22,5.849604650881572,0.07387823214177093,0.7042769336371477
143,143,143,05-23,7.906424459271165,2.8759058397281674,0.5252422768742088
144,144,144,05-24,5.185518989226528,-0.8308127622612024,0.23438091135217776
145,145,145,05-25,5.516258991649049,-0.3802421221200548,0.11727669772372955
146,146,146,05-26,4.991332870663177,-1.095354586977766,-0.003335591752182882
147,147,147,05-27,5.839627010367331,0.060285585831462776,-0.3758301839429707
148,148,148,05-28,5.318394154330545,-0.6497955047137036,-0.14079110189009816
149,149,149,05-29,6.2658533521307245,0.6409382865834408,-0.07998424839314222
150,150,150,05-30,6.220697311673836,0.5794217300560327,0.17103294816647988
151,151,151,05-31,5.784069502337301,-0.015401001138319185,0.18097132638848867
152,152,152,06-01,6.096883310064412,0.4107485923799665,0.4223314935732561
153,153,153,06-02,5.883398427468902,0.11991585516351565,0.755360795630562
154,154,154,06-03,6.381412316202557,0.7983654983949012,0.88218886292844
155,155,155,06-04,7.732608205061648,2.6391140989272763,0.9018712014500196
156,156,156,06-05,6.7792838445940005,1.3403901338433004,0.9857465181253192
157,157,157,06-06,5.870756065246978,0.10269302999115804,1.1078586055375619
158,158,158,06-07,6.4662938304439175,0.9140004924317636,1.1108290317627647
159,159,159,06-08,6.4212144565900005,0.8525883796369729,0.6236153609258221
160,160,160,06-09,6.3944949099988815,0.8161880557461172,0.8432937916379561
161,161,161,06-10,5.586781961845951,-0.2841679260943792,1.0074983411519647
162,162,162,06-11,7.7468095317956225,2.6584607181161046,1.0177037379963179
163,163,163,06-12,6.593959153939648,1.0879203270752105,1.2769293811429403
164,164,164,06-13,6.511241272771275,0.9752328734978823,1.3306247057000176
165,165,165,06-14,7.562917206890397,2.407942238516707,1.548937664595111
166,166,166,06-15,6.6309842440822875,1.13836000308858,1.25737987625135
167,167,167,06-16,6.548293726543419,1.0257098272761809,1.2772880182586253
168,168,168,06-17,6.4627069068277105,0.9091139880535386,1.3258944381351456
169,169,169,06-18,6.68164021900396,1.2073691791188623,0.9491400740874907
170,170,170,06-19,6.7253176372144745,1.2668713927570043,0.8056332500585794
171,171,171,06-20,5.903584864612867,0.14741605423077847,0.7364982678972739
172,172,172,06-21,5.9989397684977055,0.2773190589151127,0.6854055963016853
173,173,173,06-22,6.2438037913756785,0.6108999343083483,0.5337327487801592
174,174,174,06-23,6.237680389493989,0.6025579584800068,0.585427290960768
175,175,175,06-24,6.013630275777495,0.2973320939897061,0.733578520769719
176,176,176,06-25,6.952994962137683,1.5770386458406571,0.8429162256324313
177,177,177,06-26,6.5560846114746925,1.0363234330844846,0.7769404051358709
178,178,178,06-27,6.480493818621849,0.9333452880913874,0.8187012614705607
179,179,179,06-28,5.9532276940424245,0.2150450113289856,0.9490700872538187
180,180,180,06-29,6.421606963861661,0.8531230964881445,0.9297982944785567
181,181,181,06-30,6.587811306417242,1.0795450486892542,0.8782865649528437
182,182,182,07-01,6.8681165583360535,1.4614078891890858,0.7307030851798787
183,183,183,07-02,6.329212444977754,0.7272530559302068,0.5653524355906864
184,184,184,07-03,5.830494602840589,0.04784440945359646,0.3376252016000727
185,185,185,07-04,5.224976857788698,-0.7770588862061679,0.3026495014565253
186,186,186,07-05,5.418632079859437,-0.5132403074555377,-0.025576228314597087
187,187,187,07-06,6.433768471137308,0.8696908478279699,-0.3337853184329174
188,188,188,07-07,5.422517990808967,-0.5079464894376486,-0.3220749472002216
189,189,189,07-08,4.971772796707163,-1.1220014847797155,0.061762868652765944
190,190,190,07-09,5.882070376290767,0.11810663684977114,0.24429234107940323
191,191,191,07-10,6.915506717061852,1.5259680089117575,0.12759434994984234
192,192,192,07-11,6.222543290767305,0.581936527104286,0.18754197267301134
193,193,193,07-12,5.919797647071142,0.16950290105060462,0.337078327753865
194,194,194,07-13,5.686544207143978,-0.14826075309863448,0.2537668692143837
195,195,195,07-14,5.63037302542428,-0.2247833542945936,0.06703695931164873
196,196,196,07-15,5.5151432459672325,-0.3817621143871167,0.006565139480325444
197,197,197,07-16,6.09309559634293,0.4055885494953479,-0.1185534398246254
198,198,198,07-17,5.956208362713753,0.2191056081163463,-0.3245778862196787
199,199,199,07-18,5.368740180795158,-0.5812085747791005,-0.399513430591327
200,200,200,07-19,4.779154512887128,-1.384407431468954,-0.420933352366351
201,201,201,07-20,5.300335780397647,-0.6743966205244835,-0.5942680802612804
202,202,202,07-21,5.420803876972276,-0.5102816450372607,-0.7191610970265171
203,203,203,07-22,5.329680630300091,-0.6344198178742285,-0.6911652729984649
204,204,204,07-23,5.40614433739843,-0.5302524924750732,-0.3931342849774895
205,205,205,07-24,5.492041675592394,-0.4132336306107873,-0.5129172354337579
206,206,206,07-25,6.091766932584487,0.4037784966568976,-0.5346384052298437
207,207,207,07-26,4.772777926494799,-1.393094323262094,-0.6604678927277515
208,208,208,07-27,5.325137726837945,-0.6406086638137758,-0.5433389993735178
209,209,209,07-28,4.775492124095887,-1.3893967428616751,-0.3863301892906728
210,210,210,07-29,5.922012976237268,0.17252086765032906,-0.39466324065645725
211,211,211,07-30,6.1835527009564455,0.5288192298862829,-0.5530589160527244
212,212,212,07-31,6.055065827141267,0.35378018846219106,-0.48909448753167967
213,213,213,08-01,4.075158755642475,-2.343468375639697,-0.2398016629602514
214,214,214,08-02,5.6068550873483165,-0.25682209268750744,-0.29514137258245393
215,215,215,08-03,5.873447943545313,0.10636020456689438,-0.1722506252360557
216,216,216,08-04,5.6782813071417175,-0.15951739008288607,-0.2217357643500646
217,217,217,08-05,6.724798167758106,1.2661637139646726,0.21704566824531124
218,218,218,08-06,5.8371193356612325,0.056869353778137774,0.2600902903654339
219,219,219,08-07,6.007675779398255,0.2892202199325581,0.2359108380959464
220,220,220,08-08,5.796435727842237,0.0014456400332287205,0.025936393220292796
221,221,221,08-09,5.766954824956668,-0.03871650905003066,-0.4549723598002533
222,222,222,08-10,4.7534947069528695,-1.4193640593368078,-0.5677377111086225
223,223,223,08-11,4.606740558555697,-1.6192888041586042,-0.659195830473866
224,224,224,08-12,5.340468965101499,-0.6197227540720777,-0.5263414079151526
225,225,225,08-13,5.604868460071672,-0.2595284962589026,-0.350689162553296
226,226,226,08-14,6.381564026816353,0.798572175385509,-0.044380256240740566
227,227,227,08-15,6.540576790715053,1.0151969631211093,-0.03159024355672568
228,228,228,08-16,6.102565410504936,0.4184893785385251,-0.03228648535590217
229,229,229,08-17,4.663071377067573,-1.542548728054515,-0.3238105869951438
230,230,230,08-18,5.337402520102675,-0.6239002048671366,-0.31187047968029513
231,231,231,08-19,4.3209142008392325,-2.0086731060943523,-0.2973425442090327
232,232,232,08-20,6.434151622683687,0.8702128192746008,-0.39095018612606586
233,233,233,08-21,6.604561910714718,1.1023645759486838,-0.07592333903243102
234,234,234,08-22,5.690290988389362,-0.14315647296367384,0.2606994964418177
235,235,235,08-23,6.050538347462287,0.3476123545072943,0.7572746305327765
236,236,236,08-24,6.819984306417264,1.3958368079783559,0.6676836386157491
237,237,237,08-25,6.507970965133821,0.9707776984514008,0.612984089479442
238,238,238,08-26,6.0395676585657725,0.3326668677724362,1.4492593758900743
239,239,239,08-27,6.363649688717487,0.7741672811308417,1.6380234181973876
240,240,240,08-28,9.373482909194944,4.87449524550012,1.4289911857410331
241,241,241,08-29,6.8819083602591435,1.4801966083511753,1.4824010069323823
242,242,242,08-30,5.899347475122508,0.14164341324022864,1.2726704236377095
243,243,243,08-31,6.7432028619748525,1.2912366255994965,1.0727467378162547
244,244,244,09-01,5.115855093469742,-0.9257166319956008,0.055388646939869446
245,245,245,09-02,5.4831294624702585,-0.4253748337978872,-0.0039023827380183507
246,246,246,09-03,4.892751310674216,-1.2296532997581917,0.05747988185705984
247,247,247,09-04,6.620773964642661,1.1244504302838485,-0.15353931369764726
248,248,248,09-05,6.169692258366921,0.5099370008106978,-0.14870377478208
249,249,249,09-06,5.813814885513289,0.025121452271253845,0.29127377304075
250,250,250,09-07,5.137152168913644,-0.8967033985021973,0.4629188162731099
251,251,251,09-08,7.420914514605808,2.2144904531390925,0.41497343727934927
252,252,252,09-09,5.648724429517914,-0.1997830403640323,0.6115267874810536
253,253,253,09-10,6.409609010447099,0.8367781563212849,0.758106757806869
254,254,254,09-11,7.0353685771989865,1.6892571020209233,0.7263568505509072
255,255,255,09-12,6.4593943630238435,0.904601274226146,0.4340020752276113
256,256,256,09-13,4.9973166341420665,-1.0872028420379682,0.5255776912399364
257,257,257,09-14,6.133301734487183,0.4603618011993177,0.43293827444521127
258,258,258,09-15,6.052049237174339,0.3496706557099179,0.1717664290041372
259,259,259,09-16,6.001598924496848,0.2809416555529345,0.04218861764401086
260,260,260,09-17,5.8850942037935425,0.1222260293744788,0.5222949253017192
261,261,261,09-18,5.888697182714081,0.12713440606538814,0.6864267624787876
262,262,262,09-19,7.111840047936193,1.7934350039082818,0.7980799389239918
263,263,263,09-20,6.856184577566582,1.4451528242617278,0.7936858405754436
264,264,264,09-21,6.5438012763626965,1.0195897143811428,0.8514857520660483
265,265,265,09-22,5.9822460776537225,0.2545770654616456,0.6841466786429832
266,266,266,09-23,6.13966129489964,0.4690254983181074,0.08302921946605823
267,267,267,09-24,5.151688767802862,-0.8769000344730022,-0.2402841746270188
268,268,268,09-25,4.464349436802093,-1.8132697511532678,-0.5313759014121816
269,269,269,09-26,5.432221320057226,-0.4947275402967345,-0.7006446345249447
270,270,270,09-27,5.261751317777638,-0.7269606463298348,-0.7728143007121938
271,271,271,09-28,5.23673889792846,-0.7610353332149332,-0.8265785606502022
272,272,272,09-29,5.82180575648117,0.036007501194612164,-0.8036570736366216
273,273,273,09-30,4.914895822884329,-1.199485594101052,-0.8374103412379391
274,274,274,10-01,4.565302122063935,-1.675740829071785,-0.8487839192293091
275,275,275,10-02,5.283562422024316,-0.6972471459046391,-0.7360941173000263
276,276,276,10-03,5.211658876629143,-0.7952021142780547,-0.6736667504891458
277,277,277,10-04,5.733056527742178,-0.08489652163923701,-0.39157310422360814
278,278,278,10-05,6.096753464265157,0.4105717020598959,-0.0019769547930303943
279,279,279,10-06,6.157315700309282,0.4930762834921738,0.07457403495361897
280,280,280,10-07,6.281193304402508,0.6618360675116814,-0.17164331266797409
281,281,281,10-08,5.620714543516144,-0.2379412074247429,0.00387079414109006
282,282,282,10-09,4.127248323957692,-2.272506200007613,0.07204302680366219
283,283,283,10-10,6.5060700924036245,0.9681881192151479,-0.13277133468843694
284,284,284,10-11,6.397003179456157,0.8196050980353287,-0.29436069144893234
285,285,285,10-12,5.255255560818041,-0.7358098854604209,-0.45727401083601227
286,286,286,10-13,5.569508261235769,-0.30770007305129105,-0.03719780318254166
287,287,287,10-14,4.903198396012202,-1.215421123747222,-0.17162458792347116
288,288,288,10-15,5.977382268239031,0.2479510459132105,-0.21991660223551976
289,289,289,10-16,5.914016667480881,0.16162741076957088,-0.18855612826406476
290,290,290,10-17,6.1843115456796856,0.529853012163037,0.042675407329354514
291,291,291,10-18,5.39337592171028,-0.5476470416316911,0.12902600074684714
292,292,292,10-19,6.587917076577657,1.0796891405092246,0.2881037935364672
293,293,293,10-20,5.283510732392675,-0.6973175632422662,0.2501086717828523
294,294,294,10-21,6.678005676228413,1.202417802650931,0.29537727641553574
295,295,295,10-22,5.7466754489288085,-0.06634331975211867,0.4055400671862484
296,296,296,10-23,6.383687231603485,0.8014646399591374,0.5562528090792319
297,297,297,10-24,5.878563882580919,0.11332970299258525,0.8863794173431904
298,298,298,10-25,7.251698444176418,1.9839655918671264,0.8545890239836537
299,299,299,10-26,6.737481304235827,1.2834420863414842,1.0605938908985963
300,300,300,10-27,6.53799182925269,1.0116754424937109,1.2057482448072563
301,301,301,10-28,6.653978909640162,1.1696858817375364,1.3853509220142595
302,302,302,10-29,7.022987892849637,1.6723907634110984,1.4104787443594884
303,303,303,10-30,6.669584662930834,1.190945766234604,1.2519107139006262
304,304,304,10-31,7.362368451712596,2.1347325259384995,1.1090615103976014
305,305,305,11-01,6.039103033139389,0.3320339035883117,1.198203392382258
306,306,306,11-02,5.9088436997006415,0.1545802214755615,1.0856564198847802
307,307,307,11-03,7.0465848671120135,1.7045371736454746,0.9250908717006965
308,308,308,11-04,6.527299324085339,0.9971089284262312,0.5480637533569545
309,309,309,11-05,5.962408761117866,0.22755247713010165,0.29213415764949185
310,310,310,11-06,5.701834822686505,-0.12743018412395254,0.2509141781895244
311,311,311,11-07,4.911917004181569,-1.2035436706564635,0.09030800092110518
312,312,312,11-08,5.727299299441781,-0.09273965528424333,0.11114455300910714
313,313,313,11-09,6.339230023367356,0.7409001100349593,-0.21989104241761426
314,314,314,11-10,6.61906936865687,1.122128240954243,0.08095208591146864
315,315,315,11-11,4.504434753769197,-1.7586610954302269,0.27461033823294795
316,316,316,11-12,7.026832700415811,1.6776285858505449,0.3740962676620139
317,317,317,11-13,5.764842496466848,-0.041594156727587886,0.2856296553042874
318,318,318,11-14,6.1654633555383125,0.504175921290153,0.27213114124303284
319,319,319,11-15,5.949598143540379,0.2101004358886001,0.3552620107054334
320,320,320,11-16,6.5596181105111375,1.0411371565867156,0.26395511056246607
321,321,321,11-17,4.870566518929493,-1.2598758786558235,0.2638478669372415
322,322,322,11-18,6.6246913931390985,1.1297871849927412,0.22659112713987617
323,323,323,11-19,5.764370165333303,-0.04223761847893545,0.21002785446668637
324,324,324,11-20,6.0013741791067226,0.2806354825059609,-0.10187148515642447
325,325,325,11-21,5.876648825195898,0.11072079984946118,-0.05553547394723568
326,326,326,11-22,5.185925563963308,-0.8302588811519495,-0.04978104100972425
327,327,327,11-23,5.074643364080028,-0.9818598114006908,-0.12322685485461123
328,328,328,11-24,6.650035536686888,1.1643137826178098,-0.3708119406906645
329,329,329,11-25,5.440894113169245,-0.4829125015482573,-0.3765865056864459
330,330,330,11-26,4.9109397220784885,-1.2048750325103588,-0.1492569610001489
331,331,331,11-27,5.851216014392749,0.07607340987477247,-0.14021245961523046
332,332,332,11-28,6.1871489122494205,0.5337183869658327,-0.3503201177234638
333,333,333,11-29,5.114477895806568,-0.9275928030911802,-0.19669080509919715
334,334,334,11-30,5.724662227898665,-0.09633216603158988,-0.14192296077504474
335,335,335,12-01,6.117520879799257,0.4388633741973423,-0.11050506818038515
336,336,336,12-02,5.152152735320168,-0.8762679665654443,-0.1909313094622287
337,337,337,12-03,5.989589263075082,0.26458076544273,-0.24703903379581857
338,338,338,12-04,5.832929091427653,0.05116093927477162,-0.30501594484790023
339,339,339,12-05,4.867363673590043,-1.2642391490927196,-0.41012964320967266
340,340,340,12-06,5.4693155808671285,-0.4441936323440799,-0.4286662459329797
341,341,341,12-07,5.654570544110428,-0.1918188159732924,-0.6380874398400398
342,342,342,12-08,5.070512315593422,-0.9874875829052864,-0.6123448783152895
343,343,343,12-09,5.067239335989952,-0.9919463979996306,-0.6891958419419107
344,344,344,12-10,5.946306583468287,0.20561630842327352,-0.8027761213684933
345,345,345,12-11,4.5288903826350975,-1.7253449308524471,-0.9295148854929578
346,346,346,12-12,4.969076037328335,-1.1256753089035745,-0.3233587257434267
347,347,347,12-13,5.096377327520621,-0.9522514007200792,0.05829519574794787
348,348,348,12-14,7.740194783334976,2.6494493755919,-0.08065022831006687
349,349,349,12-15,6.748150709341911,1.297977130948617,0.46253631810982165
350,350,350,12-16,5.334351798196662,-0.628056235924815,0.6938357684916591
351,351,351,12-17,6.921236936185702,1.533774347666884,0.8238056979566549
352,352,352,12-18,5.987783968528446,0.26212139338745016,0.24361145569104278
353,353,353,12-19,5.6688015064148525,-0.17243182393010334,0.04151552303925669
354,354,354,12-20,5.184855913065749,-0.8317160780017732,0.09416061161536675
355,355,355,12-21,5.858063296182091,0.08540153503790042,-0.18694995328469596
356,356,356,12-22,5.566215597192645,-0.3121857044681546,-0.30281190042863676
357,357,357,12-23,5.683146826005639,-0.1528890417334922,-0.36930767070594667
358,358,358,12-24,5.477495317669253,-0.4330502894761948,-0.3647400362153214
359,359,359,12-25,5.375935403789321,-0.5714064455939627,-0.5381510051720242
360,360,360,12-26,5.204973061959712,-0.8043102710580212,-0.7591178951003866
361,361,361,12-27,5.094312543027853,-0.9550642787023164,-0.9820617370755045
362,362,362,12-28,4.593015172673518,-1.637987044038329,-1.2225429996386425
363,363,363,12-29,4.701239347810825,-1.4905520935841992,
364,364,364,12-30,4.4183480993180515,-1.875937864855024,
365,365,365,12-31,,,
