,unnamed: 0,unnamed: 0,mth_day,slow,slow_norm,slow_ravg
0,0,0,01-01,,,
1,1,1,01-02,12.70646618184712,-0.8441728609543985,
2,2,2,01-03,12.843445485384958,-0.7485777649560231,
3,3,3,01-04,11.51791307947221,-1.6736401234252614,
4,4,4,01-05,9.562072880303251,-3.0385815909907663,-1.795503598203652
5,5,5,01-06,11.133929073971656,-1.941614824125404,-1.990704705632134
6,6,6,01-07,10.295934396996351,-2.5264344247700583,-2.3328149851684112
7,7,7,01-08,11.02823082053804,-2.0153795055252908,-2.1598568583457345
8,8,8,01-09,9.902163152775913,-2.801239442173685,-1.815825144808634
9,9,9,01-10,13.00491511692706,-0.635891362489203,-1.5547605650543144
10,10,10,01-11,12.519874681101198,-0.974391309768164,-1.1722643549638199
11,11,11,01-12,13.378423560200504,-0.3752273455994863,-0.8424725011030691
12,12,12,01-13,13.584433493118345,-0.2314571642270905,-0.5976662857091525
13,13,13,01-14,13.863605877124579,-0.03662838236078675,-0.388118475803763
14,14,14,01-15,12.006876864468575,-1.332402149810185,-0.37359021544198256
15,15,15,01-16,14.806495800053785,0.6213954969431332,-0.06874853845313186
16,16,16,01-17,12.64478094110476,-0.887221747597481,0.15340286978564416
17,17,17,01-18,15.999290258463928,1.453822716333618,0.12739990161070924
18,18,18,01-19,15.494373215194551,1.1014512852055656,0.23430184122507933
19,19,19,01-20,13.640046178795725,-0.1926461914103962,0.014685064458869893
20,20,20,01-21,12.92596291688298,-0.6909905121239645,-0.24958975202752484
21,21,21,01-22,12.918347492079599,-0.6963051636541233,-0.6934928598066382
22,22,22,01-23,10.372686545874801,-2.472870646515849,-0.4521829088939973
23,23,23,01-24,12.182847297233048,-1.209595930341062,-0.7330127258691447
24,24,24,01-25,17.569027903338302,2.549310990681411,-1.0159426073770361
25,25,25,01-26,11.2256206892768,-1.8776250932612801,-1.0769416633836573
26,26,26,01-27,10.493482188813868,-2.3885698011713137,-0.6287122319665089
27,27,27,01-28,12.393910032961745,-1.0622994996938504,-0.6253006355669499
28,28,28,01-29,14.226324938061307,0.21650594198704068,-1.2537975101610446
29,29,29,01-30,12.212178389621199,-1.189126351943708,-1.1118387471136784
30,30,30,01-31,12.165545856995434,-1.2216702568831572,-0.7752565142304634
31,31,31,02-01,12.446106674895878,-1.025872514977083,-0.5498768612618421
32,32,32,02-02,13.387237314767413,-0.3690764038720231,-0.7708132750016282
33,33,33,02-03,14.331604487231624,0.2899784181178778,-0.6855449338552561
34,34,34,02-04,12.326831092849545,-1.109112540451676,-0.6691977007690038
35,35,35,02-05,12.945270261881387,-0.6775163050654746,-0.3899930074240155
36,36,36,02-06,12.306090677597757,-1.1235868583656434,-0.31901607122135395
37,37,37,02-07,14.846560215287257,0.6493556450928465,-0.5049329155340907
38,38,38,02-08,13.997459284006634,0.05678521334394596,-0.3975978738794988
39,39,39,02-09,12.733190285084007,-0.8255226477585426,-0.12555641189589625
40,40,40,02-10,13.249640726387696,-0.4651022905241247,-0.033920793407605676
41,41,41,02-11,15.284138146687686,0.9547324668361408,-0.24861503332934723
42,42,42,02-12,13.093925015877938,-0.5737731474358999,-0.08589281485074203
43,43,43,02-13,13.000733262496777,-0.6388097944376029,-0.1845216829942813
44,44,44,02-14,15.396458422479816,1.0331185242155771,-0.26151937310249646
45,45,45,02-15,11.885231703573279,-1.417295856619778,-0.5147680687063293
46,46,46,02-16,12.587655515437655,-0.9270884311734156,-0.5100120936247582
47,47,47,02-17,13.106840477802965,-0.5647597067868559,-0.43405528895915907
48,48,48,02-18,13.134814361561196,-0.5452372969464739,-0.7273914779214481
