,mth_day,satirical,satirical_norm
0,01-01,,
1,01-02,4.761892248819578,-0.4034349306693529
2,01-03,4.13495497200515,-1.36701420585186
3,01-04,4.266571472050043,-1.1647245408318991
4,01-05,3.0976336437480447,-2.961338503638349
5,01-06,4.077729359813494,-1.4549678432519093
6,01-07,3.7818277111417733,-1.9097576710336794
7,01-08,4.186745848415855,-1.287413555199106
8,01-09,3.7592735817960974,-1.9444225289245778
9,01-10,4.35075350088056,-1.0353398937168539
10,01-11,5.3070089445977136,0.4343891548224655
11,01-12,4.313321177450651,-1.0928719825125015
12,01-13,5.1968425727886185,0.2650675390514579
13,01-14,5.037335509081587,0.01991111508784457
14,01-15,4.806712636382159,-0.3345476621049504
15,01-16,6.2043476131828745,1.8135653114261852
16,01-17,5.297137431411131,0.4192170062311204
17,01-18,5.853782669488406,1.2747600324261623
18,01-19,4.532665018046377,-0.7557486581332155
19,01-20,5.014830481801672,-0.014678274754357864
20,01-21,4.887273081767217,-0.21072925403876022
21,01-22,4.612009496277517,-0.6337991463540216
22,01-23,5.810320343603894,1.2079600541470907
23,01-24,4.8794277395722485,-0.22278725318055395
24,01-25,4.622839855885192,-0.6171532864782846
25,01-26,3.898818814716363,-1.7299466963888064
26,01-27,4.341718414179208,-1.0492264859117497
27,01-28,4.109443505654959,-1.4062243807188994
28,01-29,4.600936683621518,-0.6508176475468566
29,01-30,4.58314918720673,-0.6781563679205483
30,01-31,5.0222449381251275,-0.0032825311700405437
31,02-01,4.469628203627722,-0.8526338972052583
32,02-02,5.023676231558985,-0.0010826863999576712
33,02-03,5.495732947845289,0.7244509281195524
34,02-04,4.476602222762945,-0.8419150891969478
35,02-05,4.5426269738942375,-0.7404375025355505
36,02-06,5.285323461094111,0.40105937328106844
37,02-07,6.405985571631453,2.1234753535254556
38,02-08,5.894521477130501,1.3373740644694168
39,02-09,5.3180706160649835,0.45139053242262694
40,02-10,5.259391707757835,0.36120323294922385
41,02-11,4.741453438434446,-0.43484862199836205
42,02-12,4.7362139767230795,-0.44290147976403516
43,02-13,4.577991591297987,-0.6860834009926324
44,02-14,4.982965565195111,-0.06365346634531743
45,02-15,5.153252407861274,0.19807107691859707
46,02-16,5.0412950869362305,0.025996838971727183
47,02-17,5.002988189453917,-0.03287943761219697
48,02-18,5.1365956175370755,0.17247020974889965
49,02-19,5.03579616438961,0.017545199553058728
50,02-20,4.203462694353255,-1.2617203847857197
51,02-21,5.022258280629862,-0.003262024236544996
52,02-22,7.071769154850253,3.1467599567414757
53,02-23,5.798845785566622,1.190324085246382
54,02-24,5.2278754257217,0.31276387972535097
55,02-25,5.0648164586064635,0.06214831233835251
56,02-26,6.3524190433357,2.0411455919717447
57,02-27,4.514572329366183,-0.7835564476670389
58,02-28,5.314645798305727,0.44612671491465394
59,02-29,4.4030517701720395,-0.9549593990791111
60,03-01,4.573090981447132,-0.6936154560524835
61,03-02,4.186092951619498,-1.2884170332902463
62,03-03,5.378992352872475,0.5450249758778014
63,03-04,4.538868557854627,-0.7462140481920532
64,03-05,5.5868769249570045,0.8645358307892557
65,03-06,4.386632519741322,-0.9801951762679577
66,03-07,5.490325804430545,0.7161403498128023
67,03-08,3.9552915058896576,-1.6431502705886611
68,03-09,5.232612344281491,0.32004434735942533
69,03-10,4.366425827524744,-1.0112521106056633
70,03-11,4.171691912404407,-1.310550894909165
71,03-12,4.524664342003471,-0.7680453996215583
72,03-13,4.207183866943084,-1.2560010809262396
73,03-14,4.758091306239609,-0.40927683803658815
74,03-15,5.221189115332655,0.30248726935842946
75,03-16,4.928206381789748,-0.1478162944410289
76,03-17,5.118656215031743,0.14489801536427382
77,03-18,3.994580356693891,-1.5827647682732475
78,03-19,5.563055902047002,0.8279238046127991
79,03-20,5.123221425738549,0.15191457441507944
80,03-21,5.547563377683511,0.8041123709191886
81,03-22,5.878038661346834,1.312040589697437
82,03-23,5.273961845600106,0.3835969928684004
83,03-24,4.7229250012609585,-0.4633261407584698
84,03-25,4.757347393887976,-0.41042020365081416
85,03-26,4.349945413162945,-1.0365818944815561
86,03-27,5.3990225698625185,0.5758106743564194
87,03-28,4.654584366204905,-0.5683631548716309
88,03-29,4.974157741624964,-0.07719076356072928
89,03-30,5.329126882924581,0.4683836033418231
90,03-31,4.56832129070903,-0.700946293305642
91,04-01,5.857080189621811,1.2798281982181083
92,04-02,5.399193142729118,0.5760728385078298
93,04-03,5.0003538971241515,-0.03692824693907552
94,04-04,5.039663885135403,0.023489742477315292
95,04-05,3.8931362976957637,-1.7386805136850816
96,04-06,5.09756530344049,0.11248206873672374
97,04-07,4.822184340459663,-0.31076822841647816
98,04-08,5.446014036820409,0.6480348111969052
99,04-09,4.276037080971574,-1.1501762519981038
100,04-10,5.16228768569555,0.2119579628776874
101,04-11,4.582150681272374,-0.6796910344016688
102,04-12,4.738444189763127,-0.43947372527549816
103,04-13,4.392817529784232,-0.9706890458868993
104,04-14,4.690029960535414,-0.5138845948042667
105,04-15,4.481438668563355,-0.8344816518960135
106,04-16,5.856293852714697,1.278619627640113
107,04-17,4.94347755638465,-0.12434506710851041
108,04-18,5.520714183938386,0.7628461588036499
109,04-19,4.891486932493382,-0.20425272220917107
110,04-20,5.121684988944478,0.14955312821121497
111,04-21,4.713413367438859,-0.4779451681525179
112,04-22,4.9904612357112725,-0.05213289956761811
113,04-23,4.6303956770949295,-0.6055402703218972
114,04-24,4.76275922430018,-0.40210242160330306
115,04-25,5.330607395828586,0.47065909660677585
116,04-26,4.744340009717278,-0.43041206930427645
