,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,creepy,creepy_norm,creepy_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,4.2808564165688745,-0.9863681032592824,
2,2,2,2,01-03,4.220284339208609,-1.075922977114693,
3,3,3,3,01-04,4.5005666121210615,-0.6615299978993531,
4,4,4,4,01-05,3.962327183679117,-1.4573086176656047,-1.470805818400659
5,5,5,5,01-06,3.55086070982274,-2.065655396706584,-1.6434544700360105
6,6,6,6,01-07,3.2042933687639916,-2.578049817758436,-1.8594770475502245
7,7,7,7,01-08,3.5802119714734792,-2.022260013071393,-1.8227255236465976
8,8,8,8,01-09,3.3436194042851803,-2.3720584421999766,-1.6942648582030733
9,9,9,9,01-10,4.649712005542682,-0.4410208544775914,-1.4121223949155668
10,10,10,10,01-11,4.483647511429847,-0.6865446250044577,-1.201978889504853
11,11,11,11,01-12,4.69585401127894,-0.3728006169815443,-0.9127177567420982
12,12,12,12,01-13,4.057099795829897,-1.317188785294155,-0.7184211761956331
13,13,13,13,01-14,4.754094326953903,-0.286693216494863,-0.6937899578634457
14,14,14,14,01-15,4.132115686019453,-1.2062789589211866,-0.6984651159167129
15,15,15,15,01-16,4.749670656461246,-0.293233544484467,-0.7057935447724759
16,16,16,16,01-17,4.464674739334975,-0.7145955733240609,-0.3217330361513914
17,17,17,17,01-18,4.666113709687059,-0.4167711901161216,-0.5372395832438629
18,18,18,18,01-19,5.615697904746583,0.9871742664323516,-0.48445539436257284
19,19,19,19,01-20,3.879523551730359,-1.5797324990496922,-0.5662614520635479
20,20,20,20,01-21,4.346324997115917,-0.8895738256334459,-0.8168095052515564
21,21,21,21,01-22,4.4176845137348035,-0.7840698906903183,-1.1018905364036062
22,22,22,22,01-23,3.4478981816679664,-2.217883892452112,-1.5362160653029882
23,23,23,23,01-24,3.5091950834088794,-2.1272573770284207,-1.4939753935870919
24,24,24,24,01-25,3.853113799374044,-1.618778906963941,-1.6380082507307698
25,25,25,25,01-26,4.0509450584407,-1.3262884687543148,-1.7270395540478374
26,26,26,26,01-27,3.761809448844627,-1.7537709684955138,-1.3356874277927417
27,27,27,27,01-28,4.056376808647961,-1.318257710592724,-0.9258254970952903
28,28,28,28,01-29,5.036087204516719,0.13022886507846035,-0.7580061366544332
29,29,29,29,01-30,5.172500775513353,0.3319142071562876,-0.508157271217265
30,30,30,30,01-31,4.534159967754731,-0.6118627443187988,-0.3827274577738274
31,31,31,31,02-01,5.064884165545167,0.17280472386869472,-0.11005731228941351
32,32,32,32,02-02,4.270829943392768,-1.0011920878348888,0.004205056669835667
33,33,33,33,02-03,5.1629294574373095,0.3177631623137593,-0.12518989318017149
34,34,34,34,02-04,5.499787866736926,0.8158030788339554,-0.22479045514535448
35,35,35,35,02-05,4.647388925654917,-0.4444554919437553,-0.2002933549735341
36,36,36,36,02-06,4.129959993945055,-1.209466116109897,0.24939618356181048
37,37,37,37,02-07,5.164298536834799,0.319787324899617,0.25118394350039364
38,38,38,38,02-08,6.095764422798723,1.6969451433771787,0.2046243656827977
39,39,39,39,02-09,5.170184562289086,0.3284897219452582,0.3139345355057846
40,40,40,40,02-10,5.310839333082662,0.5364456119283797,0.40568199993421433
41,41,41,41,02-11,5.090992524950144,0.21140552699416584,0.14511079372527816
42,42,42,42,02-12,4.502290450594877,-0.6589813295393183,0.14443450082587558
43,43,43,43,02-13,4.106845921637457,-1.243639912354,-0.0684115200416346
44,44,44,44,02-14,6.093019884345999,1.6928873859807632,-0.3266387614588524
45,45,45,45,02-15,4.306410760588896,-0.9485864032598028,-0.5454721593244022
46,46,46,46,02-16,4.262899018707022,-1.0129178365749272,-0.7047760573211087
47,47,47,47,02-17,4.202920691411116,-1.101594860199133,-0.44359656616852483
48,48,48,48,02-18,3.8558018151135136,-1.6148047175195577,-0.3533932882584631
49,49,49,49,02-19,5.166767084736941,0.32343703456150297,-0.3361783178985413
50,50,50,50,02-20,6.459083708178028,2.2341070534411336,-0.23596668907590648
51,51,51,51,02-21,4.376272721518866,-0.8452965811002722,0.2141574017387348
52,52,52,52,02-22,4.669578830008621,-0.4116480636391185,0.7061065274768753
53,53,53,53,02-23,6.02961867512312,1.5991496846887148,0.7320421896318438
54,54,54,54,02-24,5.852234564243577,1.3368900369092855,0.35404055616155233
55,55,55,55,02-25,5.272019442323432,0.4790510074913131,0.6763535298969637
56,56,56,56,02-26,4.925073785602328,-0.033902747380615036,0.5939975728816572
57,57,57,57,02-27,5.684286380999155,1.088581261312196,0.25576331257512436
58,58,58,58,02-28,4.3353610805114435,-0.9057838057309568,-0.004443898810372622
59,59,59,59,02-29,4.656993094905745,-0.4302558771504828,-0.07418702373376014
60,60,60,60,03-01,4.796259116395476,-0.22435323140369626,-0.11964920055805987
61,61,61,61,03-02,4.98898721126742,0.060592257950987986,-0.4051482746368816
62,62,62,62,03-03,4.7405787353822655,-0.3066758083264134,-0.39463589655739906
63,63,63,63,03-04,4.525671248830663,-0.6244131831607342,-0.34826300476049393
64,64,64,64,03-05,4.378022515954847,-0.8427095372540621,-0.1694430568558415
65,65,65,65,03-06,4.845184017526647,-0.15201852636905194,-0.4312744673154618
66,66,66,66,03-07,5.5219479763135,0.8485664560242183,-0.5276014623572943
67,67,67,67,03-08,3.926420422865919,-1.5103962048067343,-0.6025111544278562
68,68,68,68,03-09,4.349663582848447,-0.8846377785774082,-0.641198036222567
69,69,69,69,03-10,4.221672004493102,-1.0738713355841056,-0.45882376648824946
70,70,70,70,03-11,4.221023034228364,-1.0748308280223269,-0.7680785423905186
71,71,71,71,03-12,5.585297061024718,0.9422270920368538,-0.6148098373264689
72,72,72,72,03-13,4.266927222877284,-1.0069621993893962,-0.30853013281492186
73,73,73,73,03-14,4.5484169794153475,-0.5907839744224366,-0.27690459826344355
74,74,74,74,03-15,5.592610872496055,0.953040448491874,-0.09078753174520153
75,75,75,75,03-16,4.35001505783745,-0.8841181282752354,-0.5547397432706238
76,76,76,76,03-17,4.976325132207536,0.04187157108712521,-0.49126178028962286
77,77,77,77,03-18,3.7024816627233417,-1.8414861771156803,-0.5058751081784175
78,78,78,78,03-19,4.524534112518944,-0.6260944215033906,-0.4646938147709725
79,79,79,79,03-20,4.4891130293835415,-0.6784639417552045,-0.08869541682500631
80,80,80,80,03-21,5.75973319980337,1.200128208936544,0.058040412343885954
81,81,81,81,03-22,5.875895430433806,1.3718722594005617,0.6462968276734208
82,82,82,82,03-23,5.571809907963524,0.9222865461004788,0.8336184188974678
83,83,83,83,03-24,6.0897495955357055,1.6880523148615283,1.0563646769405626
84,84,84,84,03-25,5.284724424429174,0.4978351258408915,0.8946176724166697
85,85,85,85,03-26,5.3930640703294275,0.6580136065033648,0.36181602600136764
86,86,86,86,03-27,5.1033299255406686,0.2296461817931868,0.09994906343270908
87,87,87,87,03-28,3.7136745827030517,-1.8249376190912503,-0.3083069048525668
88,88,88,88,03-29,4.509098841645728,-0.6489152293114727,-0.6190263632890686
89,89,89,89,03-30,4.432961235784913,-0.7614834948501269,-0.9522117636673005
90,90,90,90,03-31,4.0237596820204535,-1.3664816247781193,-1.052585660965545
91,91,91,91,04-01,4.0409278228078005,-1.3410987957660268,-0.8594521709593717
92,92,92,92,04-02,4.69599159472575,-0.3725972019962807,-0.859149442197238
93,93,93,93,04-03,4.497450799041624,-0.6661366790542101,-0.7788885722701911
94,94,94,94,04-04,4.51032737846632,-0.6470988567386708,-0.49042719218810404
95,95,95,95,04-05,4.758676682388463,-0.279918275287846,-0.31338458795792695
96,96,96,96,04-06,5.1943964733574415,0.3642866557144035,-0.22630285475027065
97,97,97,97,04-07,4.759403849258833,-0.27884317038496403,-0.48024006816727116
98,98,98,98,04-08,5.049387535344438,0.1498931972496572,-0.6426644052646165
99,99,99,99,04-09,3.4669203182162867,-2.189759959556213,-0.5809364441268361
100,100,100,100,04-10,3.851175346535508,-1.6216448793227434,-0.7005925963996319
101,101,101,101,04-11,5.009181697449899,0.09044949153883657,-0.7735043233734612
102,102,102,102,04-12,4.708806706989081,-0.35365025792237165,-0.8428118625712812
103,103,103,103,04-13,4.4635127663998615,-0.7163135322279397,-0.42115342669033234
104,104,104,104,04-14,4.768123002536234,-0.2659520379372624,-0.36045588038856513
105,105,105,105,04-15,5.1780987029254675,0.34019065572947915,-0.5866390232605766
106,106,106,106,04-16,4.097498722040782,-1.25745960151214,-0.469135758871054
107,107,107,107,04-17,4.0912830569079315,-1.2666493656932325,-0.4010573743997778
108,108,108,108,04-18,5.185659602712692,0.3513693284147642,-0.0839697057512379
109,109,109,109,04-19,4.739789131486176,-0.3078432254002819,-0.2853162510305867
110,110,110,110,04-20,6.054931277854138,1.6365739739539769,-0.1172549240901571
111,111,111,111,04-21,4.360992185423782,-0.8678886159466138,-0.027773180654471985
112,112,112,112,04-22,4.779526841234398,-0.24909163986956245,-0.10902146612374926
113,113,113,113,04-23,4.454418742485604,-0.7297589050791217,0.04967334577583265
114,114,114,114,04-24,4.855937016707173,-0.13612038440089946,-0.17527823504248197
115,115,115,115,04-25,5.383805967816532,0.6443256459972095,0.1369899066456651
116,116,116,116,04-26,5.142030574472639,0.2868644890440892,0.10209550515252963
117,117,117,117,04-27,5.628241809337221,1.0057202341822686,0.43058973922029153
118,118,118,118,04-28,4.637918040125825,-0.4584580488283753,0.525070634689883
119,119,119,119,04-29,5.787517253046555,1.2412064993274499,0.4384091357967043
120,120,120,120,04-30,5.239360309917841,0.4307649884166493,0.3624039455348393
121,121,121,121,05-01,5.032115426199153,0.12435665263813682,0.15828232240251158
122,122,122,122,05-02,4.833585568670518,-0.16916665252710106,0.21684060570996766
123,123,123,123,05-03,4.799873443776024,-0.21900950461169744,-0.007204594269570504
124,124,124,124,05-04,4.875559837643869,-0.1071083489836387,-0.11993601818330553
125,125,125,125,05-05,4.87829483324164,-0.10306470054977916,-0.20138293024406917
126,126,126,126,05-06,4.781872543840903,-0.2456235550657609,-0.2702785407799158
127,127,127,127,05-07,4.701586771819195,-0.3643248197264449,-0.42280607740426235
128,128,128,128,05-08,4.553992728783476,-0.5825403157421808,-0.21359691236175007
129,129,129,129,05-09,4.180884704230892,-1.1341747243577764,-0.02969998422571543
130,130,130,130,05-10,5.7245745154976735,1.148146641271435,0.006564914865091633
131,131,131,131,05-11,5.6245871439441535,1.0003168682664287,0.13747800888626996
132,132,132,132,05-12,4.9290431116921045,-0.028034160520918498,-0.0485257079906638
133,133,133,133,05-13,5.2328595691875615,0.421153744400625,0.12680160449795833
134,134,134,134,05-14,3.7991506274262528,-1.6985626170037833,0.07976829512741894
135,135,135,135,05-15,4.892399716975447,-0.08221084942604355,0.012547524243329796
136,136,136,136,05-16,5.533703479826208,0.8659467850481986,0.19825599275085803
137,137,137,137,05-17,5.351791154697494,0.5969922429618939,0.30821169750984057
138,138,138,138,05-18,5.682687033231598,1.086216650524251,0.5208952054436439
139,139,139,139,05-19,5.679082884667863,1.08088797295452,0.6901158501171772
140,140,140,140,05-20,4.6622649175508855,-0.4224615694009633,0.5157410286134255
141,141,141,141,05-21,5.57913259072177,0.9331130186151572,0.6525690866946706
142,142,142,142,05-22,4.826053875303678,-0.18030214397431205,0.5411956715811003
143,143,143,143,05-23,5.907068117012237,1.4179605914493651,0.3803787192696026
144,144,144,144,05-24,5.230710351737214,0.4179761598428282,0.44538514243832417
145,145,145,145,05-25,5.026453957381469,0.11598625908553402,0.2599607481455801
146,146,146,146,05-26,4.9260746192616365,-0.03242303038863375,0.22551158786324332
147,147,147,147,05-27,4.82664150193653,-0.17943334714130732,0.20429722793827795
148,148,148,148,05-28,4.686251956427424,-0.3869971056683327,0.0068836699562519294
149,149,149,149,05-29,5.820975794269546,1.290674431899573,-0.17027340189837523
150,150,150,150,05-30,4.429564721716537,-0.7665051880493279,-0.03980834462783107
151,151,151,151,05-31,4.3075133972983775,-0.9469561720422288,-0.1288835205831326
152,152,152,152,06-01,5.455529189510607,0.7503673132346311,0.21575157123044605
153,153,153,153,06-02,4.4651557524805074,-0.7138844028731165,-0.008493091487895973
154,154,154,154,06-03,6.084853453612139,1.6808134452131391,0.19699655996971452
155,155,155,155,06-04,4.9109439128289765,-0.054793544410479074,0.3969229750858457
156,156,156,156,06-05,5.263484833195029,0.466432720696335,0.18372855266964516
157,157,157,157,06-06,5.118856728694955,0.2526023186545585,0.3807423222339417
158,158,158,158,06-07,4.59034150124113,-0.5287992212625721,0.2331424673100867
159,159,159,159,06-08,5.264678957237839,0.4681982145126631,0.2534295415517425
160,160,160,160,06-09,5.485862280094572,0.7952143156700091,0.4736407639681978
161,161,161,161,06-10,4.993273115750728,0.06692890103945602,0.8900154570560396
162,162,162,162,06-11,6.157148167789893,1.7877000551950668,1.335320340942469
163,163,163,163,06-12,6.808592576771287,2.7508504771816087,1.3862598610892691
164,164,164,164,06-13,6.3974821323063935,2.143030082056005,1.4717667165802244
165,165,165,165,06-14,5.471402215650895,0.7738353353934636,1.5593798519480495
166,166,166,166,06-15,5.832867036574496,1.3082554486157418,1.6210899169553545
167,167,167,167,06-16,5.3488255978083865,0.5926077132464044,1.3869534638277574
168,168,168,168,06-17,6.407580556599762,2.157960445238897,1.26969802775815
169,169,169,169,06-18,5.858417734834676,1.3460317584160253,1.2263646553315126
170,170,170,170,06-19,5.921634975892308,1.4394974656383617,1.0469401666512157
171,171,171,171,06-20,5.2955463002389465,0.51383510083364,1.2348302374268143
172,172,172,172,06-21,5.104724823373506,0.23170851653396024,0.8081035872705126
173,173,173,173,06-22,6.111322918989599,1.7199481378999968,0.5350927869662381
174,174,174,174,06-23,4.675834295194506,-0.4023994556989141,0.3862570414145237
175,175,175,175,06-24,4.750482637326677,-0.29203304340962155,0.4376033771563525
176,176,176,176,06-25,5.317628298952308,0.5464829923280761,0.6546386427591188
177,177,177,177,06-26,5.503920501674926,0.8219131152846123,0.6097874632103054
178,178,178,178,06-27,5.985499458993336,1.5339201101505575,0.9229439837802819
179,179,179,179,06-28,5.929307423883247,1.450841060607117,1.2752728843657073
180,180,180,180,06-29,5.946689146966943,1.4765396677209452,1.347496589823838
181,181,181,181,06-30,6.1803072244490185,1.8219403601029305,1.169958591919638
182,182,182,182,07-01,5.610727246173301,0.9798252250768617,1.0178085644857127
183,183,183,183,07-02,4.783434063775259,-0.2433148721405874,0.8801778456562652
184,184,184,184,07-03,5.3680427309335865,0.6210199455470055,0.7074172066167245
185,185,185,185,07-04,5.370773095876986,0.6250567476304321,0.5869478156425275
186,186,186,186,07-05,5.245590233493588,0.4399758334837007,0.33941608884301994
187,187,187,187,07-06,5.691417164836104,1.0991240142577483,0.3414976468961773
188,188,188,188,07-07,4.606191573730008,-0.5053651357201838,0.33101049607463523
189,189,189,189,07-08,4.791881463006436,-0.2308255238216433,0.4946310524729456
190,190,190,190,07-09,5.325483672994865,0.5580970406177533,0.36610111328721123
191,191,191,191,07-10,6.034779636663778,1.6067800860202943,0.11341854733753425
192,192,192,192,07-11,4.7239887783653165,-0.3312038016307051,0.2695122672410714
193,193,193,193,07-12,4.665978306622391,-0.4169713814403138,0.5059434975585922
194,194,194,194,07-13,5.239652633105556,0.4311971837010392,0.22782605977840129
195,195,195,195,07-14,5.7513689921585085,1.1877618580834817,0.01010882135029493
196,196,196,196,07-15,4.1968247693828165,-1.1106075860633922,0.1989214595949159
197,197,197,197,07-16,5.151237412260286,0.3004766554516563,0.2874235424482327
198,198,198,198,07-17,5.490230071864141,0.8016720278370206,0.2611601283678075
199,199,199,199,07-18,5.025138324051986,0.1140411156795871,0.09552608606316475
200,200,200,200,07-19,5.133070189452564,0.2736166992184881,0.3659213350908093
201,201,201,201,07-20,5.0791913031919504,0.19395760425562533,0.14204888342571664
202,202,202,202,07-21,5.2941454111422495,0.5117639081024754,0.07795495210894217
203,203,203,203,07-22,4.242716041353057,-1.0427580545389,-0.09404529008182994
204,204,204,204,07-23,5.230123453503337,0.41710843993637375,-0.2557694328525711
205,205,205,205,07-24,4.327125260500489,-0.9179603374650456,-0.40778420047587777
206,206,206,206,07-25,4.476759692979893,-0.6967281574059591,-0.5075570902395367
207,207,207,207,07-26,4.462283487817339,-0.7181310014842145,-0.303696846522736
208,208,208,208,07-27,4.8892460949769045,-0.08687343047947789,-0.13097884923986378
209,209,209,209,07-28,5.070023674416106,0.18040340776190444,0.0426421695869868
210,210,210,210,07-29,5.931049317783108,1.4534164236336071,0.16347218343275352
211,211,211,211,07-30,5.031715775633868,0.1237657754960578,0.2492528709244752
212,212,212,212,07-31,4.9671132358540255,0.02825192566864118,0.21186050015006494
213,213,213,213,08-01,4.8103995119985115,-0.2034468765338844,0.15608145289084135
214,214,214,214,08-02,4.737500010522264,-0.3112276551259395,-0.11595492157454146
215,215,215,215,08-03,4.843660599786184,-0.15427087579343707,-0.02198289162268975
216,216,216,216,08-04,4.827068644736059,-0.1788018231586898,-0.09563009066563943
217,217,217,217,08-05,5.413073985828087,0.687597955207168,-0.0792144005707252
218,218,218,218,08-06,4.668237453057517,-0.4136312685890569,-0.14177434077206538
219,219,219,219,08-07,4.8770178259468935,-0.1049527359643989,-0.29448211456644974
220,220,220,220,08-08,4.483618649895443,-0.6865872963339805,-0.3828165122205979
221,221,221,221,08-09,4.223940419996426,-1.0705175185597433,-0.43997536033447465
222,222,222,222,08-10,4.468589129020259,-0.7088082090835787,-0.5196949860525858
223,223,223,223,08-11,5.181111389887148,0.3446448665239077,-0.33900340008790275
224,224,224,224,08-12,4.344718488991412,-0.8919490228977238,-0.10059996402918099
225,225,225,225,08-13,5.610302185728767,0.9791967798236996,0.0787592147754272
226,226,226,226,08-14,5.451109803657782,0.74383332001835,0.22410877033185414
227,227,227,227,08-15,4.951817592021722,0.005637554267905885,0.04343592408228819
228,228,228,228,08-16,5.058448115656229,0.16328912425498282,0.07032512263883796
229,229,229,229,08-17,4.4479030798002785,-0.739392210973488,-0.3817707972496618
230,230,230,230,08-18,4.4538404973202415,-0.7306138315584252,-0.5668458494661975
231,231,231,231,08-19,3.7756021060015854,-1.733378739507299,-0.19829245238004437
232,232,232,232,08-20,4.700036418299792,-0.36661699328086417,-0.26397941469209213
233,233,233,233,08-21,6.447484589380283,2.2169579367848247,0.023359510628985076
234,234,234,234,08-22,4.791876643344173,-0.2308326496173037,0.39416630120203094
235,235,235,235,08-23,5.61398471425812,0.9846413409529752,0.8606883555436692
236,236,236,236,08-24,5.958652238146244,1.49422691187985,0.9268893676739379
237,237,237,237,08-25,5.66884646553084,1.0657535865425305,0.6566074602783342
238,238,238,238,08-26,4.968694012607167,0.03058907950074828,0.5496650755163991
239,239,239,239,08-27,5.3506239117395085,0.5952664924112019,0.42740796068982384
240,240,240,240,08-28,4.357882012520413,-0.8724869581889143,0.17114006558178277
241,241,241,241,08-29,5.117839696238818,0.2510986519935238,0.07594107674179584
