,unnamed: 0,unnamed: 0,mth_day,rape,rape_norm,rape_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.909081351188071,-1.9055196312951048,
2,2,2,01-03,5.988685821223003,-0.5253221205965372,
3,3,3,01-04,5.036195547662659,-1.7430131741451091,
4,4,4,01-05,4.7205860579825325,-2.1464974538973616,-1.7945638279579716
5,5,5,01-06,4.930231113493681,-1.8784811648045705,-1.8378678037286669
6,6,6,01-07,4.390452733651649,-2.5685494230091472,-2.1751507343496628
7,7,7,01-08,4.705844500882503,-2.1653434859192764,-1.925599215398111
8,8,8,01-09,4.4057290773844695,-2.5490197043225127,-1.71267772505729
9,9,9,01-10,6.207405899553852,-0.2457040604357967,-1.566100000997164
10,10,10,01-11,5.719882133898957,-0.8689685118524374,-1.11647440947526
11,11,11,01-12,5.6181585943486425,-0.9990148204438142,-0.8012240252059343
12,12,12,01-13,6.500662879749334,0.129204126122276,-0.5496900046982818
13,13,13,01-14,6.18539675945077,-0.2738411803033213,-0.3754572620902788
14,14,14,01-15,5.586243826038704,-1.0398155812765977,-0.3546417732099452
15,15,15,01-16,7.0251255938206825,0.7996923952122209,0.0754728134800075
16,16,16,01-17,5.8175746510943975,-0.7440755785704363,0.3429711497923871
17,17,17,01-18,7.636798507049285,1.5816726996959023,0.4344666403329435
18,18,18,01-19,7.756102325355568,1.7341941439965534,0.5576780305876915
19,19,19,01-20,6.614808955067445,0.2751317629400173,0.46228956571235424
20,20,20,01-21,6.164507009302603,-0.3005472397481102,0.8972847957522968
21,21,21,01-22,6.5774426545126925,0.22736160596019786,0.42312689048745017
22,22,22,01-23,7.8591206957208755,1.8658958016692184,-0.21640914374195486
23,23,23,01-24,5.4114518154707625,-1.2632747318931776,-0.7192905475659058
24,24,24,01-25,4.754592950282059,-2.103022061379877,-1.016665051332552
25,25,25,01-26,4.254655394765813,-2.742156660003689,-1.3755573509333987
26,26,26,01-27,4.768850919276487,-2.0847942623479865,-1.7060099653773222
27,27,27,01-28,4.893067507158245,-1.925992191644884,-1.408659468674476
28,28,28,01-29,6.308220406785468,-0.11681988499432333,-1.1848841642172439
29,29,29,01-30,6.806995234086349,0.5208282483239002,-1.0966851924954073
30,30,30,01-31,5.804828806104657,-0.760370234636485,-0.9027088743584786
31,31,31,02-01,4.668596167960739,-2.21296282967267,-0.6365397565721884
32,32,32,02-02,5.679232361866768,-0.9209363535264136,-0.7913801058359698
33,33,33,02-03,6.1422685836124025,-0.3289774849271432,-1.0161575399880691
34,34,34,02-04,5.581514271274444,-1.0458619805770122,-0.7844066603095404
35,35,35,02-05,5.752056122288801,-0.8278363565886959,-0.37505179075611944
36,36,36,02-06,6.8924961161645015,0.6301350434346871,-0.10100021864353727
37,37,37,02-07,6.58980531480273,0.2431663876478556,-0.21520000305195655
38,38,38,02-08,6.965427851915559,0.7233730791490793,-0.3692909850498907
39,39,39,02-09,5.606299216466015,-1.0141761913776588,-0.22191208632659745
40,40,40,02-10,4.858325111748243,-1.9704078725646168,-0.4576759731804887
41,41,41,02-11,6.4437437247535865,0.05643703575106367,-0.7210157445239469
42,42,42,02-12,5.785994716992539,-0.7844482776886605,-0.9525498297806262
43,43,43,02-13,5.353883098989668,-1.336872240412894,-0.9573090329000649
44,44,44,02-14,5.8787780146091135,-0.6658314323909958,-0.6091642339121867
