,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,gore,gore_norm,gore_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,4.299763417368225,-0.7778106673010161,
2,2,2,2,01-03,4.893747131004892,0.06337307276494059,
3,3,3,3,01-04,3.932001034016933,-1.2986258512544269,
4,4,4,4,01-05,4.176014211767448,-0.9530609598723834,-0.9602189421885782
5,5,5,5,01-06,4.195495656952874,-0.9254718618100236,-1.352712986096855
6,6,6,6,01-07,3.528737092651125,-1.86971738565856,-1.8016154127057253
7,7,7,7,01-08,2.6368563115131063,-3.1327749307506765,-1.6340211150929802
8,8,8,8,01-09,2.991850664983754,-2.63004148688828,-1.7221586682803072
9,9,9,9,01-10,4.642059575608868,-0.2930600655779556,-1.7682025837068673
10,10,10,10,01-11,3.802595644625723,-1.4818862789963458,-1.5707201241357327
11,11,11,11,01-12,4.000418163848003,-1.2017353543693847,-1.1265358062955364
12,12,12,12,01-13,4.365424910974629,-0.6848226282317535,-0.868366666037235
13,13,13,13,01-14,4.518763234458633,-0.467669023709497,-0.800474386459678
14,14,14,14,01-15,4.085654009292243,-1.0810266453384716,-0.7739410014393714
15,15,15,15,01-16,4.9297035689241016,0.11429361188738575,-0.6520365744071422
16,16,16,16,01-17,3.9150115020825775,-1.3226859688745058,-0.32801078177039117
17,17,17,17,01-18,4.51689921902158,-0.4703087921760107,-0.31329062953767134
18,18,18,18,01-19,5.738247763751245,1.259332127588753,-0.2089648756925561
19,19,19,19,01-20,4.581129138163352,-0.3793481103131779,-0.2470387922609062
20,20,20,20,01-21,4.527658264096366,-0.4550721222677805,-0.30968070635717276
21,21,21,21,01-22,4.768393130225978,-0.11414988752271472,-0.4167268722912238
22,22,22,22,01-23,3.649612101271822,-1.6985374534521052,-0.8558820020742867
23,23,23,23,01-24,4.063369203091252,-1.1125857877803167,-1.1239248026824606
24,24,24,24,01-25,3.877648355369796,-1.375598651109624,-1.257973093033676
25,25,25,25,01-26,3.4454933629901516,-1.9876049139622216,-1.5441379551129055
26,26,26,26,01-27,3.959726449556885,-1.259361864375073,-1.2346419267115691
27,27,27,27,01-28,3.555978343343742,-1.8311390599980908,-1.0430697658156884
28,28,28,28,01-29,4.960875680555064,0.15843871695591427,-0.8391177718067168
29,29,29,29,01-30,4.875016443557981,0.03684717759496792,-0.5470428071513039
30,30,30,30,01-31,4.741746105016405,-0.15188668705579425,-0.4993300353685662
31,31,31,31,02-01,4.682947896902449,-0.2351551260297449,-0.12156419346402592
32,32,32,32,02-02,4.161874503696784,-0.9730852336786464,-0.11522825615122656
33,33,33,33,02-03,5.156485440463426,0.4354559914291509,-0.01921948500330456
34,34,34,34,02-04,4.987719591547426,0.19645434083271046,0.05506201316954551
35,35,35,35,02-05,5.281783553133808,0.6128998044824999,-0.037185500226145134
36,36,36,36,02-06,5.056459749878907,0.2938023019813062,0.24412265973750688
37,37,37,37,02-07,4.292116372439857,-0.7886402064038888,0.1123148595684198
38,38,38,38,02-08,5.353712559328285,0.7147637261032656,-0.02248668006149469
39,39,39,39,02-09,4.598046068171885,-0.3553908095853714,-0.1549013298940353
40,40,40,40,02-10,4.416596432839875,-0.6123548969467765,-0.24447220086984478
41,41,41,41,02-11,4.720773098215144,-0.1815880945127437,-0.2652269236121197
42,42,42,42,02-12,4.676968544508887,-0.24362292387355064,-0.18195040426175493
43,43,43,43,02-13,4.204183379662398,-0.913168542857538,-0.3062789823671322
44,44,44,44,02-14,5.706536042710787,1.2144228422054542,-0.4314379541690772
45,45,45,45,02-15,4.071294441743103,-1.101362278217635,-0.6353547490904689
46,46,46,46,02-16,3.886326619065037,-1.3633087277584468,-0.7899733191639399
47,47,47,47,02-17,3.856824479017173,-1.405088864041093,-0.7165898486284551
48,48,48,48,02-18,4.021885179900126,-1.171334344314376,-0.8513263160474019
49,49,49,49,02-19,4.5150922877075965,-0.4728677196446301,-0.7435143871889975
50,50,50,50,02-20,5.135688580013637,0.4060040376917731,-0.13954059903281157
51,51,51,51,02-21,4.5280688192836775,-0.4544907050672088,0.3673687230924121
52,52,52,52,02-22,6.445224823160758,2.260534001178669,0.5575758654938355
53,53,53,53,02-23,6.004482836816933,1.6363670687102487,0.766198431555109
54,54,54,54,02-24,4.8277491505585965,-0.030091489905835375,0.8882077268684759
55,55,55,55,02-25,5.3989781782820145,0.7788676767230114,0.9388640285732118
56,56,56,56,02-26,5.652613938005536,1.1380598095719752,0.5540161879714011
57,57,57,57,02-27,4.7426879335569945,-0.1505528948387938,0.23774856881207473
58,58,58,58,02-28,4.814712924337383,-0.04855304243219554,0.23439062969880473
59,59,59,59,02-29,4.664529582966208,-0.26123864624570897,-0.13719614088894672
60,60,60,60,03-01,4.813522333873983,-0.050239124585455465,-0.5707773420356146
61,61,61,61,03-02,3.8246503869626367,-1.4506529468034972,-0.7070376153482226
62,62,62,62,03-03,3.815629984892386,-1.4634273973080318,-0.8635498562834334
63,63,63,63,03-04,4.165384455315556,-0.968114534714442,-0.8405102129379288
64,64,64,64,03-05,4.1516065112747365,-0.9876264880434604,-0.8594795798884934
65,65,65,65,03-06,4.762143259479884,-0.12300078617268173,-0.9636053747843972
66,66,66,66,03-07,4.7331534834793025,-0.16405532628884228,-0.8604889141011753
