,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,leonardo dicaprio,leonardo dicaprio_norm,leonardo dicaprio_ravg,leonardo dicaprio_ravg
0,0,0,0,01-01,,,,
1,1,1,1,01-02,0.2389845253046112,-0.7893918443952677,,
2,2,2,2,01-03,0.25628702723172475,-0.6947353161700789,,
3,3,3,3,01-04,0.4487220005782978,0.35801570000230026,,
4,4,4,4,01-05,0.5546338328212281,0.9374259136416656,-0.15266950151942382,-0.15266950151942382
5,5,5,5,01-06,0.3682321673806021,-0.08231877879231833,-0.10603528928035533,-0.10603528928035533
6,6,6,6,01-07,0.2653759507894272,-0.645012683402844,-0.17237042226780339,-0.17237042226780339
7,7,7,7,01-08,0.2901308262897673,-0.5095865709608566,-0.3264513087267148,-0.3264513087267148
8,8,8,8,01-09,0.18353364479495632,-1.0927461140947672,-0.592914631293414,-0.592914631293414
9,9,9,9,01-10,0.2797330326830708,-0.5664696187511681,-0.3808544493158781,-0.3808544493158781
10,10,10,10,01-11,0.2623888769584685,-0.6613540217585295,-0.2552977018000308,-0.2552977018000308
11,11,11,11,01-12,0.6008102119884523,1.1900423130728972,-0.2691074512863465,-0.2691074512863465
12,12,12,12,01-13,0.40308092940559537,0.10832780169223956,0.07705363855560338,0.07705363855560338
13,13,13,13,01-14,0.2749849158123737,-0.5924450678787507,0.19324775139971037,0.19324775139971037
14,14,14,14,01-15,0.5631875177850855,0.9842204249569321,0.18211742609082507,0.18211742609082507
15,15,15,15,01-16,0.4071694958050776,0.13069505831347386,0.08614150255646265,0.08614150255646265
16,16,16,16,01-17,0.2501816380885894,-0.7281359736118412,0.06908433441524309,0.06908433441524309
17,17,17,17,01-18,0.4955481471496172,0.6141867718667228,0.16813403573166472,0.16813403573166472
18,18,18,18,01-19,0.3843733965918566,0.00598479284492215,-0.0890592776606744,-0.0890592776606744
19,19,19,19,01-20,0.3836181615086605,0.001853140019779045,-0.23971765309775242,-0.23971765309775242
20,20,20,20,01-21,0.28110948994796475,-0.5589394553971025,-0.3136971343422376,-0.3136971343422376
21,21,21,21,01-22,0.2419341836583453,-0.7732551943089943,-0.36940475650356913,-0.36940475650356913
22,22,22,22,01-23,0.16904427921011694,-1.1720128610787524,-0.5291012982765629,-0.5291012982765629
23,23,23,23,01-24,0.4344505393327573,0.2799410388987337,-0.6688030796681442,-0.6688030796681442
24,24,24,24,01-25,0.20922543118959488,-0.9521944577930408,-0.7971414922440628,-0.7971414922440628
25,25,25,25,01-26,0.2303995476166416,-0.8363575483297087,-0.5951851880266594,-0.5951851880266594
26,26,26,26,01-27,0.14035370653481724,-1.3289699308526142,-0.3075747122833818,-0.3075747122833818
27,27,27,27,01-28,0.4634307507795014,0.4384826309954265,-0.2911699056932713,-0.2911699056932713
28,28,28,28,01-29,0.4844824790329914,0.5536499933809138,-0.2566301154734287,-0.2566301154734287
29,29,29,29,01-30,0.4524425914158873,0.3783698784393965,-0.19109606055165593,-0.19109606055165593
30,30,30,30,01-31,0.24710711550950798,-0.7449557164739851,-0.13340762027212938,-0.13340762027212938
31,31,31,31,02-01,0.3022743437560884,-0.4431532187990721,-0.3400470741165395,-0.3400470741165395
32,32,32,32,02-02,0.2036237863374948,-0.9828392891754548,-0.5412552743298682,-0.5412552743298682
33,33,33,33,02-03,0.2367979163369744,-0.8013540920710343,-0.7812509937162977,-0.7812509937162977
34,34,34,34,02-04,0.26380639864729155,-0.6535992078990588,-0.6417560074025594,-0.6417560074025594
35,35,35,35,02-05,0.18922610914830626,-1.0616044378791798,-0.41056829448238447,-0.41056829448238447
36,36,36,36,02-06,0.4000989258857007,0.09201420140844448,-0.2036423073351783,-0.2036423073351783
37,37,37,37,02-07,0.5558306017339828,0.9439730587219776,-0.17534010616913998,-0.17534010616913998
38,38,38,38,02-08,0.4305708775851321,0.2587166337077821,0.17235185408798617,0.17235185408798617
39,39,39,39,02-09,0.2678384942706127,-0.6315408850748043,0.509646764823655,0.509646764823655
40,40,40,40,02-10,0.6451392612732375,1.432552553643698,1.0964448136340028,1.0964448136340028
41,41,41,41,02-11,0.5591559567204988,0.9621650265348332,1.2801931075871893,1.2801931075871893
42,42,42,42,02-12,1.0436725637998183,3.6128024942705315,2.195652979006137,2.195652979006137
43,43,43,43,02-13,0.757357444298834,2.046462822441096,2.4183333983769737,2.4183333983769737
44,44,44,44,02-14,1.4346059813281238,5.751475862221469,2.2599113602335947,2.2599113602335947
45,45,45,45,02-15,0.5120643363252589,0.7045416311502148,1.9692919545651533,1.9692919545651533
46,46,46,46,02-16,0.4713891139774074,0.4820203247834229,1.5272340571069183,1.5272340571069183
47,47,47,47,02-17,0.2404176982452613,-0.7815514074758159,1.3155610247266798,1.3155610247266798
48,48,48,48,02-18,0.5588433967420202,0.9604551095211232,0.6149485795704658,0.6149485795704658
49,49,49,49,02-19,0.525204007910549,0.7764246281596655,0.4136027424603486,0.4136027424603486
50,50,50,50,02-20,0.6662058460324817,1.5478011912841845,0.24239496638833458,0.24239496638833458
51,51,51,51,02-21,0.29123730199798264,-0.5035333915104879,0.3163122935132228,0.3163122935132228
52,52,52,52,02-22,0.2836161459022131,-0.5452263316486614,0.1772786925877151,0.1772786925877151
53,53,53,53,02-23,0.3214868892882383,-0.33804744472648635,0.08931609573816567,0.08931609573816567
54,54,54,54,02-24,0.4063576130531793,0.1262535039680768,0.23082992437706717,0.23082992437706717
55,55,55,55,02-25,0.4287305984136919,0.2486490470623689,0.2980933145764925,0.2980933145764925
56,56,56,56,02-26,0.8214118316299697,2.3968841631175937,0.4469306373978113,0.4469306373978113
57,57,57,57,02-27,0.3650087550845144,-0.09995305031393606,0.4951347699739301,0.4951347699739301
58,58,58,58,02-28,0.4468542096614751,0.3477976052792515,0.5314567485072946,0.5314567485072946
59,59,59,59,02-29,0.3743550081025422,-0.04882264926977408,0.5063764836575934,0.5063764836575934
60,60,60,60,03-01,0.4461939211464786,0.3441853751682643,-0.14565351576144747,-0.14565351576144747
61,61,61,61,03-02,0.4012236949366005,0.09816745796416143,-0.32391806873732965,-0.32391806873732965
62,62,62,62,03-03,0.1062947319634101,-1.5152958333966515,-0.45718578197711174,-0.45718578197711174
63,63,63,63,03-04,0.16949623233087832,-1.1695403681692291,-0.6024543799849672,-0.6024543799849672
64,64,64,64,03-05,0.3006921915700654,-0.4518086741594411,-0.4828487430811872,-0.4828487430811872
65,65,65,65,03-06,0.21503096078483336,-0.9204342373169068,-0.6773787613614538,-0.6773787613614538
66,66,66,66,03-07,0.5773719900123465,1.0618191965909445,-0.40097561937815324,-0.40097561937815324
67,67,67,67,03-08,0.18787194333833707,-1.0690126517174379,-0.33144186693908295,-0.33144186693908295
68,68,68,68,03-09,0.4094412335199917,0.14312301850315154,-0.20585028721527152,-0.20585028721527152
69,69,69,69,03-10,0.2457577163384627,-0.7523378535348074,-0.018053035126391226,-0.018053035126391226
70,70,70,70,03-11,0.4384353725811487,0.3017408041834276,-0.22116568253860336,-0.22116568253860336
71,71,71,71,03-12,0.4209985180426413,0.20634927521637486,-0.05209344327447418,-0.05209344327447418
72,72,72,72,03-13,0.3546071978211362,-0.15685668788232826,-0.23979315014275335,-0.23979315014275335
73,73,73,73,03-14,0.3733027509459969,-0.0545792161326628,-0.12140948117595668,-0.12140948117595668
74,74,74,74,03-15,0.20358065946127696,-0.9830752227065233,-0.06604022994074026,-0.06604022994074026
75,75,75,75,03-16,0.3755955858764475,-0.04203583973402747,-0.3251627499355085,-0.3251627499355085
76,76,76,76,03-17,0.4991618704252919,0.6339563115947261,-0.3511926157143021,-0.3511926157143021
77,77,77,77,03-18,0.13680462340274166,-1.3483858447522346,-0.48784560409586225,-0.48784560409586225
78,78,78,78,03-19,0.32605881486785776,-0.3130358825550897,-0.20481154872531407,-0.20481154872531407
79,79,79,79,03-20,0.223427915740162,-0.8744971464220236,-0.359747335614395,-0.359747335614395
80,80,80,80,03-21,0.5139996477958498,0.7151291095167657,-0.3344065929002218,-0.3344065929002218
81,81,81,81,03-22,0.2056690017416744,-0.971650561068513,-0.09025681544458079,-0.09025681544458079
82,82,82,82,03-23,0.5269544542777256,0.786000767879765,-0.0035979420444538037,-0.0035979420444538037
83,83,83,83,03-24,0.4045770892308152,0.11651281998161135,0.15935922631672544,0.15935922631672544
84,84,84,84,03-25,0.4211023592776039,0.2069173578456722,0.06619106420061603,0.06619106420061603
85,85,85,85,03-26,0.4021519893443721,0.1032458637450519,0.4402675467722579,0.4402675467722579
86,86,86,86,03-27,0.4118170090628162,0.15612013682010925,0.3933950675885763,0.3933950675885763
87,87,87,87,03-28,0.6159392186158229,1.2728083343613383,0.5906389972816563,0.5906389972816563
88,88,88,88,03-29,0.4755468328525132,0.5047658927776757,0.7387517475509178,0.7387517475509178
